Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1033188637",s,position_lat,"522359024",semicircles,position_long,"134361827",semicircles,distance,"2.22",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1033188639",s,position_lat,"522359779",semicircles,position_long,"134360364",semicircles,distance,"14.45",m,speed,"7.43",m/s,cadence,"0",rpm,enhanced_speed,"7.43",m/s,
Data,7,record,timestamp,"1033188641",s,position_lat,"522360024",semicircles,position_long,"134359074",semicircles,distance,"23.78",m,speed,"5.18",m/s,cadence,"0",rpm,enhanced_speed,"5.18",m/s,
Data,7,record,timestamp,"1033188650",s,position_lat,"522357617",semicircles,position_long,"134356726",semicircles,distance,"45.55",m,speed,"2.848",m/s,cadence,"86",rpm,enhanced_speed,"2.848",m/s,
Data,7,record,timestamp,"1033188656",s,position_lat,"522358965",semicircles,position_long,"134353759",semicircles,distance,"68.79",m,speed,"3.197",m/s,cadence,"86",rpm,enhanced_speed,"3.197",m/s,
Data,7,record,timestamp,"1033188664",s,position_lat,"522358552",semicircles,position_long,"134350425",semicircles,distance,"90.75",m,speed,"3.155",m/s,cadence,"83",rpm,enhanced_speed,"3.155",m/s,
Data,7,record,timestamp,"1033188665",s,position_lat,"522358551",semicircles,position_long,"134350097",semicircles,distance,"92.66",m,speed,"3.136",m/s,cadence,"83",rpm,enhanced_speed,"3.136",m/s,
Data,7,record,timestamp,"1033188666",s,position_lat,"522358534",semicircles,position_long,"134350039",semicircles,distance,"92.66",m,speed,"3.082",m/s,cadence,"84",rpm,enhanced_speed,"3.082",m/s,
Data,7,record,timestamp,"1033188676",s,position_lat,"522358313",semicircles,position_long,"134352746",semicircles,distance,"111.25",m,speed,"2.346",m/s,cadence,"83",rpm,enhanced_speed,"2.346",m/s,
Data,7,record,timestamp,"1033188680",s,position_lat,"522358547",semicircles,position_long,"134351585",semicircles,distance,"120.55",m,speed,"2.444",m/s,cadence,"83",rpm,enhanced_speed,"2.444",m/s,
Data,7,record,timestamp,"1033188688",s,position_lat,"522358121",semicircles,position_long,"134348463",semicircles,distance,"141.03",m,speed,"2.652",m/s,cadence,"85",rpm,enhanced_speed,"2.652",m/s,
Data,7,record,timestamp,"1033188696",s,position_lat,"522357579",semicircles,position_long,"134345499",semicircles,distance,"161.54",m,speed,"2.658",m/s,cadence,"86",rpm,enhanced_speed,"2.658",m/s,
Data,7,record,timestamp,"1033188702",s,position_lat,"522357060",semicircles,position_long,"134343504",semicircles,distance,"176.06",m,speed,"2.633",m/s,cadence,"86",rpm,enhanced_speed,"2.633",m/s,
Data,7,record,timestamp,"1033188709",s,position_lat,"522356493",semicircles,position_long,"134340922",semicircles,distance,"194.22",m,speed,"2.634",m/s,cadence,"86",rpm,enhanced_speed,"2.634",m/s,
