Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1031129674",s,position_lat,"522327376",semicircles,position_long,"134080741",semicircles,distance,"0.55",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1031129682",s,position_lat,"522329337",semicircles,position_long,"134078614",semicircles,distance,"23.7",m,speed,"3.154",m/s,cadence,"86",rpm,enhanced_speed,"3.154",m/s,
Data,7,record,timestamp,"1031129689",s,position_lat,"522331099",semicircles,position_long,"134076593",semicircles,distance,"44.91",m,speed,"2.972",m/s,cadence,"87",rpm,enhanced_speed,"2.972",m/s,
Data,7,record,timestamp,"1031129697",s,position_lat,"522333142",semicircles,position_long,"134075212",semicircles,distance,"65.09",m,speed,"2.677",m/s,cadence,"84",rpm,enhanced_speed,"2.677",m/s,
Data,7,record,timestamp,"1031129704",s,position_lat,"522334731",semicircles,position_long,"134073175",semicircles,distance,"85.39",m,speed,"2.798",m/s,cadence,"87",rpm,enhanced_speed,"2.798",m/s,
Data,7,record,timestamp,"1031129713",s,position_lat,"522336162",semicircles,position_long,"134070881",semicircles,distance,"105.82",m,speed,"2.707",m/s,cadence,"87",rpm,enhanced_speed,"2.707",m/s,
Data,7,record,timestamp,"1031129721",s,position_lat,"522338072",semicircles,position_long,"134068881",semicircles,distance,"128.02",m,speed,"2.721",m/s,cadence,"86",rpm,enhanced_speed,"2.721",m/s,
Data,7,record,timestamp,"1031129727",s,position_lat,"522340077",semicircles,position_long,"134067968",semicircles,distance,"146.73",m,speed,"2.841",m/s,cadence,"84",rpm,enhanced_speed,"2.841",m/s,
Data,7,record,timestamp,"1031129732",s,position_lat,"522340169",semicircles,position_long,"134065962",semicircles,distance,"160.2",m,speed,"2.83",m/s,cadence,"82",rpm,enhanced_speed,"2.83",m/s,
Data,7,record,timestamp,"1031129738",s,position_lat,"522340404",semicircles,position_long,"134062932",semicircles,distance,"180.31",m,speed,"3.208",m/s,cadence,"86",rpm,enhanced_speed,"3.208",m/s,
Data,7,record,timestamp,"1031129745",s,position_lat,"522339997",semicircles,position_long,"134059833",semicircles,distance,"201.69",m,speed,"3.167",m/s,cadence,"86",rpm,enhanced_speed,"3.167",m/s,
Data,7,record,timestamp,"1031129753",s,position_lat,"522339042",semicircles,position_long,"134056803",semicircles,distance,"224.39",m,speed,"3.134",m/s,cadence,"88",rpm,enhanced_speed,"3.134",m/s,
Data,7,record,timestamp,"1031129761",s,position_lat,"522338706",semicircles,position_long,"134053679",semicircles,distance,"245.9",m,speed,"3.071",m/s,cadence,"87",rpm,enhanced_speed,"3.071",m/s,
Data,7,record,timestamp,"1031129763",s,position_lat,"522338746",semicircles,position_long,"134052924",semicircles,distance,"251.02",m,speed,"3.052",m/s,cadence,"87",rpm,enhanced_speed,"3.052",m/s,
Data,7,record,timestamp,"1031129779",s,position_lat,"522338042",semicircles,position_long,"134051023",semicircles,distance,"251.5",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1031129780",s,position_lat,"522338000",semicircles,position_long,"134050501",semicircles,distance,"255.05",m,speed,"2.901",m/s,cadence,"0",rpm,enhanced_speed,"2.901",m/s,
Data,7,record,timestamp,"1031129785",s,position_lat,"522337936",semicircles,position_long,"134048793",semicircles,distance,"266.6",m,speed,"2.647",m/s,cadence,"0",rpm,enhanced_speed,"2.647",m/s,
Data,7,record,timestamp,"1031129791",s,position_lat,"522337681",semicircles,position_long,"134045819",semicircles,distance,"286.66",m,speed,"3.397",m/s,cadence,"87",rpm,enhanced_speed,"3.397",m/s,
Data,7,record,timestamp,"1031129799",s,position_lat,"522337802",semicircles,position_long,"134042639",semicircles,distance,"308.04",m,speed,"2.988",m/s,cadence,"88",rpm,enhanced_speed,"2.988",m/s,
Data,7,record,timestamp,"1031129807",s,position_lat,"522337670",semicircles,position_long,"134039262",semicircles,distance,"331.36",m,speed,"2.985",m/s,cadence,"87",rpm,enhanced_speed,"2.985",m/s,
Data,7,record,timestamp,"1031129815",s,position_lat,"522337529",semicircles,position_long,"134036215",semicircles,distance,"351.95",m,speed,"2.924",m/s,cadence,"87",rpm,enhanced_speed,"2.924",m/s,
Data,7,record,timestamp,"1031129818",s,position_lat,"522337223",semicircles,position_long,"134035287",semicircles,distance,"358.84",m,speed,"2.888",m/s,cadence,"88",rpm,enhanced_speed,"2.888",m/s,
Data,7,record,timestamp,"1031129823",s,position_lat,"522337274",semicircles,position_long,"134033926",semicircles,distance,"367.8",m,speed,"2.789",m/s,cadence,"86",rpm,enhanced_speed,"2.789",m/s,
Data,7,record,timestamp,"1031129834",s,position_lat,"522337148",semicircles,position_long,"134033739",semicircles,distance,"369.13",m,speed,"0.0",m/s,cadence,"86",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1031129836",s,position_lat,"522337424",semicircles,position_long,"134033234",semicircles,distance,"374.22",m,speed,"3.021",m/s,cadence,"0",rpm,enhanced_speed,"3.021",m/s,
Data,7,record,timestamp,"1031129840",s,position_lat,"522338008",semicircles,position_long,"134032185",semicircles,distance,"382.99",m,speed,"2.2",m/s,cadence,"0",rpm,enhanced_speed,"2.2",m/s,
Data,7,record,timestamp,"1031129849",s,position_lat,"522338691",semicircles,position_long,"134029076",semicircles,distance,"404.82",m,speed,"2.607",m/s,cadence,"87",rpm,enhanced_speed,"2.607",m/s,
