Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1031460834",s,position_lat,"522250600",semicircles,position_long,"134076372",semicircles,distance,"0.38",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1031460836",s,position_lat,"522251120",semicircles,position_long,"134076071",semicircles,distance,"5.83",m,speed,"2.401",m/s,cadence,"0",rpm,enhanced_speed,"2.401",m/s,
Data,7,record,timestamp,"1031460844",s,position_lat,"522252177",semicircles,position_long,"134073334",semicircles,distance,"27.38",m,speed,"2.92",m/s,cadence,"85",rpm,enhanced_speed,"2.92",m/s,
Data,7,record,timestamp,"1031460851",s,position_lat,"522252641",semicircles,position_long,"134070225",semicircles,distance,"48.81",m,speed,"3.075",m/s,cadence,"86",rpm,enhanced_speed,"3.075",m/s,
Data,7,record,timestamp,"1031460858",s,position_lat,"522253424",semicircles,position_long,"134067440",semicircles,distance,"69.21",m,speed,"3.054",m/s,cadence,"85",rpm,enhanced_speed,"3.054",m/s,
Data,7,record,timestamp,"1031460865",s,position_lat,"522254259",semicircles,position_long,"134064661",semicircles,distance,"89.56",m,speed,"3.035",m/s,cadence,"86",rpm,enhanced_speed,"3.035",m/s,
Data,7,record,timestamp,"1031460873",s,position_lat,"522255125",semicircles,position_long,"134061583",semicircles,distance,"111.85",m,speed,"2.999",m/s,cadence,"85",rpm,enhanced_speed,"2.999",m/s,
Data,7,record,timestamp,"1031460880",s,position_lat,"522255749",semicircles,position_long,"134058716",semicircles,distance,"132.19",m,speed,"2.988",m/s,cadence,"85",rpm,enhanced_speed,"2.988",m/s,
Data,7,record,timestamp,"1031460888",s,position_lat,"522256413",semicircles,position_long,"134055848",semicircles,distance,"152.86",m,speed,"2.928",m/s,cadence,"85",rpm,enhanced_speed,"2.928",m/s,
Data,7,record,timestamp,"1031460896",s,position_lat,"522257241",semicircles,position_long,"134052985",semicircles,distance,"173.82",m,speed,"2.887",m/s,cadence,"86",rpm,enhanced_speed,"2.887",m/s,
Data,7,record,timestamp,"1031460904",s,position_lat,"522257988",semicircles,position_long,"134049945",semicircles,distance,"195.44",m,speed,"2.86",m/s,cadence,"86",rpm,enhanced_speed,"2.86",m/s,
Data,7,record,timestamp,"1031460912",s,position_lat,"522258766",semicircles,position_long,"134046996",semicircles,distance,"216.6",m,speed,"2.827",m/s,cadence,"86",rpm,enhanced_speed,"2.827",m/s,
Data,7,record,timestamp,"1031460920",s,position_lat,"522259631",semicircles,position_long,"134044176",semicircles,distance,"237.31",m,speed,"2.793",m/s,cadence,"85",rpm,enhanced_speed,"2.793",m/s,
Data,7,record,timestamp,"1031460928",s,position_lat,"522260449",semicircles,position_long,"134041355",semicircles,distance,"257.84",m,speed,"2.759",m/s,cadence,"86",rpm,enhanced_speed,"2.759",m/s,
Data,7,record,timestamp,"1031460936",s,position_lat,"522260523",semicircles,position_long,"134038483",semicircles,distance,"278.44",m,speed,"2.731",m/s,cadence,"86",rpm,enhanced_speed,"2.731",m/s,
Data,7,record,timestamp,"1031460945",s,position_lat,"522258732",semicircles,position_long,"134036800",semicircles,distance,"299.24",m,speed,"2.663",m/s,cadence,"86",rpm,enhanced_speed,"2.663",m/s,
Data,7,record,timestamp,"1031460953",s,position_lat,"522256618",semicircles,position_long,"134035592",semicircles,distance,"320.57",m,speed,"2.664",m/s,cadence,"85",rpm,enhanced_speed,"2.664",m/s,
Data,7,record,timestamp,"1031460961",s,position_lat,"522254557",semicircles,position_long,"134034409",semicircles,distance,"341.36",m,speed,"2.655",m/s,cadence,"85",rpm,enhanced_speed,"2.655",m/s,
Data,7,record,timestamp,"1031460970",s,position_lat,"522252312",semicircles,position_long,"134033246",semicircles,distance,"363.69",m,speed,"2.538",m/s,cadence,"85",rpm,enhanced_speed,"2.538",m/s,
Data,7,record,timestamp,"1031460978",s,position_lat,"522250248",semicircles,position_long,"134032124",semicircles,distance,"384.37",m,speed,"2.547",m/s,cadence,"85",rpm,enhanced_speed,"2.547",m/s,
Data,7,record,timestamp,"1031460986",s,position_lat,"522248139",semicircles,position_long,"134031817",semicircles,distance,"404.87",m,speed,"2.55",m/s,cadence,"84",rpm,enhanced_speed,"2.55",m/s,
Data,7,record,timestamp,"1031460995",s,position_lat,"522246102",semicircles,position_long,"134033181",semicircles,distance,"425.97",m,speed,"2.518",m/s,cadence,"84",rpm,enhanced_speed,"2.518",m/s,
Data,7,record,timestamp,"1031461004",s,position_lat,"522244104",semicircles,position_long,"134034059",semicircles,distance,"446.08",m,speed,"2.471",m/s,cadence,"84",rpm,enhanced_speed,"2.471",m/s,
Data,7,record,timestamp,"1031461012",s,position_lat,"522241839",semicircles,position_long,"134033097",semicircles,distance,"468.17",m,speed,"2.515",m/s,cadence,"86",rpm,enhanced_speed,"2.515",m/s,
Data,7,record,timestamp,"1031461015",s,position_lat,"522241149",semicircles,position_long,"134032783",semicircles,distance,"475.09",m,speed,"2.503",m/s,cadence,"86",rpm,enhanced_speed,"2.503",m/s,
Data,7,record,timestamp,"1031461020",s,position_lat,"522240182",semicircles,position_long,"134032485",semicircles,distance,"484.8",m,speed,"2.566",m/s,cadence,"82",rpm,enhanced_speed,"2.566",m/s,
Data,7,record,timestamp,"1031461027",s,position_lat,"522239996",semicircles,position_long,"134029667",semicircles,distance,"505.02",m,speed,"2.713",m/s,cadence,"85",rpm,enhanced_speed,"2.713",m/s,
Data,7,record,timestamp,"1031461035",s,position_lat,"522239772",semicircles,position_long,"134026559",semicircles,distance,"526.14",m,speed,"2.71",m/s,cadence,"86",rpm,enhanced_speed,"2.71",m/s,
Data,7,record,timestamp,"1031461037",s,position_lat,"522239496",semicircles,position_long,"134026053",semicircles,distance,"530.43",m,speed,"2.688",m/s,cadence,"86",rpm,enhanced_speed,"2.688",m/s,
Data,7,record,timestamp,"1031461041",s,position_lat,"522238697",semicircles,position_long,"134025737",semicircles,distance,"538.18",m,speed,"2.404",m/s,cadence,"83",rpm,enhanced_speed,"2.404",m/s,
Data,7,record,timestamp,"1031461049",s,position_lat,"522236614",semicircles,position_long,"134024801",semicircles,distance,"558.38",m,speed,"2.488",m/s,cadence,"86",rpm,enhanced_speed,"2.488",m/s,
Data,7,record,timestamp,"1031461057",s,position_lat,"522234395",semicircles,position_long,"134023949",semicircles,distance,"579.67",m,speed,"2.549",m/s,cadence,"87",rpm,enhanced_speed,"2.549",m/s,
Data,7,record,timestamp,"1031461067",s,position_lat,"522232073",semicircles,position_long,"134023349",semicircles,distance,"601.7",m,speed,"2.379",m/s,cadence,"84",rpm,enhanced_speed,"2.379",m/s,
Data,7,record,timestamp,"1031461075",s,position_lat,"522229759",semicircles,position_long,"134022527",semicircles,distance,"623.79",m,speed,"2.441",m/s,cadence,"86",rpm,enhanced_speed,"2.441",m/s,
Data,7,record,timestamp,"1031461083",s,position_lat,"522227538",semicircles,position_long,"134021775",semicircles,distance,"644.99",m,speed,"2.474",m/s,cadence,"86",rpm,enhanced_speed,"2.474",m/s,
Data,7,record,timestamp,"1031461092",s,position_lat,"522225295",semicircles,position_long,"134021228",semicircles,distance,"666.08",m,speed,"2.456",m/s,cadence,"86",rpm,enhanced_speed,"2.456",m/s,
Data,7,record,timestamp,"1031461101",s,position_lat,"522223015",semicircles,position_long,"134020703",semicircles,distance,"687.52",m,speed,"2.447",m/s,cadence,"86",rpm,enhanced_speed,"2.447",m/s,
Data,7,record,timestamp,"1031461109",s,position_lat,"522220729",semicircles,position_long,"134019726",semicircles,distance,"709.77",m,speed,"2.502",m/s,cadence,"84",rpm,enhanced_speed,"2.502",m/s,
Data,7,record,timestamp,"1031461117",s,position_lat,"522218452",semicircles,position_long,"134018939",semicircles,distance,"731.63",m,speed,"2.668",m/s,cadence,"86",rpm,enhanced_speed,"2.668",m/s,
Data,7,record,timestamp,"1031461131",s,position_lat,"522217904",semicircles,position_long,"134019708",semicircles,distance,"732.31",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1031461133",s,position_lat,"522217564",semicircles,position_long,"134019459",semicircles,distance,"735.78",m,speed,"2.325",m/s,cadence,"0",rpm,enhanced_speed,"2.325",m/s,
Data,7,record,timestamp,"1031461148",s,position_lat,"522218149",semicircles,position_long,"134016553",semicircles,distance,"757.64",m,speed,"1.95",m/s,cadence,"84",rpm,enhanced_speed,"1.95",m/s,
Data,7,record,timestamp,"1031461156",s,position_lat,"522218769",semicircles,position_long,"134013364",semicircles,distance,"779.96",m,speed,"2.477",m/s,cadence,"86",rpm,enhanced_speed,"2.477",m/s,
Data,7,record,timestamp,"1031461164",s,position_lat,"522219480",semicircles,position_long,"134010351",semicircles,distance,"801.36",m,speed,"2.505",m/s,cadence,"86",rpm,enhanced_speed,"2.505",m/s,
Data,7,record,timestamp,"1031461166",s,position_lat,"522219706",semicircles,position_long,"134009973",semicircles,distance,"804.99",m,speed,"2.478",m/s,cadence,"86",rpm,enhanced_speed,"2.478",m/s,
Data,7,record,timestamp,"1031461175",s,position_lat,"522221017",semicircles,position_long,"134007735",semicircles,distance,"825.51",m,speed,"2.357",m/s,cadence,"84",rpm,enhanced_speed,"2.357",m/s,
Data,7,record,timestamp,"1031461178",s,position_lat,"522221179",semicircles,position_long,"134006745",semicircles,distance,"832.36",m,speed,"2.344",m/s,cadence,"86",rpm,enhanced_speed,"2.344",m/s,
Data,7,record,timestamp,"1031461186",s,position_lat,"522221841",semicircles,position_long,"134003842",semicircles,distance,"852.9",m,speed,"2.378",m/s,cadence,"86",rpm,enhanced_speed,"2.378",m/s,
Data,7,record,timestamp,"1031461194",s,position_lat,"522222621",semicircles,position_long,"134000961",semicircles,distance,"873.69",m,speed,"2.411",m/s,cadence,"86",rpm,enhanced_speed,"2.411",m/s,
Data,7,record,timestamp,"1031461203",s,position_lat,"522223734",semicircles,position_long,"133998186",semicircles,distance,"895.32",m,speed,"2.41",m/s,cadence,"86",rpm,enhanced_speed,"2.41",m/s,
Data,7,record,timestamp,"1031461211",s,position_lat,"522224177",semicircles,position_long,"133995162",semicircles,distance,"916.38",m,speed,"2.445",m/s,cadence,"87",rpm,enhanced_speed,"2.445",m/s,
Data,7,record,timestamp,"1031461217",s,position_lat,"522224302",semicircles,position_long,"133992898",semicircles,distance,"931.9",m,speed,"2.462",m/s,cadence,"86",rpm,enhanced_speed,"2.462",m/s,
Data,7,record,timestamp,"1031461221",s,position_lat,"522224620",semicircles,position_long,"133991374",semicircles,distance,"942.6",m,speed,"2.479",m/s,cadence,"86",rpm,enhanced_speed,"2.479",m/s,
Data,7,record,timestamp,"1031461229",s,position_lat,"522224886",semicircles,position_long,"133988318",semicircles,distance,"963.67",m,speed,"2.504",m/s,cadence,"85",rpm,enhanced_speed,"2.504",m/s,
Data,7,record,timestamp,"1031461235",s,position_lat,"522225147",semicircles,position_long,"133986208",semicircles,distance,"978.42",m,speed,"2.501",m/s,cadence,"85",rpm,enhanced_speed,"2.501",m/s,
Data,7,record,timestamp,"1031461240",s,position_lat,"522225579",semicircles,position_long,"133984584",semicircles,distance,"990.4",m,speed,"2.496",m/s,cadence,"87",rpm,enhanced_speed,"2.496",m/s,
Data,7,record,timestamp,"1031461247",s,position_lat,"522227084",semicircles,position_long,"133982419",semicircles,distance,"1010.62",m,speed,"2.739",m/s,cadence,"86",rpm,enhanced_speed,"2.739",m/s,
Data,7,record,timestamp,"1031461248",s,position_lat,"522227064",semicircles,position_long,"133981766",semicircles,distance,"1014.7",m,speed,"3.072",m/s,cadence,"86",rpm,enhanced_speed,"3.072",m/s,
