Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1031810528",s,position_lat,"522270653",semicircles,position_long,"134225199",semicircles,distance,"1.43",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1031810537",s,position_lat,"522271595",semicircles,position_long,"134226899",semicircles,distance,"15.79",m,speed,"1.503",m/s,cadence,"84",rpm,enhanced_speed,"1.503",m/s,
Data,7,record,timestamp,"1031810541",s,position_lat,"522271748",semicircles,position_long,"134227698",semicircles,distance,"20.81",m,speed,"1.564",m/s,cadence,"85",rpm,enhanced_speed,"1.564",m/s,
Data,7,record,timestamp,"1031810549",s,position_lat,"522272904",semicircles,position_long,"134230421",semicircles,distance,"41.7",m,speed,"2.439",m/s,cadence,"86",rpm,enhanced_speed,"2.439",m/s,
Data,7,record,timestamp,"1031810555",s,position_lat,"522274447",semicircles,position_long,"134232915",semicircles,distance,"63.92",m,speed,"3.038",m/s,cadence,"86",rpm,enhanced_speed,"3.038",m/s,
Data,7,record,timestamp,"1031810561",s,position_lat,"522275813",semicircles,position_long,"134235441",semicircles,distance,"85.17",m,speed,"3.122",m/s,cadence,"86",rpm,enhanced_speed,"3.122",m/s,
Data,7,record,timestamp,"1031810569",s,position_lat,"522277685",semicircles,position_long,"134237530",semicircles,distance,"107.6",m,speed,"3.079",m/s,cadence,"86",rpm,enhanced_speed,"3.079",m/s,
Data,7,record,timestamp,"1031810578",s,position_lat,"522279281",semicircles,position_long,"134240031",semicircles,distance,"130.05",m,speed,"2.989",m/s,cadence,"87",rpm,enhanced_speed,"2.989",m/s,
Data,7,record,timestamp,"1031810585",s,position_lat,"522280503",semicircles,position_long,"134242549",semicircles,distance,"150.42",m,speed,"2.986",m/s,cadence,"87",rpm,enhanced_speed,"2.986",m/s,
Data,7,record,timestamp,"1031810594",s,position_lat,"522281489",semicircles,position_long,"134245675",semicircles,distance,"173.14",m,speed,"2.972",m/s,cadence,"86",rpm,enhanced_speed,"2.972",m/s,
Data,7,record,timestamp,"1031810598",s,position_lat,"522282028",semicircles,position_long,"134245890",semicircles,distance,"178.3",m,speed,"2.876",m/s,cadence,"86",rpm,enhanced_speed,"2.876",m/s,
Data,7,record,timestamp,"1031810610",s,position_lat,"522280538",semicircles,position_long,"134243628",semicircles,distance,"198.57",m,speed,"2.158",m/s,cadence,"86",rpm,enhanced_speed,"2.158",m/s,
Data,7,record,timestamp,"1031810625",s,position_lat,"522280455",semicircles,position_long,"134242580",semicircles,distance,"208.48",m,speed,"1.592",m/s,cadence,"86",rpm,enhanced_speed,"1.592",m/s,
Data,7,record,timestamp,"1031810632",s,position_lat,"522279145",semicircles,position_long,"134242442",semicircles,distance,"218.95",m,speed,"5.358",m/s,cadence,"84",rpm,enhanced_speed,"5.358",m/s,
Data,7,record,timestamp,"1031810636",s,position_lat,"522277243",semicircles,position_long,"134241896",semicircles,distance,"233.76",m,speed,"3.614",m/s,cadence,"86",rpm,enhanced_speed,"3.614",m/s,
Data,7,record,timestamp,"1031810642",s,position_lat,"522274766",semicircles,position_long,"134240998",semicircles,distance,"256.6",m,speed,"3.075",m/s,cadence,"86",rpm,enhanced_speed,"3.075",m/s,
Data,7,record,timestamp,"1031810647",s,position_lat,"522272557",semicircles,position_long,"134239991",semicircles,distance,"276.67",m,speed,"3.195",m/s,cadence,"87",rpm,enhanced_speed,"3.195",m/s,
Data,7,record,timestamp,"1031810650",s,position_lat,"522271513",semicircles,position_long,"134240097",semicircles,distance,"286.66",m,speed,"3.211",m/s,cadence,"87",rpm,enhanced_speed,"3.211",m/s,
Data,7,record,timestamp,"1031810656",s,position_lat,"522269452",semicircles,position_long,"134242162",semicircles,distance,"309.98",m,speed,"3.298",m/s,cadence,"87",rpm,enhanced_speed,"3.298",m/s,
Data,7,record,timestamp,"1031810664",s,position_lat,"522267233",semicircles,position_long,"134243416",semicircles,distance,"332.39",m,speed,"3.225",m/s,cadence,"87",rpm,enhanced_speed,"3.225",m/s,
Data,7,record,timestamp,"1031810671",s,position_lat,"522265090",semicircles,position_long,"134243782",semicircles,distance,"352.67",m,speed,"3.2",m/s,cadence,"86",rpm,enhanced_speed,"3.2",m/s,
Data,7,record,timestamp,"1031810676",s,position_lat,"522263157",semicircles,position_long,"134243486",semicircles,distance,"370.97",m,speed,"3.253",m/s,cadence,"86",rpm,enhanced_speed,"3.253",m/s,
