Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1031897267",s,position_lat,"522105734",semicircles,position_long,"134272959",semicircles,distance,"0.22",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1031897275",s,position_lat,"522106561",semicircles,position_long,"134274513",semicircles,distance,"17.72",m,speed,"2.364",m/s,cadence,"87",rpm,enhanced_speed,"2.364",m/s,
Data,7,record,timestamp,"1031897284",s,position_lat,"522108745",semicircles,position_long,"134275461",semicircles,distance,"38.87",m,speed,"2.527",m/s,cadence,"86",rpm,enhanced_speed,"2.527",m/s,
Data,7,record,timestamp,"1031897292",s,position_lat,"522110805",semicircles,position_long,"134276784",semicircles,distance,"59.92",m,speed,"2.553",m/s,cadence,"85",rpm,enhanced_speed,"2.553",m/s,
Data,7,record,timestamp,"1031897302",s,position_lat,"522112854",semicircles,position_long,"134278109",semicircles,distance,"81.11",m,speed,"2.479",m/s,cadence,"85",rpm,enhanced_speed,"2.479",m/s,
Data,7,record,timestamp,"1031897311",s,position_lat,"522115034",semicircles,position_long,"134279414",semicircles,distance,"103.26",m,speed,"2.477",m/s,cadence,"86",rpm,enhanced_speed,"2.477",m/s,
Data,7,record,timestamp,"1031897321",s,position_lat,"522116620",semicircles,position_long,"134281759",semicircles,distance,"124.96",m,speed,"2.427",m/s,cadence,"85",rpm,enhanced_speed,"2.427",m/s,
Data,7,record,timestamp,"1031897330",s,position_lat,"522117734",semicircles,position_long,"134283122",semicircles,distance,"138.76",m,speed,"1.001",m/s,cadence,"83",rpm,enhanced_speed,"1.001",m/s,
Data,7,record,timestamp,"1031897334",s,position_lat,"522117952",semicircles,position_long,"134283263",semicircles,distance,"140.76",m,speed,"0.969",m/s,cadence,"84",rpm,enhanced_speed,"0.969",m/s,
Data,7,record,timestamp,"1031897338",s,position_lat,"522118179",semicircles,position_long,"134283413",semicircles,distance,"142.95",m,speed,"0.948",m/s,cadence,"84",rpm,enhanced_speed,"0.948",m/s,
Data,7,record,timestamp,"1031897350",s,position_lat,"522120100",semicircles,position_long,"134285141",semicircles,distance,"164.71",m,speed,"0.827",m/s,cadence,"84",rpm,enhanced_speed,"0.827",m/s,
Data,7,record,timestamp,"1031897356",s,position_lat,"522122599",semicircles,position_long,"134285920",semicircles,distance,"188.74",m,speed,"5.37",m/s,cadence,"83",rpm,enhanced_speed,"5.37",m/s,
Data,7,record,timestamp,"1031897358",s,position_lat,"522123647",semicircles,position_long,"134286185",semicircles,distance,"198.6",m,speed,"5.167",m/s,cadence,"84",rpm,enhanced_speed,"5.167",m/s,
Data,7,record,timestamp,"1031897361",s,position_lat,"522124852",semicircles,position_long,"134287018",semicircles,distance,"210.72",m,speed,"4.914",m/s,cadence,"83",rpm,enhanced_speed,"4.914",m/s,
Data,7,record,timestamp,"1031897368",s,position_lat,"522126977",semicircles,position_long,"134287671",semicircles,distance,"230.8",m,speed,"4.659",m/s,cadence,"84",rpm,enhanced_speed,"4.659",m/s,
Data,7,record,timestamp,"1031897371",s,position_lat,"522127777",semicircles,position_long,"134287670",semicircles,distance,"238.08",m,speed,"4.532",m/s,cadence,"83",rpm,enhanced_speed,"4.532",m/s,
Data,7,record,timestamp,"1031897378",s,position_lat,"522129827",semicircles,position_long,"134286960",semicircles,distance,"258.34",m,speed,"4.327",m/s,cadence,"83",rpm,enhanced_speed,"4.327",m/s,
Data,7,record,timestamp,"1031897381",s,position_lat,"522130669",semicircles,position_long,"134286152",semicircles,distance,"267.64",m,speed,"4.262",m/s,cadence,"85",rpm,enhanced_speed,"4.262",m/s,
Data,7,record,timestamp,"1031897390",s,position_lat,"522132825",semicircles,position_long,"134284904",semicircles,distance,"289.43",m,speed,"3.974",m/s,cadence,"84",rpm,enhanced_speed,"3.974",m/s,
Data,7,record,timestamp,"1031897398",s,position_lat,"522134570",semicircles,position_long,"134282606",semicircles,distance,"312.15",m,speed,"3.484",m/s,cadence,"86",rpm,enhanced_speed,"3.484",m/s,
Data,7,record,timestamp,"1031897404",s,position_lat,"522136341",semicircles,position_long,"134280635",semicircles,distance,"333.32",m,speed,"3.527",m/s,cadence,"88",rpm,enhanced_speed,"3.527",m/s,
Data,7,record,timestamp,"1031897411",s,position_lat,"522138246",semicircles,position_long,"134278793",semicircles,distance,"354.42",m,speed,"3.272",m/s,cadence,"88",rpm,enhanced_speed,"3.272",m/s,
Data,7,record,timestamp,"1031897417",s,position_lat,"522139992",semicircles,position_long,"134276961",semicircles,distance,"374.79",m,speed,"3.435",m/s,cadence,"85",rpm,enhanced_speed,"3.435",m/s,
Data,7,record,timestamp,"1031897424",s,position_lat,"522141324",semicircles,position_long,"134274592",semicircles,distance,"394.94",m,speed,"3.185",m/s,cadence,"86",rpm,enhanced_speed,"3.185",m/s,
Data,7,record,timestamp,"1031897430",s,position_lat,"522143317",semicircles,position_long,"134273390",semicircles,distance,"415.35",m,speed,"3.213",m/s,cadence,"87",rpm,enhanced_speed,"3.213",m/s,
Data,7,record,timestamp,"1031897437",s,position_lat,"522145775",semicircles,position_long,"134272868",semicircles,distance,"439.03",m,speed,"3.243",m/s,cadence,"88",rpm,enhanced_speed,"3.243",m/s,
Data,7,record,timestamp,"1031897443",s,position_lat,"522147841",semicircles,position_long,"134272028",semicircles,distance,"459.19",m,speed,"3.26",m/s,cadence,"89",rpm,enhanced_speed,"3.26",m/s,
Data,7,record,timestamp,"1031897451",s,position_lat,"522149798",semicircles,position_long,"134270001",semicircles,distance,"481.12",m,speed,"3.215",m/s,cadence,"86",rpm,enhanced_speed,"3.215",m/s,
Data,7,record,timestamp,"1031897457",s,position_lat,"522152031",semicircles,position_long,"134269092",semicircles,distance,"502.51",m,speed,"3.267",m/s,cadence,"87",rpm,enhanced_speed,"3.267",m/s,
