Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1031981085",s,position_lat,"522268686",semicircles,position_long,"134298433",semicircles,distance,"0.66",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1031981092",s,position_lat,"522266687",semicircles,position_long,"134296995",semicircles,distance,"21.23",m,speed,"2.492",m/s,cadence,"92",rpm,enhanced_speed,"2.492",m/s,
Data,7,record,timestamp,"1031981102",s,position_lat,"522264657",semicircles,position_long,"134294965",semicircles,distance,"43.48",m,speed,"2.433",m/s,cadence,"86",rpm,enhanced_speed,"2.433",m/s,
Data,7,record,timestamp,"1031981111",s,position_lat,"522262716",semicircles,position_long,"134293648",semicircles,distance,"63.57",m,speed,"2.412",m/s,cadence,"86",rpm,enhanced_speed,"2.412",m/s,
Data,7,record,timestamp,"1031981121",s,position_lat,"522260712",semicircles,position_long,"134292112",semicircles,distance,"84.98",m,speed,"2.366",m/s,cadence,"86",rpm,enhanced_speed,"2.366",m/s,
Data,7,record,timestamp,"1031981130",s,position_lat,"522258932",semicircles,position_long,"134290449",semicircles,distance,"105.05",m,speed,"2.349",m/s,cadence,"86",rpm,enhanced_speed,"2.349",m/s,
Data,7,record,timestamp,"1031981137",s,position_lat,"522256774",semicircles,position_long,"134289348",semicircles,distance,"126.47",m,speed,"2.447",m/s,cadence,"86",rpm,enhanced_speed,"2.447",m/s,
Data,7,record,timestamp,"1031981144",s,position_lat,"522254768",semicircles,position_long,"134288214",semicircles,distance,"146.64",m,speed,"2.506",m/s,cadence,"86",rpm,enhanced_speed,"2.506",m/s,
Data,7,record,timestamp,"1031981151",s,position_lat,"522252718",semicircles,position_long,"134287241",semicircles,distance,"167.45",m,speed,"2.578",m/s,cadence,"86",rpm,enhanced_speed,"2.578",m/s,
Data,7,record,timestamp,"1031981159",s,position_lat,"522250479",semicircles,position_long,"134286365",semicircles,distance,"189.44",m,speed,"2.613",m/s,cadence,"86",rpm,enhanced_speed,"2.613",m/s,
Data,7,record,timestamp,"1031981167",s,position_lat,"522248296",semicircles,position_long,"134284733",semicircles,distance,"212.32",m,speed,"2.66",m/s,cadence,"87",rpm,enhanced_speed,"2.66",m/s,
Data,7,record,timestamp,"1031981174",s,position_lat,"522246235",semicircles,position_long,"134283446",semicircles,distance,"233.44",m,speed,"2.715",m/s,cadence,"86",rpm,enhanced_speed,"2.715",m/s,
Data,7,record,timestamp,"1031981181",s,position_lat,"522244214",semicircles,position_long,"134281748",semicircles,distance,"255.61",m,speed,"2.784",m/s,cadence,"86",rpm,enhanced_speed,"2.784",m/s,
Data,7,record,timestamp,"1031981189",s,position_lat,"522241948",semicircles,position_long,"134280786",semicircles,distance,"277.78",m,speed,"2.787",m/s,cadence,"86",rpm,enhanced_speed,"2.787",m/s,
Data,7,record,timestamp,"1031981196",s,position_lat,"522239698",semicircles,position_long,"134279672",semicircles,distance,"299.72",m,speed,"2.857",m/s,cadence,"86",rpm,enhanced_speed,"2.857",m/s,
Data,7,record,timestamp,"1031981201",s,position_lat,"522237997",semicircles,position_long,"134278908",semicircles,distance,"317.45",m,speed,"2.957",m/s,cadence,"86",rpm,enhanced_speed,"2.957",m/s,
Data,7,record,timestamp,"1031981207",s,position_lat,"522236595",semicircles,position_long,"134279706",semicircles,distance,"332.16",m,speed,"2.341",m/s,cadence,"85",rpm,enhanced_speed,"2.341",m/s,
Data,7,record,timestamp,"1031981214",s,position_lat,"522236647",semicircles,position_long,"134278556",semicircles,distance,"340.54",m,speed,"1.661",m/s,cadence,"86",rpm,enhanced_speed,"1.661",m/s,
Data,7,record,timestamp,"1031981223",s,position_lat,"522236949",semicircles,position_long,"134275357",semicircles,distance,"362.49",m,speed,"2.057",m/s,cadence,"86",rpm,enhanced_speed,"2.057",m/s,
Data,7,record,timestamp,"1031981233",s,position_lat,"522237656",semicircles,position_long,"134272775",semicircles,distance,"380.92",m,speed,"2.028",m/s,cadence,"86",rpm,enhanced_speed,"2.028",m/s,
Data,7,record,timestamp,"1031981240",s,position_lat,"522239913",semicircles,position_long,"134272940",semicircles,distance,"402.23",m,speed,"2.165",m/s,cadence,"86",rpm,enhanced_speed,"2.165",m/s,
Data,7,record,timestamp,"1031981241",s,position_lat,"522240202",semicircles,position_long,"134273030",semicircles,distance,"404.98",m,speed,"2.177",m/s,cadence,"86",rpm,enhanced_speed,"2.177",m/s,
Data,7,record,timestamp,"1031981250",s,position_lat,"522242079",semicircles,position_long,"134274515",semicircles,distance,"425.69",m,speed,"2.203",m/s,cadence,"86",rpm,enhanced_speed,"2.203",m/s,
Data,7,record,timestamp,"1031981257",s,position_lat,"522244150",semicircles,position_long,"134275697",semicircles,distance,"446.43",m,speed,"2.308",m/s,cadence,"87",rpm,enhanced_speed,"2.308",m/s,
Data,7,record,timestamp,"1031981264",s,position_lat,"522246296",semicircles,position_long,"134276655",semicircles,distance,"467.37",m,speed,"2.402",m/s,cadence,"86",rpm,enhanced_speed,"2.402",m/s,
Data,7,record,timestamp,"1031981271",s,position_lat,"522248288",semicircles,position_long,"134277295",semicircles,distance,"486.93",m,speed,"2.472",m/s,cadence,"87",rpm,enhanced_speed,"2.472",m/s,
Data,7,record,timestamp,"1031981278",s,position_lat,"522250565",semicircles,position_long,"134277026",semicircles,distance,"507.94",m,speed,"2.561",m/s,cadence,"86",rpm,enhanced_speed,"2.561",m/s,
Data,7,record,timestamp,"1031981281",s,position_lat,"522251338",semicircles,position_long,"134277050",semicircles,distance,"514.9",m,speed,"2.555",m/s,cadence,"88",rpm,enhanced_speed,"2.555",m/s,
Data,7,record,timestamp,"1031981289",s,position_lat,"522253791",semicircles,position_long,"134276511",semicircles,distance,"537.99",m,speed,"2.93",m/s,cadence,"86",rpm,enhanced_speed,"2.93",m/s,
Data,7,record,timestamp,"1031981296",s,position_lat,"522256075",semicircles,position_long,"134275393",semicircles,distance,"560.74",m,speed,"3.192",m/s,cadence,"86",rpm,enhanced_speed,"3.192",m/s,
Data,7,record,timestamp,"1031981303",s,position_lat,"522257052",semicircles,position_long,"134272741",semicircles,distance,"580.85",m,speed,"3.15",m/s,cadence,"86",rpm,enhanced_speed,"3.15",m/s,
Data,7,record,timestamp,"1031981311",s,position_lat,"522258388",semicircles,position_long,"134270153",semicircles,distance,"602.21",m,speed,"3.081",m/s,cadence,"88",rpm,enhanced_speed,"3.081",m/s,
Data,7,record,timestamp,"1031981318",s,position_lat,"522259620",semicircles,position_long,"134267697",semicircles,distance,"622.6",m,speed,"3.103",m/s,cadence,"86",rpm,enhanced_speed,"3.103",m/s,
