Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1032238518",s,position_lat,"522268775",semicircles,position_long,"134222686",semicircles,distance,"2.29",m,speed,"0.0",m/s,cadence,"86",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1032238524",s,position_lat,"522269660",semicircles,position_long,"134223547",semicircles,distance,"11.26",m,speed,"1.486",m/s,cadence,"0",rpm,enhanced_speed,"1.486",m/s,
Data,7,record,timestamp,"1032238527",s,position_lat,"522269597",semicircles,position_long,"134223946",semicircles,distance,"14.45",m,speed,"1.749",m/s,cadence,"86",rpm,enhanced_speed,"1.749",m/s,
Data,7,record,timestamp,"1032238529",s,position_lat,"522269891",semicircles,position_long,"134224579",semicircles,distance,"18.95",m,speed,"2.652",m/s,cadence,"86",rpm,enhanced_speed,"2.652",m/s,
Data,7,record,timestamp,"1032238533",s,position_lat,"522270718",semicircles,position_long,"134225822",semicircles,distance,"30.49",m,speed,"3.083",m/s,cadence,"86",rpm,enhanced_speed,"3.083",m/s,
Data,7,record,timestamp,"1032238539",s,position_lat,"522272062",semicircles,position_long,"134227993",semicircles,distance,"49.94",m,speed,"3.243",m/s,cadence,"86",rpm,enhanced_speed,"3.243",m/s,
Data,7,record,timestamp,"1032238547",s,position_lat,"522273769",semicircles,position_long,"134229947",semicircles,distance,"70.31",m,speed,"3.147",m/s,cadence,"86",rpm,enhanced_speed,"3.147",m/s,
Data,7,record,timestamp,"1032238557",s,position_lat,"522275180",semicircles,position_long,"134232366",semicircles,distance,"91.34",m,speed,"2.958",m/s,cadence,"86",rpm,enhanced_speed,"2.958",m/s,
Data,7,record,timestamp,"1032238563",s,position_lat,"522275654",semicircles,position_long,"134233591",semicircles,distance,"100.58",m,speed,"2.805",m/s,cadence,"86",rpm,enhanced_speed,"2.805",m/s,
Data,7,record,timestamp,"1032238570",s,position_lat,"522277356",semicircles,position_long,"134233812",semicircles,distance,"110.61",m,speed,"9.348",m/s,cadence,"87",rpm,enhanced_speed,"9.348",m/s,
Data,7,record,timestamp,"1032238574",s,position_lat,"522277165",semicircles,position_long,"134234571",semicircles,distance,"118.16",m,speed,"2.656",m/s,cadence,"85",rpm,enhanced_speed,"2.656",m/s,
Data,7,record,timestamp,"1032238583",s,position_lat,"522275532",semicircles,position_long,"134237021",semicircles,distance,"140.7",m,speed,"2.552",m/s,cadence,"86",rpm,enhanced_speed,"2.552",m/s,
Data,7,record,timestamp,"1032238591",s,position_lat,"522274251",semicircles,position_long,"134239771",semicircles,distance,"162.44",m,speed,"2.837",m/s,cadence,"86",rpm,enhanced_speed,"2.837",m/s,
