Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,x
Data,7,record,timestamp,1032239411,s,position_lat,522208094,semicircles,position_long,134452946,semicircles,distance,2.81,m,speed,0,m/s,cadence,0,rpm,enhanced_speed,0,m/s,
Data,7,record,timestamp,1032239513,s,position_lat,522208094,semicircles,position_long,134452946,semicircles,distance,2.81,m,speed,0,m/s,cadence,0,rpm,enhanced_speed,0,m/s,
Data,7,record,timestamp,1032239520,s,position_lat,522207886,semicircles,position_long,134456470,semicircles,distance,26.45,m,speed,5.475,m/s,cadence,86,rpm,enhanced_speed,5.475,m/s,
Data,7,record,timestamp,1032239522,s,position_lat,522207851,semicircles,position_long,134458042,semicircles,distance,36.28,m,speed,4.913,m/s,cadence,86,rpm,enhanced_speed,4.913,m/s,
Data,7,record,timestamp,1032239526,s,position_lat,522206872,semicircles,position_long,134459572,semicircles,distance,48.82,m,speed,3.609,m/s,cadence,86,rpm,enhanced_speed,3.609,m/s,
Data,7,record,timestamp,1032239533,s,position_lat,522206070,semicircles,position_long,134462334,semicircles,distance,68.88,m,speed,3.251,m/s,cadence,87,rpm,enhanced_speed,3.251,m/s,
Data,7,record,timestamp,1032239537,s,position_lat,522205778,semicircles,position_long,134463265,semicircles,distance,75.58,m,speed,3.201,m/s,cadence,86,rpm,enhanced_speed,4,m/s,
Data,7,record,timestamp,1032239538,s,position_lat,522205487,semicircles,position_long,134464197,semicircles,distance,82.58,m,speed,3.201,m/s,cadence,86,rpm,enhanced_speed,3.201,m/s,
Data,7,record,timestamp,1032239570,s,position_lat,522205432,semicircles,position_long,134465249,semicircles,distance,84.32,m,speed,0,m/s,cadence,0,rpm,enhanced_speed,0,m/s,
Data,7,record,timestamp,1032239578,s,position_lat,522204949,semicircles,position_long,134468542,semicircles,distance,107.08,m,speed,3.305,m/s,cadence,86,rpm,enhanced_speed,3.305,m/s,
Data,7,record,timestamp,1032239586,s,position_lat,522204047,semicircles,position_long,134471354,semicircles,distance,128.06,m,speed,2.67,m/s,cadence,87,rpm,enhanced_speed,2.67,m/s,
Data,7,record,timestamp,1032239594,s,position_lat,522202775,semicircles,position_long,134474000,semicircles,distance,149.55,m,speed,2.626,m/s,cadence,86,rpm,enhanced_speed,2.626,m/s,
Data,7,record,timestamp,1032239602,s,position_lat,522202313,semicircles,position_long,134477160,semicircles,distance,171.58,m,speed,2.644,m/s,cadence,86,rpm,enhanced_speed,2.644,m/s,
