Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1032325136",s,position_lat,"522367207",semicircles,position_long,"134385694",semicircles,distance,"0.42",m,speed,"0.0",m/s,cadence,"86",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1032325145",s,position_lat,"522368537",semicircles,position_long,"134388376",semicircles,distance,"22.49",m,speed,"2.564",m/s,cadence,"86",rpm,enhanced_speed,"2.564",m/s,
Data,7,record,timestamp,"1032325153",s,position_lat,"522369601",semicircles,position_long,"134390971",semicircles,distance,"42.74",m,speed,"2.474",m/s,cadence,"86",rpm,enhanced_speed,"2.474",m/s,
Data,7,record,timestamp,"1032325160",s,position_lat,"522370204",semicircles,position_long,"134392381",semicircles,distance,"54.33",m,speed,"2.563",m/s,cadence,"88",rpm,enhanced_speed,"2.563",m/s,
Data,7,record,timestamp,"1032325166",s,position_lat,"522371990",semicircles,position_long,"134394539",semicircles,distance,"77.05",m,speed,"3.351",m/s,cadence,"86",rpm,enhanced_speed,"3.351",m/s,
Data,7,record,timestamp,"1032325168",s,position_lat,"522372396",semicircles,position_long,"134395267",semicircles,distance,"83.24",m,speed,"3.281",m/s,cadence,"86",rpm,enhanced_speed,"3.281",m/s,
Data,7,record,timestamp,"1032325177",s,position_lat,"522373107",semicircles,position_long,"134398336",semicircles,distance,"105.2",m,speed,"3.024",m/s,cadence,"86",rpm,enhanced_speed,"3.024",m/s,
Data,7,record,timestamp,"1032325186",s,position_lat,"522374093",semicircles,position_long,"134401227",semicircles,distance,"126.72",m,speed,"2.928",m/s,cadence,"85",rpm,enhanced_speed,"2.928",m/s,
Data,7,record,timestamp,"1032325193",s,position_lat,"522375051",semicircles,position_long,"134404302",semicircles,distance,"148.85",m,speed,"3.087",m/s,cadence,"86",rpm,enhanced_speed,"3.087",m/s,
Data,7,record,timestamp,"1032325198",s,position_lat,"522376827",semicircles,position_long,"134405489",semicircles,distance,"162.27",m,speed,"3.363",m/s,cadence,"86",rpm,enhanced_speed,"3.363",m/s,
Data,7,record,timestamp,"1032325203",s,position_lat,"522377609",semicircles,position_long,"134407155",semicircles,distance,"176.36",m,speed,"3.314",m/s,cadence,"86",rpm,enhanced_speed,"3.314",m/s,
Data,7,record,timestamp,"1032325211",s,position_lat,"522379031",semicircles,position_long,"134409841",semicircles,distance,"197.81",m,speed,"3.077",m/s,cadence,"86",rpm,enhanced_speed,"3.077",m/s,
Data,7,record,timestamp,"1032325219",s,position_lat,"522380614",semicircles,position_long,"134411997",semicircles,distance,"218.15",m,speed,"3.002",m/s,cadence,"86",rpm,enhanced_speed,"3.002",m/s,
Data,7,record,timestamp,"1032325228",s,position_lat,"522381457",semicircles,position_long,"134414875",semicircles,distance,"239.01",m,speed,"2.672",m/s,cadence,"86",rpm,enhanced_speed,"2.672",m/s,
Data,7,record,timestamp,"1032325235",s,position_lat,"522382451",semicircles,position_long,"134417670",semicircles,distance,"259.2",m,speed,"2.724",m/s,cadence,"87",rpm,enhanced_speed,"2.724",m/s,
Data,7,record,timestamp,"1032325243",s,position_lat,"522383982",semicircles,position_long,"134420701",semicircles,distance,"281.94",m,speed,"2.789",m/s,cadence,"88",rpm,enhanced_speed,"2.789",m/s,
Data,7,record,timestamp,"1032325250",s,position_lat,"522385215",semicircles,position_long,"134423322",semicircles,distance,"302.74",m,speed,"2.822",m/s,cadence,"88",rpm,enhanced_speed,"2.822",m/s,
Data,7,record,timestamp,"1032325257",s,position_lat,"522386267",semicircles,position_long,"134426241",semicircles,distance,"324.05",m,speed,"2.874",m/s,cadence,"86",rpm,enhanced_speed,"2.874",m/s,
Data,7,record,timestamp,"1032325266",s,position_lat,"522387413",semicircles,position_long,"134429254",semicircles,distance,"345.22",m,speed,"2.823",m/s,cadence,"83",rpm,enhanced_speed,"2.823",m/s,
Data,7,record,timestamp,"1032325277",s,distance,"366.89",m,speed,"2.696",m/s,cadence,"85",rpm,enhanced_speed,"2.696",m/s,,,,,,,
Data,7,record,timestamp,"1032325285",s,distance,"389.21",m,speed,"2.617",m/s,cadence,"86",rpm,enhanced_speed,"2.617",m/s,,,,,,,
Data,7,record,timestamp,"1032325293",s,distance,"410.37",m,speed,"2.71",m/s,cadence,"85",rpm,enhanced_speed,"2.71",m/s,,,,,,,
Data,7,record,timestamp,"1032325301",s,distance,"432.38",m,speed,"2.866",m/s,cadence,"85",rpm,enhanced_speed,"2.866",m/s,,,,,,,
Data,7,record,timestamp,"1032325309",s,position_lat,"522396793",semicircles,position_long,"134438858",semicircles,distance,"454.67",m,speed,"5.386",m/s,cadence,"85",rpm,enhanced_speed,"5.386",m/s,
Data,7,record,timestamp,"1032325313",s,position_lat,"522397187",semicircles,position_long,"134439965",semicircles,distance,"462.21",m,speed,"2.821",m/s,cadence,"85",rpm,enhanced_speed,"2.821",m/s,
