Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1032416804",s,position_lat,"522272172",semicircles,position_long,"134029424",semicircles,distance,"0.5",m,speed,"0.0",m/s,cadence,"89",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1032416812",s,position_lat,"522273051",semicircles,position_long,"134026468",semicircles,distance,"22.09",m,speed,"2.478",m/s,cadence,"88",rpm,enhanced_speed,"2.478",m/s,
Data,7,record,timestamp,"1032416821",s,position_lat,"522273680",semicircles,position_long,"134023369",semicircles,distance,"43.73",m,speed,"2.452",m/s,cadence,"86",rpm,enhanced_speed,"2.452",m/s,
Data,7,record,timestamp,"1032416830",s,position_lat,"522274403",semicircles,position_long,"134020431",semicircles,distance,"64.52",m,speed,"2.363",m/s,cadence,"86",rpm,enhanced_speed,"2.363",m/s,
Data,7,record,timestamp,"1032416838",s,position_lat,"522275445",semicircles,position_long,"134017423",semicircles,distance,"87.08",m,speed,"2.449",m/s,cadence,"86",rpm,enhanced_speed,"2.449",m/s,
Data,7,record,timestamp,"1032416846",s,position_lat,"522276311",semicircles,position_long,"134014394",semicircles,distance,"108.88",m,speed,"2.493",m/s,cadence,"86",rpm,enhanced_speed,"2.493",m/s,
Data,7,record,timestamp,"1032416854",s,position_lat,"522277530",semicircles,position_long,"134011718",semicircles,distance,"130.07",m,speed,"2.52",m/s,cadence,"85",rpm,enhanced_speed,"2.52",m/s,
Data,7,record,timestamp,"1032416862",s,position_lat,"522278388",semicircles,position_long,"134008967",semicircles,distance,"150.24",m,speed,"2.524",m/s,cadence,"85",rpm,enhanced_speed,"2.524",m/s,
Data,7,record,timestamp,"1032416871",s,position_lat,"522279098",semicircles,position_long,"134006121",semicircles,distance,"170.52",m,speed,"2.483",m/s,cadence,"85",rpm,enhanced_speed,"2.483",m/s,
Data,7,record,timestamp,"1032416873",s,position_lat,"522279384",semicircles,position_long,"134005550",semicircles,distance,"175.24",m,speed,"2.479",m/s,cadence,"85",rpm,enhanced_speed,"2.479",m/s,
