Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1032499745",s,position_lat,"522347429",semicircles,position_long,"134377186",semicircles,distance,"0.0",m,speed,"0.0",m/s,cadence,"88",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1032499753",s,position_lat,"522346021",semicircles,position_long,"134374459",semicircles,distance,"22.4",m,speed,"2.92",m/s,cadence,"87",rpm,enhanced_speed,"2.92",m/s,
Data,7,record,timestamp,"1032499762",s,position_lat,"522344184",semicircles,position_long,"134372578",semicircles,distance,"44.19",m,speed,"2.571",m/s,cadence,"86",rpm,enhanced_speed,"2.571",m/s,
Data,7,record,timestamp,"1032499771",s,position_lat,"522342136",semicircles,position_long,"134371078",semicircles,distance,"65.9",m,speed,"2.55",m/s,cadence,"86",rpm,enhanced_speed,"2.55",m/s,
Data,7,record,timestamp,"1032499779",s,position_lat,"522340540",semicircles,position_long,"134368846",semicircles,distance,"86.92",m,speed,"2.568",m/s,cadence,"87",rpm,enhanced_speed,"2.568",m/s,
Data,7,record,timestamp,"1032499786",s,position_lat,"522338729",semicircles,position_long,"134367241",semicircles,distance,"107.18",m,speed,"2.614",m/s,cadence,"87",rpm,enhanced_speed,"2.614",m/s,
Data,7,record,timestamp,"1032499793",s,position_lat,"522337077",semicircles,position_long,"134366022",semicircles,distance,"124.9",m,speed,"2.604",m/s,cadence,"88",rpm,enhanced_speed,"2.604",m/s,
Data,7,record,timestamp,"1032499800",s,position_lat,"522335012",semicircles,position_long,"134365111",semicircles,distance,"144.93",m,speed,"2.652",m/s,cadence,"88",rpm,enhanced_speed,"2.652",m/s,
Data,7,record,timestamp,"1032499805",s,position_lat,"522333053",semicircles,position_long,"134363718",semicircles,distance,"165.29",m,speed,"2.963",m/s,cadence,"86",rpm,enhanced_speed,"2.963",m/s,
Data,7,record,timestamp,"1032499813",s,position_lat,"522330759",semicircles,position_long,"134362574",semicircles,distance,"188.03",m,speed,"2.985",m/s,cadence,"86",rpm,enhanced_speed,"2.985",m/s,
Data,7,record,timestamp,"1032499821",s,position_lat,"522328771",semicircles,position_long,"134360825",semicircles,distance,"210.28",m,speed,"2.871",m/s,cadence,"88",rpm,enhanced_speed,"2.871",m/s,
Data,7,record,timestamp,"1032499832",s,position_lat,"522327200",semicircles,position_long,"134358216",semicircles,distance,"232.19",m,speed,"2.748",m/s,cadence,"88",rpm,enhanced_speed,"2.748",m/s,
Data,7,record,timestamp,"1032499842",s,position_lat,"522325271",semicircles,position_long,"134356432",semicircles,distance,"254.02",m,speed,"2.305",m/s,cadence,"88",rpm,enhanced_speed,"2.305",m/s,
Data,7,record,timestamp,"1032499850",s,position_lat,"522323215",semicircles,position_long,"134355487",semicircles,distance,"274.55",m,speed,"2.419",m/s,cadence,"88",rpm,enhanced_speed,"2.419",m/s,
Data,7,record,timestamp,"1032499859",s,position_lat,"522320989",semicircles,position_long,"134354054",semicircles,distance,"297.36",m,speed,"2.485",m/s,cadence,"86",rpm,enhanced_speed,"2.485",m/s,
Data,7,record,timestamp,"1032499865",s,position_lat,"522319383",semicircles,position_long,"134352733",semicircles,distance,"315.06",m,speed,"2.767",m/s,cadence,"87",rpm,enhanced_speed,"2.767",m/s,
Data,7,record,timestamp,"1032499868",s,position_lat,"522316591",semicircles,position_long,"134351144",semicircles,distance,"342.93",m,speed,"3.431",m/s,cadence,"87",rpm,enhanced_speed,"3.431",m/s,
Data,7,record,timestamp,"1032499875",s,position_lat,"522314682",semicircles,position_long,"134349287",semicircles,distance,"364.37",m,speed,"3.396",m/s,cadence,"85",rpm,enhanced_speed,"3.396",m/s,
Data,7,record,timestamp,"1032499882",s,position_lat,"522312280",semicircles,position_long,"134347550",semicircles,distance,"389.55",m,speed,"3.721",m/s,cadence,"87",rpm,enhanced_speed,"3.721",m/s,
Data,7,record,timestamp,"1032499888",s,position_lat,"522310150",semicircles,position_long,"134346324",semicircles,distance,"410.68",m,speed,"3.737",m/s,cadence,"86",rpm,enhanced_speed,"3.737",m/s,
Data,7,record,timestamp,"1032499895",s,position_lat,"522308174",semicircles,position_long,"134344567",semicircles,distance,"432.59",m,speed,"3.658",m/s,cadence,"88",rpm,enhanced_speed,"3.658",m/s,
