Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1032584058",s,position_lat,"522202146",semicircles,position_long,"134412633",semicircles,distance,"0.0",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1032584059",s,position_lat,"522201243",semicircles,position_long,"134413826",semicircles,distance,"5.79",m,speed,"9.549",m/s,cadence,"0",rpm,enhanced_speed,"9.549",m/s,
Data,7,record,timestamp,"1032584064",s,position_lat,"522199549",semicircles,position_long,"134413561",semicircles,distance,"22.39",m,speed,"5.005",m/s,cadence,"0",rpm,enhanced_speed,"5.005",m/s,
Data,7,record,timestamp,"1032584065",s,position_lat,"522199310",semicircles,position_long,"134414030",semicircles,distance,"23.8",m,speed,"4.072",m/s,cadence,"85",rpm,enhanced_speed,"4.072",m/s,
Data,7,record,timestamp,"1032584074",s,position_lat,"522197970",semicircles,position_long,"134416153",semicircles,distance,"45.3",m,speed,"2.642",m/s,cadence,"87",rpm,enhanced_speed,"2.642",m/s,
Data,7,record,timestamp,"1032584078",s,position_lat,"522197760",semicircles,position_long,"134417442",semicircles,distance,"53.75",m,speed,"2.613",m/s,cadence,"88",rpm,enhanced_speed,"2.613",m/s,
Data,7,record,timestamp,"1032584083",s,position_lat,"522197343",semicircles,position_long,"134419214",semicircles,distance,"66.21",m,speed,"2.615",m/s,cadence,"87",rpm,enhanced_speed,"2.615",m/s,
Data,7,record,timestamp,"1032584090",s,position_lat,"522196591",semicircles,position_long,"134419773",semicircles,distance,"78.51",m,speed,"2.527",m/s,cadence,"86",rpm,enhanced_speed,"2.527",m/s,
Data,7,record,timestamp,"1032584096",s,position_lat,"522195157",semicircles,position_long,"134418736",semicircles,distance,"93.79",m,speed,"2.552",m/s,cadence,"86",rpm,enhanced_speed,"2.552",m/s,
Data,7,record,timestamp,"1032584101",s,position_lat,"522194083",semicircles,position_long,"134419987",semicircles,distance,"107.05",m,speed,"2.569",m/s,cadence,"84",rpm,enhanced_speed,"2.569",m/s,
Data,7,record,timestamp,"1032584110",s,position_lat,"522192676",semicircles,position_long,"134422687",semicircles,distance,"130.0",m,speed,"2.57",m/s,cadence,"85",rpm,enhanced_speed,"2.57",m/s,
Data,7,record,timestamp,"1032584117",s,position_lat,"522192264",semicircles,position_long,"134425641",semicircles,distance,"150.3",m,speed,"2.614",m/s,cadence,"86",rpm,enhanced_speed,"2.614",m/s,
