Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1032756744",s,position_lat,"522272548",semicircles,position_long,"134228999",semicircles,distance,"0.0",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1032756752",s,position_lat,"522273693",semicircles,position_long,"134231501",semicircles,distance,"20.11",m,speed,"2.696",m/s,cadence,"86",rpm,enhanced_speed,"2.696",m/s,
Data,7,record,timestamp,"1032756761",s,position_lat,"522274300",semicircles,position_long,"134235111",semicircles,distance,"42.4",m,speed,"2.838",m/s,cadence,"86",rpm,enhanced_speed,"2.838",m/s,
Data,7,record,timestamp,"1032756770",s,position_lat,"522275498",semicircles,position_long,"134237804",semicircles,distance,"63.66",m,speed,"2.767",m/s,cadence,"86",rpm,enhanced_speed,"2.767",m/s,
Data,7,record,timestamp,"1032756776",s,position_lat,"522276053",semicircles,position_long,"134239379",semicircles,distance,"75.33",m,speed,"2.676",m/s,cadence,"86",rpm,enhanced_speed,"2.676",m/s,
Data,7,record,timestamp,"1032756780",s,position_lat,"522276468",semicircles,position_long,"134240363",semicircles,distance,"82.72",m,speed,"2.617",m/s,cadence,"84",rpm,enhanced_speed,"2.617",m/s,
Data,7,record,timestamp,"1032756794",s,position_lat,"522278066",semicircles,position_long,"134242863",semicircles,distance,"104.21",m,speed,"2.614",m/s,cadence,"86",rpm,enhanced_speed,"2.614",m/s,
Data,7,record,timestamp,"1032756800",s,position_lat,"522279671",semicircles,position_long,"134243008",semicircles,distance,"115.62",m,speed,"2.709",m/s,cadence,"86",rpm,enhanced_speed,"2.709",m/s,
Data,7,record,timestamp,"1032756804",s,position_lat,"522281959",semicircles,position_long,"134243157",semicircles,distance,"134.03",m,speed,"2.947",m/s,cadence,"86",rpm,enhanced_speed,"2.947",m/s,
Data,7,record,timestamp,"1032756815",s,position_lat,"522283818",semicircles,position_long,"134244707",semicircles,distance,"154.04",m,speed,"2.75",m/s,cadence,"87",rpm,enhanced_speed,"2.75",m/s,
