Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1033102109",s,position_lat,"522270627",semicircles,position_long,"134236566",semicircles,distance,"1.7",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1033102118",s,position_lat,"522272035",semicircles,position_long,"134238860",semicircles,distance,"22.2",m,speed,"1.009",m/s,cadence,"86",rpm,enhanced_speed,"1.009",m/s,
Data,7,record,timestamp,"1033102128",s,position_lat,"522273411",semicircles,position_long,"134241503",semicircles,distance,"44.32",m,speed,"2.274",m/s,cadence,"87",rpm,enhanced_speed,"2.274",m/s,
Data,7,record,timestamp,"1033102137",s,position_lat,"522274709",semicircles,position_long,"134244031",semicircles,distance,"65.21",m,speed,"2.283",m/s,cadence,"86",rpm,enhanced_speed,"2.283",m/s,
Data,7,record,timestamp,"1033102146",s,position_lat,"522276266",semicircles,position_long,"134246555",semicircles,distance,"87.58",m,speed,"2.326",m/s,cadence,"86",rpm,enhanced_speed,"2.326",m/s,
Data,7,record,timestamp,"1033102154",s,position_lat,"522278963",semicircles,position_long,"134247809",semicircles,distance,"111.27",m,speed,"2.527",m/s,cadence,"85",rpm,enhanced_speed,"2.527",m/s,
Data,7,record,timestamp,"1033102163",s,position_lat,"522280349",semicircles,position_long,"134250217",semicircles,distance,"132.1",m,speed,"2.493",m/s,cadence,"86",rpm,enhanced_speed,"2.493",m/s,
Data,7,record,timestamp,"1033102173",s,position_lat,"522281968",semicircles,position_long,"134252413",semicircles,distance,"153.27",m,speed,"2.429",m/s,cadence,"86",rpm,enhanced_speed,"2.429",m/s,
Data,7,record,timestamp,"1033102183",s,position_lat,"522283771",semicircles,position_long,"134254353",semicircles,distance,"174.49",m,speed,"2.39",m/s,cadence,"86",rpm,enhanced_speed,"2.39",m/s,
Data,7,record,timestamp,"1033102191",s,position_lat,"522285831",semicircles,position_long,"134256097",semicircles,distance,"197.34",m,speed,"2.467",m/s,cadence,"86",rpm,enhanced_speed,"2.467",m/s,
