Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1033190898",s,position_lat,"522409877",semicircles,position_long,"134041819",semicircles,distance,"3.0",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1033190905",s,position_lat,"522409140",semicircles,position_long,"134044604",semicircles,distance,"23.04",m,speed,"2.914",m/s,cadence,"0",rpm,enhanced_speed,"2.914",m/s,
Data,7,record,timestamp,"1033190913",s,position_lat,"522407938",semicircles,position_long,"134047447",semicircles,distance,"45.02",m,speed,"2.836",m/s,cadence,"89",rpm,enhanced_speed,"2.836",m/s,
Data,7,record,timestamp,"1033190917",s,position_lat,"522406781",semicircles,position_long,"134048423",semicircles,distance,"57.17",m,speed,"3.137",m/s,cadence,"87",rpm,enhanced_speed,"3.137",m/s,
Data,7,record,timestamp,"1033190926",s,position_lat,"522405645",semicircles,position_long,"134051336",semicircles,distance,"79.56",m,speed,"2.851",m/s,cadence,"88",rpm,enhanced_speed,"2.851",m/s,
Data,7,record,timestamp,"1033190931",s,position_lat,"522404149",semicircles,position_long,"134054812",semicircles,distance,"106.75",m,speed,"3.115",m/s,cadence,"88",rpm,enhanced_speed,"3.115",m/s,
Data,7,record,timestamp,"1033190941",s,position_lat,"522402997",semicircles,position_long,"134057953",semicircles,distance,"130.02",m,speed,"3.165",m/s,cadence,"86",rpm,enhanced_speed,"3.165",m/s,
Data,7,record,timestamp,"1033190950",s,position_lat,"522401790",semicircles,position_long,"134060750",semicircles,distance,"152.02",m,speed,"3.048",m/s,cadence,"87",rpm,enhanced_speed,"3.048",m/s,
Data,7,record,timestamp,"1033190957",s,position_lat,"522400506",semicircles,position_long,"134063553",semicircles,distance,"174.03",m,speed,"3.081",m/s,cadence,"86",rpm,enhanced_speed,"3.081",m/s,
Data,7,record,timestamp,"1033190966",s,position_lat,"522399602",semicircles,position_long,"134066375",semicircles,distance,"194.8",m,speed,"2.509",m/s,cadence,"87",rpm,enhanced_speed,"2.509",m/s,
Data,7,record,timestamp,"1033190971",s,position_lat,"522399051",semicircles,position_long,"134067818",semicircles,distance,"206.88",m,speed,"2.507",m/s,cadence,"87",rpm,enhanced_speed,"2.507",m/s,
Data,7,record,timestamp,"1033190978",s,position_lat,"522398249",semicircles,position_long,"134069227",semicircles,distance,"220.06",m,speed,"2.076",m/s,cadence,"85",rpm,enhanced_speed,"2.076",m/s,
Data,7,record,timestamp,"1033190986",s,position_lat,"522397463",semicircles,position_long,"134072263",semicircles,distance,"242.0",m,speed,"2.561",m/s,cadence,"86",rpm,enhanced_speed,"2.561",m/s,
Data,7,record,timestamp,"1033190996",s,position_lat,"522397127",semicircles,position_long,"134075620",semicircles,distance,"264.54",m,speed,"2.502",m/s,cadence,"87",rpm,enhanced_speed,"2.502",m/s,
Data,7,record,timestamp,"1033191001",s,position_lat,"522395155",semicircles,position_long,"134077909",semicircles,distance,"287.14",m,speed,"2.76",m/s,cadence,"87",rpm,enhanced_speed,"2.76",m/s,
Data,7,record,timestamp,"1033191008",s,position_lat,"522394123",semicircles,position_long,"134080610",semicircles,distance,"307.81",m,speed,"2.786",m/s,cadence,"88",rpm,enhanced_speed,"2.786",m/s,
Data,7,record,timestamp,"1033191016",s,position_lat,"522393363",semicircles,position_long,"134083373",semicircles,distance,"327.92",m,speed,"2.75",m/s,cadence,"88",rpm,enhanced_speed,"2.75",m/s,
Data,7,record,timestamp,"1033191023",s,position_lat,"522392319",semicircles,position_long,"134085258",semicircles,distance,"343.87",m,speed,"2.701",m/s,cadence,"87",rpm,enhanced_speed,"2.701",m/s,
Data,7,record,timestamp,"1033191030",s,position_lat,"522391729",semicircles,position_long,"134087382",semicircles,distance,"359.5",m,speed,"2.562",m/s,cadence,"88",rpm,enhanced_speed,"2.562",m/s,
Data,7,record,timestamp,"1033191036",s,position_lat,"522390665",semicircles,position_long,"134089643",semicircles,distance,"377.84",m,speed,"2.933",m/s,cadence,"87",rpm,enhanced_speed,"2.933",m/s,
Data,7,record,timestamp,"1033191043",s,position_lat,"522389402",semicircles,position_long,"134092348",semicircles,distance,"399.62",m,speed,"3.007",m/s,cadence,"86",rpm,enhanced_speed,"3.007",m/s,
Data,7,record,timestamp,"1033191050",s,position_lat,"522388300",semicircles,position_long,"134095065",semicircles,distance,"420.7",m,speed,"3.011",m/s,cadence,"87",rpm,enhanced_speed,"3.011",m/s,
Data,7,record,timestamp,"1033191058",s,position_lat,"522386998",semicircles,position_long,"134097518",semicircles,distance,"441.65",m,speed,"2.961",m/s,cadence,"86",rpm,enhanced_speed,"2.961",m/s,
Data,7,record,timestamp,"1033191061",s,position_lat,"522386480",semicircles,position_long,"134097856",semicircles,distance,"447.0",m,speed,"2.892",m/s,cadence,"86",rpm,enhanced_speed,"2.892",m/s,
Data,7,record,timestamp,"1033191069",s,position_lat,"522386005",semicircles,position_long,"134100756",semicircles,distance,"467.06",m,speed,"2.647",m/s,cadence,"85",rpm,enhanced_speed,"2.647",m/s,
Data,7,record,timestamp,"1033191077",s,position_lat,"522385172",semicircles,position_long,"134103472",semicircles,distance,"487.09",m,speed,"2.644",m/s,cadence,"87",rpm,enhanced_speed,"2.644",m/s,
Data,7,record,timestamp,"1033191083",s,position_lat,"522384719",semicircles,position_long,"134105251",semicircles,distance,"499.91",m,speed,"2.508",m/s,cadence,"87",rpm,enhanced_speed,"2.508",m/s,
Data,7,record,timestamp,"1033191090",s,position_lat,"522383828",semicircles,position_long,"134108185",semicircles,distance,"521.32",m,speed,"2.587",m/s,cadence,"88",rpm,enhanced_speed,"2.587",m/s,
Data,7,record,timestamp,"1033191096",s,position_lat,"522382863",semicircles,position_long,"134110943",semicircles,distance,"541.98",m,speed,"2.685",m/s,cadence,"88",rpm,enhanced_speed,"2.685",m/s,
Data,7,record,timestamp,"1033191102",s,position_lat,"522381520",semicircles,position_long,"134113354",semicircles,distance,"562.76",m,speed,"2.789",m/s,cadence,"87",rpm,enhanced_speed,"2.789",m/s,
Data,7,record,timestamp,"1033191109",s,position_lat,"522380231",semicircles,position_long,"134115812",semicircles,distance,"583.25",m,speed,"2.807",m/s,cadence,"87",rpm,enhanced_speed,"2.807",m/s,
Data,7,record,timestamp,"1033191118",s,position_lat,"522378800",semicircles,position_long,"134117197",semicircles,distance,"600.65",m,speed,"2.666",m/s,cadence,"85",rpm,enhanced_speed,"2.666",m/s,
Data,7,record,timestamp,"1033191125",s,position_lat,"522377637",semicircles,position_long,"134118836",semicircles,distance,"615.49",m,speed,"2.505",m/s,cadence,"86",rpm,enhanced_speed,"2.505",m/s,
Data,7,record,timestamp,"1033191129",s,position_lat,"522376792",semicircles,position_long,"134118715",semicircles,distance,"623.96",m,speed,"2.399",m/s,cadence,"86",rpm,enhanced_speed,"2.399",m/s,
Data,7,record,timestamp,"1033191136",s,position_lat,"522375672",semicircles,position_long,"134118769",semicircles,distance,"635.09",m,speed,"2.282",m/s,cadence,"87",rpm,enhanced_speed,"2.282",m/s,
Data,7,record,timestamp,"1033191149",s,position_lat,"522372891",semicircles,position_long,"134119174",semicircles,distance,"657.63",m,speed,"4.443",m/s,cadence,"87",rpm,enhanced_speed,"4.443",m/s,
Data,7,record,timestamp,"1033191150",s,position_lat,"522372499",semicircles,position_long,"134119492",semicircles,distance,"659.66",m,speed,"4.39",m/s,cadence,"87",rpm,enhanced_speed,"4.39",m/s,
Data,7,record,timestamp,"1033191154",s,position_lat,"522370460",semicircles,position_long,"134122352",semicircles,distance,"685.12",m,speed,"4.77",m/s,cadence,"87",rpm,enhanced_speed,"4.77",m/s,
Data,7,record,timestamp,"1033191155",s,position_lat,"522370043",semicircles,position_long,"134122738",semicircles,distance,"689.72",m,speed,"4.768",m/s,cadence,"87",rpm,enhanced_speed,"4.768",m/s,
