Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1033361673",s,position_lat,"522272561",semicircles,position_long,"134408927",semicircles,distance,"0.1",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1033361688",s,position_lat,"522274197",semicircles,position_long,"134410954",semicircles,distance,"20.54",m,speed,"1.39",m/s,cadence,"87",rpm,enhanced_speed,"1.39",m/s,
Data,7,record,timestamp,"1033361696",s,position_lat,"522276289",semicircles,position_long,"134412745",semicircles,distance,"43.2",m,speed,"1.696",m/s,cadence,"86",rpm,enhanced_speed,"1.696",m/s,
Data,7,record,timestamp,"1033361703",s,position_lat,"522278279",semicircles,position_long,"134414327",semicircles,distance,"64.34",m,speed,"1.88",m/s,cadence,"86",rpm,enhanced_speed,"1.88",m/s,
Data,7,record,timestamp,"1033361710",s,position_lat,"522280058",semicircles,position_long,"134416310",semicircles,distance,"85.83",m,speed,"2.047",m/s,cadence,"86",rpm,enhanced_speed,"2.047",m/s,
Data,7,record,timestamp,"1033361717",s,position_lat,"522282079",semicircles,position_long,"134417766",semicircles,distance,"106.6",m,speed,"2.186",m/s,cadence,"86",rpm,enhanced_speed,"2.186",m/s,
Data,7,record,timestamp,"1033361725",s,position_lat,"522283849",semicircles,position_long,"134419495",semicircles,distance,"126.83",m,speed,"2.248",m/s,cadence,"86",rpm,enhanced_speed,"2.248",m/s,
Data,7,record,timestamp,"1033361733",s,position_lat,"522285745",semicircles,position_long,"134421461",semicircles,distance,"149.01",m,speed,"2.354",m/s,cadence,"86",rpm,enhanced_speed,"2.354",m/s,
Data,7,record,timestamp,"1033361738",s,position_lat,"522287103",semicircles,position_long,"134423185",semicircles,distance,"164.79",m,speed,"2.477",m/s,cadence,"86",rpm,enhanced_speed,"2.477",m/s,
Data,7,record,timestamp,"1033361746",s,position_lat,"522287091",semicircles,position_long,"134424917",semicircles,distance,"172.66",m,speed,"1.958",m/s,cadence,"84",rpm,enhanced_speed,"1.958",m/s,
Data,7,record,timestamp,"1033361750",s,position_lat,"522287835",semicircles,position_long,"134424971",semicircles,distance,"179.13",m,speed,"1.914",m/s,cadence,"83",rpm,enhanced_speed,"1.914",m/s,
Data,7,record,timestamp,"1033361758",s,position_lat,"522290024",semicircles,position_long,"134424269",semicircles,distance,"199.89",m,speed,"2.488",m/s,cadence,"85",rpm,enhanced_speed,"2.488",m/s,
Data,7,record,timestamp,"1033361766",s,position_lat,"522292232",semicircles,position_long,"134423366",semicircles,distance,"221.29",m,speed,"2.557",m/s,cadence,"86",rpm,enhanced_speed,"2.557",m/s,
Data,7,record,timestamp,"1033361775",s,position_lat,"522294458",semicircles,position_long,"134422466",semicircles,distance,"242.97",m,speed,"2.531",m/s,cadence,"86",rpm,enhanced_speed,"2.531",m/s,
Data,7,record,timestamp,"1033361785",s,position_lat,"522296572",semicircles,position_long,"134421143",semicircles,distance,"264.49",m,speed,"2.474",m/s,cadence,"86",rpm,enhanced_speed,"2.474",m/s,
Data,7,record,timestamp,"1033361793",s,position_lat,"522299028",semicircles,position_long,"134419912",semicircles,distance,"288.48",m,speed,"2.562",m/s,cadence,"86",rpm,enhanced_speed,"2.562",m/s,
Data,7,record,timestamp,"1033361802",s,position_lat,"522301374",semicircles,position_long,"134418654",semicircles,distance,"311.68",m,speed,"2.573",m/s,cadence,"86",rpm,enhanced_speed,"2.573",m/s,
Data,7,record,timestamp,"1033361808",s,position_lat,"522303307",semicircles,position_long,"134416760",semicircles,distance,"333.81",m,speed,"2.707",m/s,cadence,"86",rpm,enhanced_speed,"2.707",m/s,
Data,7,record,timestamp,"1033361814",s,position_lat,"522305266",semicircles,position_long,"134414864",semicircles,distance,"356.12",m,speed,"2.823",m/s,cadence,"86",rpm,enhanced_speed,"2.823",m/s,
Data,7,record,timestamp,"1033361820",s,position_lat,"522307169",semicircles,position_long,"134412811",semicircles,distance,"378.61",m,speed,"3.047",m/s,cadence,"87",rpm,enhanced_speed,"3.047",m/s,
Data,7,record,timestamp,"1033361828",s,position_lat,"522308908",semicircles,position_long,"134410819",semicircles,distance,"399.72",m,speed,"2.787",m/s,cadence,"87",rpm,enhanced_speed,"2.787",m/s,
Data,7,record,timestamp,"1033361836",s,position_lat,"522310483",semicircles,position_long,"134408788",semicircles,distance,"419.88",m,speed,"2.745",m/s,cadence,"86",rpm,enhanced_speed,"2.745",m/s,
Data,7,record,timestamp,"1033361844",s,position_lat,"522312402",semicircles,position_long,"134406738",semicircles,distance,"442.5",m,speed,"2.762",m/s,cadence,"87",rpm,enhanced_speed,"2.762",m/s,
Data,7,record,timestamp,"1033361850",s,position_lat,"522314431",semicircles,position_long,"134405300",semicircles,distance,"463.66",m,speed,"2.851",m/s,cadence,"88",rpm,enhanced_speed,"2.851",m/s,
Data,7,record,timestamp,"1033361858",s,position_lat,"522316524",semicircles,position_long,"134403653",semicircles,distance,"486.07",m,speed,"2.844",m/s,cadence,"86",rpm,enhanced_speed,"2.844",m/s,
Data,7,record,timestamp,"1033361867",s,position_lat,"522318523",semicircles,position_long,"134401939",semicircles,distance,"507.73",m,speed,"2.78",m/s,cadence,"85",rpm,enhanced_speed,"2.78",m/s,
Data,7,record,timestamp,"1033361874",s,position_lat,"522320421",semicircles,position_long,"134400458",semicircles,distance,"528.17",m,speed,"2.799",m/s,cadence,"84",rpm,enhanced_speed,"2.799",m/s,
Data,7,record,timestamp,"1033361877",s,position_lat,"522321132",semicircles,position_long,"134399743",semicircles,distance,"536.33",m,speed,"2.76",m/s,cadence,"86",rpm,enhanced_speed,"2.76",m/s,
Data,7,record,timestamp,"1033361884",s,position_lat,"522321152",semicircles,position_long,"134399267",semicircles,distance,"551.42",m,speed,"2.52",m/s,cadence,"85",rpm,enhanced_speed,"2.52",m/s,
