Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1033452851",s,position_lat,"522280796",semicircles,position_long,"134243814",semicircles,distance,"0.6",m,speed,"0.0",m/s,cadence,"86",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1033452858",s,position_lat,"522278799",semicircles,position_long,"134245058",semicircles,distance,"20.93",m,speed,"2.571",m/s,cadence,"0",rpm,enhanced_speed,"2.571",m/s,
Data,7,record,timestamp,"1033452867",s,position_lat,"522276854",semicircles,position_long,"134246300",semicircles,distance,"40.97",m,speed,"2.063",m/s,cadence,"84",rpm,enhanced_speed,"2.063",m/s,
Data,7,record,timestamp,"1033452877",s,position_lat,"522275308",semicircles,position_long,"134248503",semicircles,distance,"61.24",m,speed,"2.113",m/s,cadence,"87",rpm,enhanced_speed,"2.113",m/s,
Data,7,record,timestamp,"1033452886",s,position_lat,"522273390",semicircles,position_long,"134250187",semicircles,distance,"82.67",m,speed,"2.223",m/s,cadence,"86",rpm,enhanced_speed,"2.223",m/s,
Data,7,record,timestamp,"1033452891",s,position_lat,"522272426",semicircles,position_long,"134250594",semicircles,distance,"92.1",m,speed,"2.205",m/s,cadence,"86",rpm,enhanced_speed,"2.205",m/s,
Data,7,record,timestamp,"1033452900",s,position_lat,"522270155",semicircles,position_long,"134251352",semicircles,distance,"113.94",m,speed,"2.246",m/s,cadence,"86",rpm,enhanced_speed,"2.246",m/s,
Data,7,record,timestamp,"1033452906",s,position_lat,"522268719",semicircles,position_long,"134252187",semicircles,distance,"128.49",m,speed,"2.269",m/s,cadence,"86",rpm,enhanced_speed,"2.269",m/s,
Data,7,record,timestamp,"1033452914",s,position_lat,"522266765",semicircles,position_long,"134253682",semicircles,distance,"149.28",m,speed,"2.322",m/s,cadence,"86",rpm,enhanced_speed,"2.322",m/s,
Data,7,record,timestamp,"1033452921",s,position_lat,"522264656",semicircles,position_long,"134254363",semicircles,distance,"169.55",m,speed,"2.403",m/s,cadence,"86",rpm,enhanced_speed,"2.403",m/s,
Data,7,record,timestamp,"1033452929",s,position_lat,"522262541",semicircles,position_long,"134255497",semicircles,distance,"190.84",m,speed,"2.46",m/s,cadence,"86",rpm,enhanced_speed,"2.46",m/s,
Data,7,record,timestamp,"1033452932",s,position_lat,"522261986",semicircles,position_long,"134255740",semicircles,distance,"196.0",m,speed,"2.423",m/s,cadence,"86",rpm,enhanced_speed,"2.423",m/s,
Data,7,record,timestamp,"1033452934",s,position_lat,"522261984",semicircles,position_long,"134255841",semicircles,distance,"196.62",m,speed,"0.915",m/s,cadence,"85",rpm,enhanced_speed,"0.915",m/s,
Data,7,record,timestamp,"1033452940",s,position_lat,"522260768",semicircles,position_long,"134258554",semicircles,distance,"217.09",m,speed,"3.604",m/s,cadence,"86",rpm,enhanced_speed,"3.604",m/s,
Data,7,record,timestamp,"1033452945",s,position_lat,"522260648",semicircles,position_long,"134260182",semicircles,distance,"228.37",m,speed,"2.163",m/s,cadence,"86",rpm,enhanced_speed,"2.163",m/s,
Data,7,record,timestamp,"1033452951",s,position_lat,"522260082",semicircles,position_long,"134262250",semicircles,distance,"244.26",m,speed,"2.169",m/s,cadence,"86",rpm,enhanced_speed,"2.169",m/s,
Data,7,record,timestamp,"1033452956",s,position_lat,"522260251",semicircles,position_long,"134265325",semicircles,distance,"264.64",m,speed,"3.381",m/s,cadence,"85",rpm,enhanced_speed,"3.381",m/s,
Data,7,record,timestamp,"1033452959",s,position_lat,"522260380",semicircles,position_long,"134267198",semicircles,distance,"277.3",m,speed,"3.765",m/s,cadence,"85",rpm,enhanced_speed,"3.765",m/s,
Data,7,record,timestamp,"1033452960",s,position_lat,"522260181",semicircles,position_long,"134267479",semicircles,distance,"279.64",m,speed,"3.609",m/s,cadence,"86",rpm,enhanced_speed,"3.609",m/s,
Data,7,record,timestamp,"1033452964",s,position_lat,"522260059",semicircles,position_long,"134269536",semicircles,distance,"293.3",m,speed,"3.577",m/s,cadence,"86",rpm,enhanced_speed,"3.577",m/s,
Data,7,record,timestamp,"1033452971",s,position_lat,"522258994",semicircles,position_long,"134272163",semicircles,distance,"313.68",m,speed,"3.515",m/s,cadence,"86",rpm,enhanced_speed,"3.515",m/s,
Data,7,record,timestamp,"1033452979",s,position_lat,"522258300",semicircles,position_long,"134275352",semicircles,distance,"336.07",m,speed,"3.427",m/s,cadence,"86",rpm,enhanced_speed,"3.427",m/s,
Data,7,record,timestamp,"1033452987",s,position_lat,"522257022",semicircles,position_long,"134277837",semicircles,distance,"356.6",m,speed,"3.306",m/s,cadence,"85",rpm,enhanced_speed,"3.306",m/s,
Data,7,record,timestamp,"1033452989",s,position_lat,"522256719",semicircles,position_long,"134278466",semicircles,distance,"361.63",m,speed,"3.276",m/s,cadence,"85",rpm,enhanced_speed,"3.276",m/s,
