Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1033792688",s,position_lat,"522274685",semicircles,position_long,"134231005",semicircles,distance,"1.21",m,speed,"0.0",m/s,cadence,"86",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1033792690",s,position_lat,"522275016",semicircles,position_long,"134231475",semicircles,distance,"5.12",m,speed,"2.533",m/s,cadence,"0",rpm,enhanced_speed,"2.533",m/s,
Data,7,record,timestamp,"1033792697",s,position_lat,"522276582",semicircles,position_long,"134233562",semicircles,distance,"25.37",m,speed,"2.56",m/s,cadence,"85",rpm,enhanced_speed,"2.56",m/s,
Data,7,record,timestamp,"1033792704",s,position_lat,"522278188",semicircles,position_long,"134235843",semicircles,distance,"46.53",m,speed,"3.11",m/s,cadence,"89",rpm,enhanced_speed,"3.11",m/s,
Data,7,record,timestamp,"1033792711",s,position_lat,"522279832",semicircles,position_long,"134238439",semicircles,distance,"70.03",m,speed,"3.183",m/s,cadence,"87",rpm,enhanced_speed,"3.183",m/s,
Data,7,record,timestamp,"1033792720",s,position_lat,"522281410",semicircles,position_long,"134240669",semicircles,distance,"91.36",m,speed,"3.054",m/s,cadence,"86",rpm,enhanced_speed,"3.054",m/s,
Data,7,record,timestamp,"1033792728",s,position_lat,"522282672",semicircles,position_long,"134243391",semicircles,distance,"112.79",m,speed,"3.006",m/s,cadence,"88",rpm,enhanced_speed,"3.006",m/s,
Data,7,record,timestamp,"1033792735",s,position_lat,"522284442",semicircles,position_long,"134245167",semicircles,distance,"133.23",m,speed,"3.009",m/s,cadence,"87",rpm,enhanced_speed,"3.009",m/s,
Data,7,record,timestamp,"1033792743",s,position_lat,"522286299",semicircles,position_long,"134247389",semicircles,distance,"156.07",m,speed,"2.992",m/s,cadence,"89",rpm,enhanced_speed,"2.992",m/s,
Data,7,record,timestamp,"1033792750",s,position_lat,"522287482",semicircles,position_long,"134250352",semicircles,distance,"178.08",m,speed,"3.039",m/s,cadence,"89",rpm,enhanced_speed,"3.039",m/s,
Data,7,record,timestamp,"1033792757",s,position_lat,"522289327",semicircles,position_long,"134252008",semicircles,distance,"198.68",m,speed,"3.035",m/s,cadence,"89",rpm,enhanced_speed,"3.035",m/s,
Data,7,record,timestamp,"1033792765",s,position_lat,"522291616",semicircles,position_long,"134253502",semicircles,distance,"222.02",m,speed,"3.032",m/s,cadence,"87",rpm,enhanced_speed,"3.032",m/s,
Data,7,record,timestamp,"1033792773",s,position_lat,"522293815",semicircles,position_long,"134254858",semicircles,distance,"244.38",m,speed,"3.001",m/s,cadence,"87",rpm,enhanced_speed,"3.001",m/s,
Data,7,record,timestamp,"1033792783",s,position_lat,"522295718",semicircles,position_long,"134256985",semicircles,distance,"266.93",m,speed,"2.877",m/s,cadence,"89",rpm,enhanced_speed,"2.877",m/s,
Data,7,record,timestamp,"1033792792",s,position_lat,"522297841",semicircles,position_long,"134258474",semicircles,distance,"289.03",m,speed,"2.844",m/s,cadence,"87",rpm,enhanced_speed,"2.844",m/s,
Data,7,record,timestamp,"1033792800",s,position_lat,"522299876",semicircles,position_long,"134260281",semicircles,distance,"311.41",m,speed,"2.828",m/s,cadence,"88",rpm,enhanced_speed,"2.828",m/s,
