Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1033999095",s,position_lat,"522259553",semicircles,position_long,"134203345",semicircles,distance,"1.58",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1033999102",s,position_lat,"522259748",semicircles,position_long,"134200336",semicircles,distance,"22.0",m,speed,"3.03",m/s,cadence,"0",rpm,enhanced_speed,"3.03",m/s,
Data,7,record,timestamp,"1033999110",s,position_lat,"522260171",semicircles,position_long,"134196960",semicircles,distance,"44.98",m,speed,"2.942",m/s,cadence,"87",rpm,enhanced_speed,"2.942",m/s,
Data,7,record,timestamp,"1033999117",s,position_lat,"522260779",semicircles,position_long,"134193931",semicircles,distance,"66.12",m,speed,"3.002",m/s,cadence,"87",rpm,enhanced_speed,"3.002",m/s,
Data,7,record,timestamp,"1033999124",s,position_lat,"522261312",semicircles,position_long,"134191015",semicircles,distance,"86.35",m,speed,"2.993",m/s,cadence,"87",rpm,enhanced_speed,"2.993",m/s,
Data,7,record,timestamp,"1033999131",s,position_lat,"522262074",semicircles,position_long,"134188220",semicircles,distance,"106.42",m,speed,"2.979",m/s,cadence,"86",rpm,enhanced_speed,"2.979",m/s,
Data,7,record,timestamp,"1033999138",s,position_lat,"522262221",semicircles,position_long,"134185293",semicircles,distance,"126.78",m,speed,"2.998",m/s,cadence,"86",rpm,enhanced_speed,"2.998",m/s,
Data,7,record,timestamp,"1033999145",s,position_lat,"522261753",semicircles,position_long,"134182253",semicircles,distance,"147.48",m,speed,"3.021",m/s,cadence,"87",rpm,enhanced_speed,"3.021",m/s,
Data,7,record,timestamp,"1033999152",s,position_lat,"522260651",semicircles,position_long,"134179539",semicircles,distance,"168.46",m,speed,"3.046",m/s,cadence,"87",rpm,enhanced_speed,"3.046",m/s,
Data,7,record,timestamp,"1033999154",s,position_lat,"522260673",semicircles,position_long,"134178931",semicircles,distance,"172.92",m,speed,"3.022",m/s,cadence,"87",rpm,enhanced_speed,"3.022",m/s,
Data,7,record,timestamp,"1033999161",s,position_lat,"522259928",semicircles,position_long,"134176223",semicircles,distance,"192.93",m,speed,"3.012",m/s,cadence,"87",rpm,enhanced_speed,"3.012",m/s,
Data,7,record,timestamp,"1033999162",s,position_lat,"522259737",semicircles,position_long,"134175939",semicircles,distance,"195.5",m,speed,"3.004",m/s,cadence,"87",rpm,enhanced_speed,"3.004",m/s,
Data,7,record,timestamp,"1033999172",s,position_lat,"522258445",semicircles,position_long,"134173959",semicircles,distance,"214.02",m,speed,"2.795",m/s,cadence,"85",rpm,enhanced_speed,"2.795",m/s,
Data,7,record,timestamp,"1033999178",s,position_lat,"522258682",semicircles,position_long,"134173024",semicircles,distance,"222.43",m,speed,"2.523",m/s,cadence,"83",rpm,enhanced_speed,"2.523",m/s,
Data,7,record,timestamp,"1033999185",s,position_lat,"522258859",semicircles,position_long,"134171619",semicircles,distance,"232.03",m,speed,"1.625",m/s,cadence,"85",rpm,enhanced_speed,"1.625",m/s,
Data,7,record,timestamp,"1033999191",s,position_lat,"522259131",semicircles,position_long,"134170304",semicircles,distance,"241.36",m,speed,"1.605",m/s,cadence,"88",rpm,enhanced_speed,"1.605",m/s,
Data,7,record,timestamp,"1033999200",s,position_lat,"522260566",semicircles,position_long,"134167865",semicircles,distance,"262.57",m,speed,"1.799",m/s,cadence,"86",rpm,enhanced_speed,"1.799",m/s,
Data,7,record,timestamp,"1033999209",s,position_lat,"522262200",semicircles,position_long,"134165414",semicircles,distance,"284.97",m,speed,"1.924",m/s,cadence,"87",rpm,enhanced_speed,"1.924",m/s,
Data,7,record,timestamp,"1033999217",s,position_lat,"522263553",semicircles,position_long,"134162792",semicircles,distance,"306.88",m,speed,"2.048",m/s,cadence,"87",rpm,enhanced_speed,"2.048",m/s,
Data,7,record,timestamp,"1033999221",s,position_lat,"522265327",semicircles,position_long,"134160898",semicircles,distance,"327.17",m,speed,"2.303",m/s,cadence,"86",rpm,enhanced_speed,"2.303",m/s,
Data,7,record,timestamp,"1033999225",s,position_lat,"522267121",semicircles,position_long,"134159176",semicircles,distance,"347.46",m,speed,"2.519",m/s,cadence,"86",rpm,enhanced_speed,"2.519",m/s,
Data,7,record,timestamp,"1033999232",s,position_lat,"522268947",semicircles,position_long,"134157352",semicircles,distance,"368.39",m,speed,"2.581",m/s,cadence,"85",rpm,enhanced_speed,"2.581",m/s,
Data,7,record,timestamp,"1033999233",s,position_lat,"522268817",semicircles,position_long,"134157208",semicircles,distance,"368.72",m,speed,"2.561",m/s,cadence,"85",rpm,enhanced_speed,"2.561",m/s,
Data,7,record,timestamp,"1033999239",s,position_lat,"522269113",semicircles,position_long,"134155936",semicircles,distance,"377.87",m,speed,"2.451",m/s,cadence,"83",rpm,enhanced_speed,"2.451",m/s,
Data,7,record,timestamp,"1033999249",s,position_lat,"522270341",semicircles,position_long,"134153297",semicircles,distance,"398.96",m,speed,"2.141",m/s,cadence,"86",rpm,enhanced_speed,"2.141",m/s,
Data,7,record,timestamp,"1033999255",s,position_lat,"522272225",semicircles,position_long,"134150905",semicircles,distance,"422.19",m,speed,"2.641",m/s,cadence,"87",rpm,enhanced_speed,"2.641",m/s,
Data,7,record,timestamp,"1033999261",s,position_lat,"522274101",semicircles,position_long,"134149109",semicircles,distance,"443.19",m,speed,"2.747",m/s,cadence,"87",rpm,enhanced_speed,"2.747",m/s,
Data,7,record,timestamp,"1033999269",s,position_lat,"522276074",semicircles,position_long,"134147378",semicircles,distance,"465.0",m,speed,"2.745",m/s,cadence,"85",rpm,enhanced_speed,"2.745",m/s,
Data,7,record,timestamp,"1033999278",s,position_lat,"522277245",semicircles,position_long,"134144414",semicircles,distance,"487.55",m,speed,"3.079",m/s,cadence,"84",rpm,enhanced_speed,"3.079",m/s,
Data,7,record,timestamp,"1033999285",s,position_lat,"522278782",semicircles,position_long,"134142122",semicircles,distance,"508.62",m,speed,"3.054",m/s,cadence,"86",rpm,enhanced_speed,"3.054",m/s,
Data,7,record,timestamp,"1033999293",s,position_lat,"522280367",semicircles,position_long,"134139891",semicircles,distance,"529.57",m,speed,"2.985",m/s,cadence,"87",rpm,enhanced_speed,"2.985",m/s,
Data,7,record,timestamp,"1033999299",s,position_lat,"522282262",semicircles,position_long,"134137874",semicircles,distance,"551.59",m,speed,"3.07",m/s,cadence,"87",rpm,enhanced_speed,"3.07",m/s,
Data,7,record,timestamp,"1033999305",s,position_lat,"522283927",semicircles,position_long,"134135706",semicircles,distance,"572.87",m,speed,"3.126",m/s,cadence,"86",rpm,enhanced_speed,"3.126",m/s,
