Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1033999867",s,position_lat,"522296566",semicircles,position_long,"134028453",semicircles,distance,"1.06",m,speed,"0.0",m/s,cadence,"85",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1033999875",s,position_lat,"522296585",semicircles,position_long,"134025554",semicircles,distance,"21.63",m,speed,"2.123",m/s,cadence,"85",rpm,enhanced_speed,"2.123",m/s,
Data,7,record,timestamp,"1033999883",s,position_lat,"522295225",semicircles,position_long,"134023702",semicircles,distance,"40.45",m,speed,"2.393",m/s,cadence,"85",rpm,enhanced_speed,"2.393",m/s,
Data,7,record,timestamp,"1033999891",s,position_lat,"522292840",semicircles,position_long,"134023034",semicircles,distance,"63.15",m,speed,"2.505",m/s,cadence,"84",rpm,enhanced_speed,"2.505",m/s,
Data,7,record,timestamp,"1033999899",s,position_lat,"522291449",semicircles,position_long,"134020478",semicircles,distance,"85.41",m,speed,"2.549",m/s,cadence,"85",rpm,enhanced_speed,"2.549",m/s,
Data,7,record,timestamp,"1033999907",s,position_lat,"522291585",semicircles,position_long,"134017214",semicircles,distance,"107.68",m,speed,"2.585",m/s,cadence,"86",rpm,enhanced_speed,"2.585",m/s,
Data,7,record,timestamp,"1033999915",s,position_lat,"522291708",semicircles,position_long,"134013994",semicircles,distance,"129.41",m,speed,"2.604",m/s,cadence,"86",rpm,enhanced_speed,"2.604",m/s,
Data,7,record,timestamp,"1033999919",s,position_lat,"522292073",semicircles,position_long,"134012570",semicircles,distance,"139.69",m,speed,"2.602",m/s,cadence,"85",rpm,enhanced_speed,"2.602",m/s,
Data,7,record,timestamp,"1033999924",s,position_lat,"522292941",semicircles,position_long,"134011062",semicircles,distance,"152.78",m,speed,"2.604",m/s,cadence,"84",rpm,enhanced_speed,"2.604",m/s,
Data,7,record,timestamp,"1033999933",s,position_lat,"522294871",semicircles,position_long,"134009355",semicircles,distance,"174.16",m,speed,"2.566",m/s,cadence,"85",rpm,enhanced_speed,"2.566",m/s,
Data,7,record,timestamp,"1033999935",s,position_lat,"522295188",semicircles,position_long,"134009261",semicircles,distance,"177.25",m,speed,"2.526",m/s,cadence,"85",rpm,enhanced_speed,"2.526",m/s,
