Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1034238650",s,position_lat,"522271723",semicircles,position_long,"134176014",semicircles,distance,"1.6",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1034238658",s,position_lat,"522273121",semicircles,position_long,"134173695",semicircles,distance,"21.91",m,speed,"2.324",m/s,cadence,"87",rpm,enhanced_speed,"2.324",m/s,
Data,7,record,timestamp,"1034238666",s,position_lat,"522274504",semicircles,position_long,"134171916",semicircles,distance,"39.55",m,speed,"2.317",m/s,cadence,"86",rpm,enhanced_speed,"2.317",m/s,
Data,7,record,timestamp,"1034238674",s,position_lat,"522273401",semicircles,position_long,"134169038",semicircles,distance,"62.08",m,speed,"2.782",m/s,cadence,"85",rpm,enhanced_speed,"2.782",m/s,
Data,7,record,timestamp,"1034238681",s,position_lat,"522272537",semicircles,position_long,"134166127",semicircles,distance,"83.44",m,speed,"2.944",m/s,cadence,"87",rpm,enhanced_speed,"2.944",m/s,
Data,7,record,timestamp,"1034238689",s,position_lat,"522271211",semicircles,position_long,"134163399",semicircles,distance,"105.58",m,speed,"2.929",m/s,cadence,"87",rpm,enhanced_speed,"2.929",m/s,
Data,7,record,timestamp,"1034238696",s,position_lat,"522269905",semicircles,position_long,"134160957",semicircles,distance,"126.1",m,speed,"2.933",m/s,cadence,"87",rpm,enhanced_speed,"2.933",m/s,
Data,7,record,timestamp,"1034238706",s,position_lat,"522269144",semicircles,position_long,"134158085",semicircles,distance,"146.45",m,speed,"2.661",m/s,cadence,"84",rpm,enhanced_speed,"2.661",m/s,
Data,7,record,timestamp,"1034238715",s,position_lat,"522268136",semicircles,position_long,"134155251",semicircles,distance,"167.74",m,speed,"3.03",m/s,cadence,"87",rpm,enhanced_speed,"3.03",m/s,
Data,7,record,timestamp,"1034238722",s,position_lat,"522266406",semicircles,position_long,"134152978",semicircles,distance,"189.97",m,speed,"3.099",m/s,cadence,"87",rpm,enhanced_speed,"3.099",m/s,
Data,7,record,timestamp,"1034238729",s,position_lat,"522264527",semicircles,position_long,"134151199",semicircles,distance,"210.66",m,speed,"3.098",m/s,cadence,"87",rpm,enhanced_speed,"3.098",m/s,
Data,7,record,timestamp,"1034238736",s,position_lat,"522262677",semicircles,position_long,"134149276",semicircles,distance,"232.18",m,speed,"3.097",m/s,cadence,"88",rpm,enhanced_speed,"3.097",m/s,
Data,7,record,timestamp,"1034238743",s,position_lat,"522260880",semicircles,position_long,"134147325",semicircles,distance,"253.22",m,speed,"3.092",m/s,cadence,"87",rpm,enhanced_speed,"3.092",m/s,
