Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1034241595",s,position_lat,"522426424",semicircles,position_long,"133705779",semicircles,distance,"1.93",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1034241602",s,position_lat,"522425341",semicircles,position_long,"133708402",semicircles,distance,"22.25",m,speed,"2.911",m/s,cadence,"88",rpm,enhanced_speed,"2.911",m/s,
Data,7,record,timestamp,"1034241610",s,position_lat,"522424365",semicircles,position_long,"133711103",semicircles,distance,"42.53",m,speed,"2.659",m/s,cadence,"86",rpm,enhanced_speed,"2.659",m/s,
Data,7,record,timestamp,"1034241618",s,position_lat,"522423009",semicircles,position_long,"133713642",semicircles,distance,"63.88",m,speed,"2.647",m/s,cadence,"86",rpm,enhanced_speed,"2.647",m/s,
Data,7,record,timestamp,"1034241625",s,position_lat,"522422014",semicircles,position_long,"133715556",semicircles,distance,"79.79",m,speed,"2.597",m/s,cadence,"87",rpm,enhanced_speed,"2.597",m/s,
Data,7,record,timestamp,"1034241633",s,position_lat,"522420467",semicircles,position_long,"133717780",semicircles,distance,"100.59",m,speed,"2.597",m/s,cadence,"86",rpm,enhanced_speed,"2.597",m/s,
Data,7,record,timestamp,"1034241641",s,position_lat,"522419105",semicircles,position_long,"133720211",semicircles,distance,"121.36",m,speed,"2.597",m/s,cadence,"87",rpm,enhanced_speed,"2.597",m/s,
Data,7,record,timestamp,"1034241650",s,position_lat,"522417649",semicircles,position_long,"133722881",semicircles,distance,"143.93",m,speed,"2.584",m/s,cadence,"88",rpm,enhanced_speed,"2.584",m/s,
Data,7,record,timestamp,"1034241658",s,position_lat,"522416309",semicircles,position_long,"133725332",semicircles,distance,"164.64",m,speed,"2.585",m/s,cadence,"87",rpm,enhanced_speed,"2.585",m/s,
Data,7,record,timestamp,"1034241665",s,position_lat,"522414881",semicircles,position_long,"133727642",semicircles,distance,"185.14",m,speed,"2.631",m/s,cadence,"87",rpm,enhanced_speed,"2.631",m/s,
