Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1034334921",s,position_lat,"522280642",semicircles,position_long,"134219543",semicircles,distance,"1.01",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1034334931",s,position_lat,"522282817",semicircles,position_long,"134218638",semicircles,distance,"22.18",m,speed,"2.577",m/s,cadence,"87",rpm,enhanced_speed,"2.577",m/s,
Data,7,record,timestamp,"1034334938",s,position_lat,"522284962",semicircles,position_long,"134217154",semicircles,distance,"44.35",m,speed,"3.256",m/s,cadence,"87",rpm,enhanced_speed,"3.256",m/s,
Data,7,record,timestamp,"1034334945",s,position_lat,"522286672",semicircles,position_long,"134214224",semicircles,distance,"66.87",m,speed,"3.319",m/s,cadence,"87",rpm,enhanced_speed,"3.319",m/s,
Data,7,record,timestamp,"1034334949",s,position_lat,"522286386",semicircles,position_long,"134210437",semicircles,distance,"91.5",m,speed,"3.579",m/s,cadence,"84",rpm,enhanced_speed,"3.579",m/s,
Data,7,record,timestamp,"1034334950",s,position_lat,"522286960",semicircles,position_long,"134210123",semicircles,distance,"91.5",m,speed,"3.623",m/s,cadence,"84",rpm,enhanced_speed,"3.623",m/s,
Data,7,record,timestamp,"1034334951",s,position_lat,"522287218",semicircles,position_long,"134209860",semicircles,distance,"93.32",m,speed,"3.61",m/s,cadence,"84",rpm,enhanced_speed,"3.61",m/s,
Data,7,record,timestamp,"1034334956",s,position_lat,"522288775",semicircles,position_long,"134208962",semicircles,distance,"109.15",m,speed,"3.586",m/s,cadence,"86",rpm,enhanced_speed,"3.586",m/s,
Data,7,record,timestamp,"1034334960",s,position_lat,"522289859",semicircles,position_long,"134207982",semicircles,distance,"121.98",m,speed,"3.56",m/s,cadence,"86",rpm,enhanced_speed,"3.56",m/s,
Data,7,record,timestamp,"1034334965",s,position_lat,"522290208",semicircles,position_long,"134206643",semicircles,distance,"131.52",m,speed,"0.902",m/s,cadence,"86",rpm,enhanced_speed,"0.902",m/s,
Data,7,record,timestamp,"1034334974",s,position_lat,"522292351",semicircles,position_long,"134206338",semicircles,distance,"151.72",m,speed,"3.39",m/s,cadence,"86",rpm,enhanced_speed,"3.39",m/s,
Data,7,record,timestamp,"1034334982",s,position_lat,"522294776",semicircles,position_long,"134205591",semicircles,distance,"174.87",m,speed,"2.814",m/s,cadence,"87",rpm,enhanced_speed,"2.814",m/s,
Data,7,record,timestamp,"1034334989",s,position_lat,"522297094",semicircles,position_long,"134204851",semicircles,distance,"197.01",m,speed,"2.861",m/s,cadence,"87",rpm,enhanced_speed,"2.861",m/s,
Data,7,record,timestamp,"1034334990",s,position_lat,"522297314",semicircles,position_long,"134204668",semicircles,distance,"199.36",m,speed,"2.852",m/s,cadence,"87",rpm,enhanced_speed,"2.852",m/s,
Data,7,record,timestamp,"1034334998",s,position_lat,"522298928",semicircles,position_long,"134202309",semicircles,distance,"222.19",m,speed,"2.854",m/s,cadence,"86",rpm,enhanced_speed,"2.854",m/s,
