Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1034398002",s,position_lat,"522269362",semicircles,position_long,"134213907",semicircles,distance,"1.02",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1034398011",s,position_lat,"522271414",semicircles,position_long,"134212825",semicircles,distance,"21.49",m,speed,"2.226",m/s,cadence,"86",rpm,enhanced_speed,"2.226",m/s,
Data,7,record,timestamp,"1034398016",s,position_lat,"522272501",semicircles,position_long,"134211838",semicircles,distance,"33.17",m,speed,"2.525",m/s,cadence,"86",rpm,enhanced_speed,"2.525",m/s,
Data,7,record,timestamp,"1034398025",s,position_lat,"522274583",semicircles,position_long,"134210610",semicircles,distance,"54.37",m,speed,"2.484",m/s,cadence,"86",rpm,enhanced_speed,"2.484",m/s,
Data,7,record,timestamp,"1034398031",s,position_lat,"522275943",semicircles,position_long,"134209672",semicircles,distance,"68.47",m,speed,"2.471",m/s,cadence,"86",rpm,enhanced_speed,"2.471",m/s,
Data,7,record,timestamp,"1034398040",s,position_lat,"522277756",semicircles,position_long,"134207792",semicircles,distance,"89.04",m,speed,"2.473",m/s,cadence,"88",rpm,enhanced_speed,"2.473",m/s,
Data,7,record,timestamp,"1034398048",s,position_lat,"522279592",semicircles,position_long,"134206119",semicircles,distance,"109.22",m,speed,"2.489",m/s,cadence,"87",rpm,enhanced_speed,"2.489",m/s,
Data,7,record,timestamp,"1034398057",s,position_lat,"522281320",semicircles,position_long,"134204380",semicircles,distance,"129.45",m,speed,"2.455",m/s,cadence,"87",rpm,enhanced_speed,"2.455",m/s,
Data,7,record,timestamp,"1034398063",s,position_lat,"522283661",semicircles,position_long,"134205345",semicircles,distance,"152.69",m,speed,"2.745",m/s,cadence,"87",rpm,enhanced_speed,"2.745",m/s,
Data,7,record,timestamp,"1034398067",s,position_lat,"522285885",semicircles,position_long,"134206825",semicircles,distance,"173.64",m,speed,"2.985",m/s,cadence,"87",rpm,enhanced_speed,"2.985",m/s,
Data,7,record,timestamp,"1034398072",s,position_lat,"522288478",semicircles,position_long,"134207106",semicircles,distance,"196.81",m,speed,"3.167",m/s,cadence,"87",rpm,enhanced_speed,"3.167",m/s,
Data,7,record,timestamp,"1034398079",s,position_lat,"522290752",semicircles,position_long,"134206612",semicircles,distance,"218.33",m,speed,"3.155",m/s,cadence,"87",rpm,enhanced_speed,"3.155",m/s,
Data,7,record,timestamp,"1034398086",s,position_lat,"522292991",semicircles,position_long,"134205902",semicircles,distance,"239.72",m,speed,"3.141",m/s,cadence,"87",rpm,enhanced_speed,"3.141",m/s,
Data,7,record,timestamp,"1034398095",s,position_lat,"522295192",semicircles,position_long,"134205163",semicircles,distance,"260.89",m,speed,"3.012",m/s,cadence,"87",rpm,enhanced_speed,"3.012",m/s,
Data,7,record,timestamp,"1034398102",s,position_lat,"522297340",semicircles,position_long,"134204918",semicircles,distance,"281.0",m,speed,"2.994",m/s,cadence,"87",rpm,enhanced_speed,"2.994",m/s,
Data,7,record,timestamp,"1034398110",s,position_lat,"522299607",semicircles,position_long,"134204267",semicircles,distance,"302.56",m,speed,"2.95",m/s,cadence,"86",rpm,enhanced_speed,"2.95",m/s,
Data,7,record,timestamp,"1034398119",s,position_lat,"522301931",semicircles,position_long,"134203332",semicircles,distance,"325.14",m,speed,"2.88",m/s,cadence,"87",rpm,enhanced_speed,"2.88",m/s,
Data,7,record,timestamp,"1034398127",s,position_lat,"522304065",semicircles,position_long,"134202876",semicircles,distance,"345.26",m,speed,"2.826",m/s,cadence,"86",rpm,enhanced_speed,"2.826",m/s,
Data,7,record,timestamp,"1034398136",s,position_lat,"522306261",semicircles,position_long,"134201834",semicircles,distance,"366.91",m,speed,"2.756",m/s,cadence,"88",rpm,enhanced_speed,"2.756",m/s,
Data,7,record,timestamp,"1034398144",s,position_lat,"522308383",semicircles,position_long,"134201041",semicircles,distance,"387.4",m,speed,"2.728",m/s,cadence,"87",rpm,enhanced_speed,"2.728",m/s,
Data,7,record,timestamp,"1034398152",s,position_lat,"522310630",semicircles,position_long,"134200326",semicircles,distance,"408.9",m,speed,"2.723",m/s,cadence,"87",rpm,enhanced_speed,"2.723",m/s,
Data,7,record,timestamp,"1034398159",s,position_lat,"522312806",semicircles,position_long,"134200357",semicircles,distance,"429.66",m,speed,"2.757",m/s,cadence,"87",rpm,enhanced_speed,"2.757",m/s,
Data,7,record,timestamp,"1034398167",s,position_lat,"522314476",semicircles,position_long,"134202105",semicircles,distance,"450.12",m,speed,"2.732",m/s,cadence,"86",rpm,enhanced_speed,"2.732",m/s,
Data,7,record,timestamp,"1034398169",s,position_lat,"522314932",semicircles,position_long,"134202836",semicircles,distance,"456.63",m,speed,"2.754",m/s,cadence,"86",rpm,enhanced_speed,"2.754",m/s,
Data,7,record,timestamp,"1034398177",s,position_lat,"522316443",semicircles,position_long,"134205334",semicircles,distance,"478.61",m,speed,"2.753",m/s,cadence,"87",rpm,enhanced_speed,"2.753",m/s,
Data,7,record,timestamp,"1034398179",s,position_lat,"522316781",semicircles,position_long,"134205954",semicircles,distance,"483.84",m,speed,"2.747",m/s,cadence,"87",rpm,enhanced_speed,"2.747",m/s,
Data,7,record,timestamp,"1034398187",s,position_lat,"522317743",semicircles,position_long,"134208861",semicircles,distance,"505.38",m,speed,"2.74",m/s,cadence,"87",rpm,enhanced_speed,"2.74",m/s,
Data,7,record,timestamp,"1034398189",s,position_lat,"522317771",semicircles,position_long,"134209605",semicircles,distance,"510.45",m,speed,"2.733",m/s,cadence,"87",rpm,enhanced_speed,"2.733",m/s,
Data,7,record,timestamp,"1034398196",s,position_lat,"522317746",semicircles,position_long,"134212600",semicircles,distance,"530.67",m,speed,"2.754",m/s,cadence,"86",rpm,enhanced_speed,"2.754",m/s,
Data,7,record,timestamp,"1034398202",s,position_lat,"522318433",semicircles,position_long,"134214660",semicircles,distance,"546.12",m,speed,"2.735",m/s,cadence,"85",rpm,enhanced_speed,"2.735",m/s,
Data,7,record,timestamp,"1034398210",s,position_lat,"522320037",semicircles,position_long,"134217045",semicircles,distance,"568.2",m,speed,"2.748",m/s,cadence,"87",rpm,enhanced_speed,"2.748",m/s,
Data,7,record,timestamp,"1034398218",s,position_lat,"522320873",semicircles,position_long,"134220149",semicircles,distance,"590.63",m,speed,"2.76",m/s,cadence,"86",rpm,enhanced_speed,"2.76",m/s,
Data,7,record,timestamp,"1034398226",s,position_lat,"522321909",semicircles,position_long,"134223157",semicircles,distance,"613.13",m,speed,"2.771",m/s,cadence,"87",rpm,enhanced_speed,"2.771",m/s,
