Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1034661548",s,distance,"0.0",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1034661550",s,position_lat,"522268503",semicircles,position_long,"134181672",semicircles,distance,"4.91",m,speed,"6.368",m/s,cadence,"0",rpm,enhanced_speed,"6.368",m/s,
Data,7,record,timestamp,"1034661553",s,position_lat,"522268996",semicircles,position_long,"134178016",semicircles,distance,"29.61",m,speed,"12.029",m/s,cadence,"0",rpm,enhanced_speed,"12.029",m/s,
Data,7,record,timestamp,"1034661554",s,position_lat,"522269168",semicircles,position_long,"134177991",semicircles,distance,"30.59",m,speed,"7.654",m/s,cadence,"0",rpm,enhanced_speed,"7.654",m/s,
Data,7,record,timestamp,"1034661562",s,position_lat,"522270420",semicircles,position_long,"134176956",semicircles,distance,"46.42",m,speed,"3.731",m/s,cadence,"87",rpm,enhanced_speed,"3.731",m/s,
Data,7,record,timestamp,"1034661568",s,position_lat,"522272009",semicircles,position_long,"134173517",semicircles,distance,"69.36",m,speed,"4.241",m/s,cadence,"89",rpm,enhanced_speed,"4.241",m/s,
Data,7,record,timestamp,"1034661575",s,position_lat,"522274193",semicircles,position_long,"134173165",semicircles,distance,"104.82",m,speed,"1.507",m/s,cadence,"88",rpm,enhanced_speed,"1.507",m/s,
Data,7,record,timestamp,"1034661581",s,position_lat,"522277357",semicircles,position_long,"134172871",semicircles,distance,"128.81",m,speed,"5.772",m/s,cadence,"87",rpm,enhanced_speed,"5.772",m/s,
Data,7,record,timestamp,"1034661582",s,position_lat,"522277635",semicircles,position_long,"134172615",semicircles,distance,"131.92",m,speed,"4.868",m/s,cadence,"88",rpm,enhanced_speed,"4.868",m/s,
Data,7,record,timestamp,"1034661589",s,position_lat,"522277983",semicircles,position_long,"134171049",semicircles,distance,"140.44",m,speed,"3.584",m/s,cadence,"88",rpm,enhanced_speed,"3.584",m/s,
Data,7,record,timestamp,"1034661598",s,position_lat,"522280354",semicircles,position_long,"134170440",semicircles,distance,"162.82",m,speed,"3.409",m/s,cadence,"88",rpm,enhanced_speed,"3.409",m/s,
Data,7,record,timestamp,"1034661607",s,position_lat,"522282542",semicircles,position_long,"134169853",semicircles,distance,"183.57",m,speed,"2.685",m/s,cadence,"86",rpm,enhanced_speed,"2.685",m/s,
