Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1034753268",s,position_lat,"522268754",semicircles,position_long,"134897186",semicircles,distance,"1.07",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1034753270",s,position_lat,"522269174",semicircles,position_long,"134897483",semicircles,distance,"5.44",m,speed,"1.879",m/s,cadence,"0",rpm,enhanced_speed,"1.879",m/s,
Data,7,record,timestamp,"1034753280",s,position_lat,"522271341",semicircles,position_long,"134897036",semicircles,distance,"25.92",m,speed,"2.084",m/s,cadence,"83",rpm,enhanced_speed,"2.084",m/s,
Data,7,record,timestamp,"1034753290",s,position_lat,"522273420",semicircles,position_long,"134897757",semicircles,distance,"46.45",m,speed,"2.068",m/s,cadence,"82",rpm,enhanced_speed,"2.068",m/s,
Data,7,record,timestamp,"1034753300",s,position_lat,"522275519",semicircles,position_long,"134898488",semicircles,distance,"66.65",m,speed,"2.06",m/s,cadence,"83",rpm,enhanced_speed,"2.06",m/s,
Data,7,record,timestamp,"1034753310",s,position_lat,"522277638",semicircles,position_long,"134899276",semicircles,distance,"87.07",m,speed,"2.058",m/s,cadence,"83",rpm,enhanced_speed,"2.058",m/s,
Data,7,record,timestamp,"1034753320",s,position_lat,"522279839",semicircles,position_long,"134899930",semicircles,distance,"108.04",m,speed,"2.067",m/s,cadence,"83",rpm,enhanced_speed,"2.067",m/s,
Data,7,record,timestamp,"1034753330",s,position_lat,"522282063",semicircles,position_long,"134900865",semicircles,distance,"129.7",m,speed,"2.086",m/s,cadence,"83",rpm,enhanced_speed,"2.086",m/s,
Data,7,record,timestamp,"1034753340",s,position_lat,"522284040",semicircles,position_long,"134902036",semicircles,distance,"150.01",m,speed,"2.076",m/s,cadence,"83",rpm,enhanced_speed,"2.076",m/s,
Data,7,record,timestamp,"1034753352",s,position_lat,"522283896",semicircles,position_long,"134904864",semicircles,distance,"171.2",m,speed,"2.011",m/s,cadence,"81",rpm,enhanced_speed,"2.011",m/s,
