Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1034916772",s,position_lat,"522155874",semicircles,position_long,"134323332",semicircles,distance,"1.4",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1034916783",s,position_lat,"522153489",semicircles,position_long,"134322278",semicircles,distance,"24.87",m,speed,"2.722",m/s,cadence,"86",rpm,enhanced_speed,"2.722",m/s,
Data,7,record,timestamp,"1034916790",s,position_lat,"522151447",semicircles,position_long,"134321160",semicircles,distance,"45.33",m,speed,"2.835",m/s,cadence,"86",rpm,enhanced_speed,"2.835",m/s,
Data,7,record,timestamp,"1034916798",s,position_lat,"522149142",semicircles,position_long,"134319973",semicircles,distance,"68.25",m,speed,"2.842",m/s,cadence,"86",rpm,enhanced_speed,"2.842",m/s,
Data,7,record,timestamp,"1034916802",s,position_lat,"522147947",semicircles,position_long,"134319652",semicircles,distance,"79.74",m,speed,"2.845",m/s,cadence,"86",rpm,enhanced_speed,"2.845",m/s,
Data,7,record,timestamp,"1034916811",s,position_lat,"522145653",semicircles,position_long,"134320297",semicircles,distance,"101.99",m,speed,"2.785",m/s,cadence,"85",rpm,enhanced_speed,"2.785",m/s,
Data,7,record,timestamp,"1034916818",s,position_lat,"522143851",semicircles,position_long,"134319923",semicircles,distance,"119.26",m,speed,"2.746",m/s,cadence,"86",rpm,enhanced_speed,"2.746",m/s,
Data,7,record,timestamp,"1034916826",s,position_lat,"522143120",semicircles,position_long,"134322976",semicircles,distance,"141.31",m,speed,"2.748",m/s,cadence,"86",rpm,enhanced_speed,"2.748",m/s,
Data,7,record,timestamp,"1034916834",s,position_lat,"522142856",semicircles,position_long,"134326344",semicircles,distance,"164.19",m,speed,"2.764",m/s,cadence,"87",rpm,enhanced_speed,"2.764",m/s,
Data,7,record,timestamp,"1034916842",s,position_lat,"522142537",semicircles,position_long,"134329595",semicircles,distance,"186.33",m,speed,"2.765",m/s,cadence,"87",rpm,enhanced_speed,"2.765",m/s,
Data,7,record,timestamp,"1034916850",s,position_lat,"522142190",semicircles,position_long,"134332590",semicircles,distance,"206.82",m,speed,"2.734",m/s,cadence,"86",rpm,enhanced_speed,"2.734",m/s,
Data,7,record,timestamp,"1034916858",s,position_lat,"522141979",semicircles,position_long,"134335678",semicircles,distance,"227.76",m,speed,"2.717",m/s,cadence,"86",rpm,enhanced_speed,"2.717",m/s,
Data,7,record,timestamp,"1034916866",s,position_lat,"522141566",semicircles,position_long,"134338951",semicircles,distance,"250.21",m,speed,"2.731",m/s,cadence,"86",rpm,enhanced_speed,"2.731",m/s,
Data,7,record,timestamp,"1034916873",s,position_lat,"522141553",semicircles,position_long,"134341973",semicircles,distance,"270.61",m,speed,"2.754",m/s,cadence,"86",rpm,enhanced_speed,"2.754",m/s,
Data,7,record,timestamp,"1034916881",s,position_lat,"522141281",semicircles,position_long,"134344978",semicircles,distance,"291.06",m,speed,"2.724",m/s,cadence,"86",rpm,enhanced_speed,"2.724",m/s,
Data,7,record,timestamp,"1034916889",s,position_lat,"522140930",semicircles,position_long,"134348054",semicircles,distance,"312.11",m,speed,"2.709",m/s,cadence,"87",rpm,enhanced_speed,"2.709",m/s,
Data,7,record,timestamp,"1034916897",s,position_lat,"522140571",semicircles,position_long,"134351037",semicircles,distance,"332.52",m,speed,"2.685",m/s,cadence,"86",rpm,enhanced_speed,"2.685",m/s,
Data,7,record,timestamp,"1034916905",s,position_lat,"522140269",semicircles,position_long,"134354214",semicircles,distance,"354.16",m,speed,"2.688",m/s,cadence,"86",rpm,enhanced_speed,"2.688",m/s,
Data,7,record,timestamp,"1034916913",s,position_lat,"522139859",semicircles,position_long,"134357144",semicircles,distance,"374.3",m,speed,"2.663",m/s,cadence,"86",rpm,enhanced_speed,"2.663",m/s,
Data,7,record,timestamp,"1034916918",s,position_lat,"522139645",semicircles,position_long,"134358716",semicircles,distance,"385.14",m,speed,"2.615",m/s,cadence,"86",rpm,enhanced_speed,"2.615",m/s,
Data,7,record,timestamp,"1034916928",s,position_lat,"522138714",semicircles,position_long,"134361767",semicircles,distance,"407.27",m,speed,"2.378",m/s,cadence,"86",rpm,enhanced_speed,"2.378",m/s,
Data,7,record,timestamp,"1034916936",s,position_lat,"522138194",semicircles,position_long,"134364672",semicircles,distance,"427.62",m,speed,"2.409",m/s,cadence,"86",rpm,enhanced_speed,"2.409",m/s,
Data,7,record,timestamp,"1034916944",s,position_lat,"522137954",semicircles,position_long,"134367640",semicircles,distance,"447.89",m,speed,"2.429",m/s,cadence,"86",rpm,enhanced_speed,"2.429",m/s,
Data,7,record,timestamp,"1034916952",s,position_lat,"522137646",semicircles,position_long,"134370806",semicircles,distance,"469.44",m,speed,"2.47",m/s,cadence,"87",rpm,enhanced_speed,"2.47",m/s,
Data,7,record,timestamp,"1034916960",s,position_lat,"522137071",semicircles,position_long,"134373845",semicircles,distance,"490.71",m,speed,"2.5",m/s,cadence,"87",rpm,enhanced_speed,"2.5",m/s,
Data,7,record,timestamp,"1034916962",s,position_lat,"522136754",semicircles,position_long,"134374633",semicircles,distance,"496.61",m,speed,"2.522",m/s,cadence,"86",rpm,enhanced_speed,"2.522",m/s,
Data,7,record,timestamp,"1034916968",s,position_lat,"522136755",semicircles,position_long,"134376935",semicircles,distance,"511.88",m,speed,"2.533",m/s,cadence,"87",rpm,enhanced_speed,"2.533",m/s,
Data,7,record,timestamp,"1034916976",s,position_lat,"522136697",semicircles,position_long,"134379979",semicircles,distance,"532.28",m,speed,"2.539",m/s,cadence,"86",rpm,enhanced_speed,"2.539",m/s,
Data,7,record,timestamp,"1034916985",s,position_lat,"522136799",semicircles,position_long,"134383296",semicircles,distance,"554.61",m,speed,"2.539",m/s,cadence,"86",rpm,enhanced_speed,"2.539",m/s,
Data,7,record,timestamp,"1034916992",s,position_lat,"522135676",semicircles,position_long,"134386241",semicircles,distance,"576.27",m,speed,"2.639",m/s,cadence,"86",rpm,enhanced_speed,"2.639",m/s,
Data,7,record,timestamp,"1034916999",s,position_lat,"522135335",semicircles,position_long,"134389225",semicircles,distance,"596.6",m,speed,"2.676",m/s,cadence,"86",rpm,enhanced_speed,"2.676",m/s,
Data,7,record,timestamp,"1034917007",s,position_lat,"522134952",semicircles,position_long,"134392347",semicircles,distance,"617.87",m,speed,"2.486",m/s,cadence,"87",rpm,enhanced_speed,"2.486",m/s,
Data,7,record,timestamp,"1034917015",s,position_lat,"522134519",semicircles,position_long,"134395465",semicircles,distance,"639.41",m,speed,"2.575",m/s,cadence,"86",rpm,enhanced_speed,"2.575",m/s,
Data,7,record,timestamp,"1034917023",s,position_lat,"522134307",semicircles,position_long,"134398626",semicircles,distance,"660.88",m,speed,"2.591",m/s,cadence,"86",rpm,enhanced_speed,"2.591",m/s,
Data,7,record,timestamp,"1034917031",s,position_lat,"522133341",semicircles,position_long,"134401505",semicircles,distance,"682.38",m,speed,"2.605",m/s,cadence,"86",rpm,enhanced_speed,"2.605",m/s,
Data,7,record,timestamp,"1034917037",s,position_lat,"522132308",semicircles,position_long,"134403136",semicircles,distance,"697.11",m,speed,"2.588",m/s,cadence,"86",rpm,enhanced_speed,"2.588",m/s,
Data,7,record,timestamp,"1034917046",s,position_lat,"522132609",semicircles,position_long,"134406085",semicircles,distance,"718.22",m,speed,"2.506",m/s,cadence,"85",rpm,enhanced_speed,"2.506",m/s,
Data,7,record,timestamp,"1034917055",s,position_lat,"522133562",semicircles,position_long,"134408910",semicircles,distance,"739.94",m,speed,"2.508",m/s,cadence,"86",rpm,enhanced_speed,"2.508",m/s,
Data,7,record,timestamp,"1034917063",s,position_lat,"522134318",semicircles,position_long,"134411987",semicircles,distance,"761.93",m,speed,"2.548",m/s,cadence,"86",rpm,enhanced_speed,"2.548",m/s,
Data,7,record,timestamp,"1034917071",s,position_lat,"522134822",semicircles,position_long,"134415240",semicircles,distance,"784.22",m,speed,"2.59",m/s,cadence,"86",rpm,enhanced_speed,"2.59",m/s,
Data,7,record,timestamp,"1034917079",s,position_lat,"522134529",semicircles,position_long,"134418527",semicircles,distance,"806.58",m,speed,"2.623",m/s,cadence,"86",rpm,enhanced_speed,"2.623",m/s,
Data,7,record,timestamp,"1034917087",s,position_lat,"522134101",semicircles,position_long,"134421739",semicircles,distance,"828.52",m,speed,"2.643",m/s,cadence,"86",rpm,enhanced_speed,"2.643",m/s,
Data,7,record,timestamp,"1034917091",s,position_lat,"522133355",semicircles,position_long,"134423406",semicircles,distance,"841.38",m,speed,"2.699",m/s,cadence,"86",rpm,enhanced_speed,"2.699",m/s,
Data,7,record,timestamp,"1034917098",s,position_lat,"522131818",semicircles,position_long,"134425741",semicircles,distance,"862.22",m,speed,"2.747",m/s,cadence,"85",rpm,enhanced_speed,"2.747",m/s,
Data,7,record,timestamp,"1034917106",s,position_lat,"522131126",semicircles,position_long,"134428323",semicircles,distance,"881.89",m,speed,"2.49",m/s,cadence,"85",rpm,enhanced_speed,"2.49",m/s,
Data,7,record,timestamp,"1034917111",s,position_lat,"522131454",semicircles,position_long,"134428941",semicircles,distance,"887.74",m,speed,"2.11",m/s,cadence,"83",rpm,enhanced_speed,"2.11",m/s,
Data,7,record,timestamp,"1034917118",s,position_lat,"522131403",semicircles,position_long,"134431969",semicircles,distance,"908.27",m,speed,"2.937",m/s,cadence,"85",rpm,enhanced_speed,"2.937",m/s,
Data,7,record,timestamp,"1034917120",s,position_lat,"522131286",semicircles,position_long,"134432897",semicircles,distance,"915.02",m,speed,"3.138",m/s,cadence,"87",rpm,enhanced_speed,"3.138",m/s,
Data,7,record,timestamp,"1034917127",s,position_lat,"522130833",semicircles,position_long,"134435933",semicircles,distance,"936.02",m,speed,"3.079",m/s,cadence,"87",rpm,enhanced_speed,"3.079",m/s,
Data,7,record,timestamp,"1034917134",s,position_lat,"522130197",semicircles,position_long,"134438909",semicircles,distance,"956.92",m,speed,"3.067",m/s,cadence,"87",rpm,enhanced_speed,"3.067",m/s,
Data,7,record,timestamp,"1034917141",s,position_lat,"522129548",semicircles,position_long,"134442212",semicircles,distance,"979.86",m,speed,"3.097",m/s,cadence,"87",rpm,enhanced_speed,"3.097",m/s,
Data,7,record,timestamp,"1034917148",s,position_lat,"522129071",semicircles,position_long,"134445418",semicircles,distance,"1001.94",m,speed,"3.104",m/s,cadence,"88",rpm,enhanced_speed,"3.104",m/s,
Data,7,record,timestamp,"1034917157",s,position_lat,"522128472",semicircles,position_long,"134448580",semicircles,distance,"1023.97",m,speed,"2.998",m/s,cadence,"86",rpm,enhanced_speed,"2.998",m/s,
Data,7,record,timestamp,"1034917165",s,position_lat,"522127540",semicircles,position_long,"134451510",semicircles,distance,"1045.61",m,speed,"2.955",m/s,cadence,"86",rpm,enhanced_speed,"2.955",m/s,
Data,7,record,timestamp,"1034917173",s,position_lat,"522126216",semicircles,position_long,"134454223",semicircles,distance,"1067.74",m,speed,"2.928",m/s,cadence,"86",rpm,enhanced_speed,"2.928",m/s,
Data,7,record,timestamp,"1034917174",s,position_lat,"522126125",semicircles,position_long,"134454510",semicircles,distance,"1069.86",m,speed,"2.911",m/s,cadence,"86",rpm,enhanced_speed,"2.911",m/s,
Data,7,record,timestamp,"1034917180",s,position_lat,"522125972",semicircles,position_long,"134456607",semicircles,distance,"1084.18",m,speed,"2.714",m/s,cadence,"86",rpm,enhanced_speed,"2.714",m/s,
Data,7,record,timestamp,"1034917188",s,position_lat,"522124894",semicircles,position_long,"134459533",semicircles,distance,"1106.25",m,speed,"2.86",m/s,cadence,"87",rpm,enhanced_speed,"2.86",m/s,
Data,7,record,timestamp,"1034917190",s,position_lat,"522124736",semicircles,position_long,"134460296",semicircles,distance,"1111.64",m,speed,"2.816",m/s,cadence,"87",rpm,enhanced_speed,"2.816",m/s,
Data,7,record,timestamp,"1034917194",s,position_lat,"522125507",semicircles,position_long,"134461376",semicircles,distance,"1122.14",m,speed,"2.768",m/s,cadence,"85",rpm,enhanced_speed,"2.768",m/s,
Data,7,record,timestamp,"1034917196",s,position_lat,"522125740",semicircles,position_long,"134461766",semicircles,distance,"1125.58",m,speed,"2.716",m/s,cadence,"86",rpm,enhanced_speed,"2.716",m/s,
Data,7,record,timestamp,"1034917204",s,position_lat,"522124422",semicircles,position_long,"134461813",semicircles,distance,"1141.63",m,speed,"2.615",m/s,cadence,"82",rpm,enhanced_speed,"2.615",m/s,
Data,7,record,timestamp,"1034917209",s,position_lat,"522123350",semicircles,position_long,"134461165",semicircles,distance,"1152.93",m,speed,"2.583",m/s,cadence,"83",rpm,enhanced_speed,"2.583",m/s,
Data,7,record,timestamp,"1034917217",s,position_lat,"522121533",semicircles,position_long,"134463327",semicircles,distance,"1175.31",m,speed,"2.617",m/s,cadence,"86",rpm,enhanced_speed,"2.617",m/s,
Data,7,record,timestamp,"1034917223",s,position_lat,"522120188",semicircles,position_long,"134464239",semicircles,distance,"1189.44",m,speed,"2.587",m/s,cadence,"85",rpm,enhanced_speed,"2.587",m/s,
Data,7,record,timestamp,"1034917232",s,position_lat,"522118612",semicircles,position_long,"134466557",semicircles,distance,"1210.94",m,speed,"2.548",m/s,cadence,"86",rpm,enhanced_speed,"2.548",m/s,
Data,7,record,timestamp,"1034917233",s,position_lat,"522118518",semicircles,position_long,"134466987",semicircles,distance,"1213.97",m,speed,"2.634",m/s,cadence,"86",rpm,enhanced_speed,"2.634",m/s,
Data,7,record,timestamp,"1034917239",s,position_lat,"522118342",semicircles,position_long,"134469019",semicircles,distance,"1228.43",m,speed,"2.518",m/s,cadence,"86",rpm,enhanced_speed,"2.518",m/s,
Data,7,record,timestamp,"1034917246",s,position_lat,"522117001",semicircles,position_long,"134471451",semicircles,distance,"1249.12",m,speed,"2.831",m/s,cadence,"86",rpm,enhanced_speed,"2.831",m/s,
Data,7,record,timestamp,"1034917254",s,position_lat,"522115559",semicircles,position_long,"134473921",semicircles,distance,"1270.61",m,speed,"2.796",m/s,cadence,"85",rpm,enhanced_speed,"2.796",m/s,
Data,7,record,timestamp,"1034917261",s,position_lat,"522114600",semicircles,position_long,"134475960",semicircles,distance,"1287.43",m,speed,"2.744",m/s,cadence,"86",rpm,enhanced_speed,"2.744",m/s,
Data,7,record,timestamp,"1034917266",s,position_lat,"522114892",semicircles,position_long,"134474956",semicircles,distance,"1296.29",m,speed,"2.313",m/s,cadence,"84",rpm,enhanced_speed,"2.313",m/s,
Data,7,record,timestamp,"1034917273",s,position_lat,"522116129",semicircles,position_long,"134473047",semicircles,distance,"1313.76",m,speed,"2.437",m/s,cadence,"86",rpm,enhanced_speed,"2.437",m/s,
Data,7,record,timestamp,"1034917276",s,position_lat,"522116619",semicircles,position_long,"134473212",semicircles,distance,"1318.47",m,speed,"2.264",m/s,cadence,"85",rpm,enhanced_speed,"2.264",m/s,
