Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1035092220",s,position_lat,"522273186",semicircles,position_long,"134224948",semicircles,distance,"0.0",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035092234",s,position_lat,"522274043",semicircles,position_long,"134227690",semicircles,distance,"20.96",m,speed,"1.504",m/s,cadence,"86",rpm,enhanced_speed,"1.504",m/s,
Data,7,record,timestamp,"1035092236",s,position_lat,"522274186",semicircles,position_long,"134227989",semicircles,distance,"23.22",m,speed,"1.455",m/s,cadence,"84",rpm,enhanced_speed,"1.455",m/s,
Data,7,record,timestamp,"1035092245",s,position_lat,"522275389",semicircles,position_long,"134230770",semicircles,distance,"44.6",m,speed,"3.475",m/s,cadence,"87",rpm,enhanced_speed,"3.475",m/s,
Data,7,record,timestamp,"1035092255",s,position_lat,"522276601",semicircles,position_long,"134232211",semicircles,distance,"57.64",m,speed,"2.337",m/s,cadence,"87",rpm,enhanced_speed,"2.337",m/s,
Data,7,record,timestamp,"1035092266",s,position_lat,"522274659",semicircles,position_long,"134234190",semicircles,distance,"79.59",m,speed,"2.554",m/s,cadence,"86",rpm,enhanced_speed,"2.554",m/s,
Data,7,record,timestamp,"1035092275",s,position_lat,"522272710",semicircles,position_long,"134235708",semicircles,distance,"100.13",m,speed,"2.51",m/s,cadence,"87",rpm,enhanced_speed,"2.51",m/s,
Data,7,record,timestamp,"1035092283",s,position_lat,"522270898",semicircles,position_long,"134237573",semicircles,distance,"121.2",m,speed,"2.537",m/s,cadence,"87",rpm,enhanced_speed,"2.537",m/s,
Data,7,record,timestamp,"1035092284",s,position_lat,"522270830",semicircles,position_long,"134237762",semicircles,distance,"122.63",m,speed,"2.515",m/s,cadence,"87",rpm,enhanced_speed,"2.515",m/s,
Data,7,record,timestamp,"1035092289",s,position_lat,"522270228",semicircles,position_long,"134238271",semicircles,distance,"129.46",m,speed,"2.405",m/s,cadence,"87",rpm,enhanced_speed,"2.405",m/s,
