Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1035199619",s,position_lat,"522187591",semicircles,position_long,"134455043",semicircles,distance,"0.76",m,speed,"0.0",m/s,cadence,"89",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035199621",s,position_lat,"522187499",semicircles,position_long,"134455654",semicircles,distance,"4.48",m,speed,"2.431",m/s,cadence,"0",rpm,enhanced_speed,"2.431",m/s,
Data,7,record,timestamp,"1035199627",s,position_lat,"522187043",semicircles,position_long,"134458264",semicircles,distance,"22.53",m,speed,"2.565",m/s,cadence,"89",rpm,enhanced_speed,"2.565",m/s,
Data,7,record,timestamp,"1035199628",s,position_lat,"522187033",semicircles,position_long,"134458533",semicircles,distance,"24.32",m,speed,"2.01",m/s,cadence,"89",rpm,enhanced_speed,"2.01",m/s,
Data,7,record,timestamp,"1035199633",s,position_lat,"522187927",semicircles,position_long,"134459573",semicircles,distance,"35.84",m,speed,"2.314",m/s,cadence,"86",rpm,enhanced_speed,"2.314",m/s,
Data,7,record,timestamp,"1035199644",s,position_lat,"522190206",semicircles,position_long,"134460665",semicircles,distance,"58.16",m,speed,"1.958",m/s,cadence,"88",rpm,enhanced_speed,"1.958",m/s,
Data,7,record,timestamp,"1035199650",s,position_lat,"522191310",semicircles,position_long,"134462819",semicircles,distance,"77.85",m,speed,"2.114",m/s,cadence,"86",rpm,enhanced_speed,"2.114",m/s,
Data,7,record,timestamp,"1035199657",s,position_lat,"522191374",semicircles,position_long,"134466142",semicircles,distance,"100.2",m,speed,"2.261",m/s,cadence,"87",rpm,enhanced_speed,"2.261",m/s,
Data,7,record,timestamp,"1035199664",s,position_lat,"522192107",semicircles,position_long,"134468895",semicircles,distance,"120.95",m,speed,"2.355",m/s,cadence,"85",rpm,enhanced_speed,"2.355",m/s,
Data,7,record,timestamp,"1035199668",s,position_lat,"522192994",semicircles,position_long,"134469888",semicircles,distance,"131.61",m,speed,"2.603",m/s,cadence,"85",rpm,enhanced_speed,"2.603",m/s,
Data,7,record,timestamp,"1035199673",s,position_lat,"522194186",semicircles,position_long,"134470103",semicircles,distance,"142.99",m,speed,"2.413",m/s,cadence,"86",rpm,enhanced_speed,"2.413",m/s,
Data,7,record,timestamp,"1035199681",s,position_lat,"522195839",semicircles,position_long,"134469446",semicircles,distance,"159.21",m,speed,"2.278",m/s,cadence,"87",rpm,enhanced_speed,"2.278",m/s,
Data,7,record,timestamp,"1035199689",s,position_lat,"522198115",semicircles,position_long,"134469622",semicircles,distance,"181.25",m,speed,"2.357",m/s,cadence,"87",rpm,enhanced_speed,"2.357",m/s,
Data,7,record,timestamp,"1035199695",s,position_lat,"522199763",semicircles,position_long,"134471998",semicircles,distance,"203.55",m,speed,"2.512",m/s,cadence,"86",rpm,enhanced_speed,"2.512",m/s,
Data,7,record,timestamp,"1035199698",s,position_lat,"522200409",semicircles,position_long,"134473304",semicircles,distance,"214.18",m,speed,"2.883",m/s,cadence,"87",rpm,enhanced_speed,"2.883",m/s,
Data,7,record,timestamp,"1035199705",s,position_lat,"522201888",semicircles,position_long,"134475674",semicircles,distance,"236.02",m,speed,"3.064",m/s,cadence,"86",rpm,enhanced_speed,"3.064",m/s,
Data,7,record,timestamp,"1035199712",s,position_lat,"522201958",semicircles,position_long,"134478724",semicircles,distance,"256.78",m,speed,"3.054",m/s,cadence,"87",rpm,enhanced_speed,"3.054",m/s,
Data,7,record,timestamp,"1035199714",s,position_lat,"522201870",semicircles,position_long,"134479757",semicircles,distance,"263.77",m,speed,"3.072",m/s,cadence,"86",rpm,enhanced_speed,"3.072",m/s,
Data,7,record,timestamp,"1035199722",s,position_lat,"522201368",semicircles,position_long,"134482862",semicircles,distance,"285.3",m,speed,"3.016",m/s,cadence,"86",rpm,enhanced_speed,"3.016",m/s,
Data,7,record,timestamp,"1035199730",s,position_lat,"522201943",semicircles,position_long,"134486046",semicircles,distance,"305.68",m,speed,"3.022",m/s,cadence,"87",rpm,enhanced_speed,"3.022",m/s,
Data,7,record,timestamp,"1035199738",s,position_lat,"522201948",semicircles,position_long,"134489234",semicircles,distance,"326.65",m,speed,"2.977",m/s,cadence,"87",rpm,enhanced_speed,"2.977",m/s,
Data,7,record,timestamp,"1035199746",s,position_lat,"522202086",semicircles,position_long,"134492582",semicircles,distance,"348.88",m,speed,"2.969",m/s,cadence,"87",rpm,enhanced_speed,"2.969",m/s,
Data,7,record,timestamp,"1035199755",s,position_lat,"522202694",semicircles,position_long,"134495676",semicircles,distance,"370.58",m,speed,"2.957",m/s,cadence,"87",rpm,enhanced_speed,"2.957",m/s,
Data,7,record,timestamp,"1035199756",s,position_lat,"522202630",semicircles,position_long,"134496117",semicircles,distance,"373.55",m,speed,"2.958",m/s,cadence,"86",rpm,enhanced_speed,"2.958",m/s,
Data,7,record,timestamp,"1035199758",s,position_lat,"522202403",semicircles,position_long,"134496968",semicircles,distance,"379.75",m,speed,"2.965",m/s,cadence,"86",rpm,enhanced_speed,"2.965",m/s,
Data,7,record,timestamp,"1035199762",s,position_lat,"522201701",semicircles,position_long,"134498498",semicircles,distance,"392.1",m,speed,"3.081",m/s,cadence,"88",rpm,enhanced_speed,"3.081",m/s,
Data,7,record,timestamp,"1035199770",s,position_lat,"522201158",semicircles,position_long,"134501572",semicircles,distance,"413.56",m,speed,"2.879",m/s,cadence,"87",rpm,enhanced_speed,"2.879",m/s,
Data,7,record,timestamp,"1035199777",s,position_lat,"522200288",semicircles,position_long,"134504310",semicircles,distance,"433.57",m,speed,"2.882",m/s,cadence,"86",rpm,enhanced_speed,"2.882",m/s,
