Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1035202098",s,position_lat,"522142258",semicircles,position_long,"134744056",semicircles,distance,"1.15",m,speed,"0.0",m/s,cadence,"88",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035202106",s,position_lat,"522142709",semicircles,position_long,"134741079",semicircles,distance,"21.69",m,speed,"2.551",m/s,cadence,"88",rpm,enhanced_speed,"2.551",m/s,
Data,7,record,timestamp,"1035202114",s,position_lat,"522143254",semicircles,position_long,"134738103",semicircles,distance,"42.41",m,speed,"2.582",m/s,cadence,"86",rpm,enhanced_speed,"2.582",m/s,
Data,7,record,timestamp,"1035202122",s,position_lat,"522143857",semicircles,position_long,"134735125",semicircles,distance,"63.27",m,speed,"2.587",m/s,cadence,"87",rpm,enhanced_speed,"2.587",m/s,
Data,7,record,timestamp,"1035202130",s,position_lat,"522144402",semicircles,position_long,"134732152",semicircles,distance,"83.98",m,speed,"2.587",m/s,cadence,"87",rpm,enhanced_speed,"2.587",m/s,
Data,7,record,timestamp,"1035202138",s,position_lat,"522144833",semicircles,position_long,"134729192",semicircles,distance,"104.34",m,speed,"2.554",m/s,cadence,"87",rpm,enhanced_speed,"2.554",m/s,
Data,7,record,timestamp,"1035202146",s,position_lat,"522145076",semicircles,position_long,"134726229",semicircles,distance,"124.48",m,speed,"2.548",m/s,cadence,"85",rpm,enhanced_speed,"2.548",m/s,
Data,7,record,timestamp,"1035202155",s,position_lat,"522145209",semicircles,position_long,"134723104",semicircles,distance,"145.58",m,speed,"2.515",m/s,cadence,"86",rpm,enhanced_speed,"2.515",m/s,
Data,7,record,timestamp,"1035202164",s,position_lat,"522145126",semicircles,position_long,"134719888",semicircles,distance,"167.3",m,speed,"2.499",m/s,cadence,"87",rpm,enhanced_speed,"2.499",m/s,
Data,7,record,timestamp,"1035202172",s,position_lat,"522144902",semicircles,position_long,"134716773",semicircles,distance,"188.44",m,speed,"2.52",m/s,cadence,"86",rpm,enhanced_speed,"2.52",m/s,
