Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1035357216",s,position_lat,"522449205",semicircles,position_long,"134068254",semicircles,distance,"0.42",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035357217",s,position_lat,"522448872",semicircles,position_long,"134069118",semicircles,distance,"6.37",m,speed,"5.41",m/s,cadence,"0",rpm,enhanced_speed,"5.41",m/s,
Data,7,record,timestamp,"1035357221",s,position_lat,"522448722",semicircles,position_long,"134069029",semicircles,distance,"19.32",m,speed,"8.389",m/s,cadence,"0",rpm,enhanced_speed,"8.389",m/s,
Data,7,record,timestamp,"1035357225",s,position_lat,"522447805",semicircles,position_long,"134069204",semicircles,distance,"28.67",m,speed,"1.774",m/s,cadence,"87",rpm,enhanced_speed,"1.774",m/s,
Data,7,record,timestamp,"1035357230",s,position_lat,"522445413",semicircles,position_long,"134071945",semicircles,distance,"58.12",m,speed,"8.975",m/s,cadence,"87",rpm,enhanced_speed,"8.975",m/s,
Data,7,record,timestamp,"1035357239",s,position_lat,"522445181",semicircles,position_long,"134074214",semicircles,distance,"80.85",m,speed,"6.578",m/s,cadence,"88",rpm,enhanced_speed,"6.578",m/s,
Data,7,record,timestamp,"1035357240",s,position_lat,"522445001",semicircles,position_long,"134074453",semicircles,distance,"83.12",m,speed,"6.493",m/s,cadence,"88",rpm,enhanced_speed,"6.493",m/s,
Data,7,record,timestamp,"1035357247",s,position_lat,"522443455",semicircles,position_long,"134075810",semicircles,distance,"98.54",m,speed,"5.971",m/s,cadence,"88",rpm,enhanced_speed,"5.971",m/s,
Data,7,record,timestamp,"1035357249",s,position_lat,"522442218",semicircles,position_long,"134073716",semicircles,distance,"98.54",m,speed,"6.099",m/s,cadence,"88",rpm,enhanced_speed,"6.099",m/s,
Data,7,record,timestamp,"1035357251",s,position_lat,"522441442",semicircles,position_long,"134074685",semicircles,distance,"107.94",m,speed,"6.052",m/s,cadence,"88",rpm,enhanced_speed,"6.052",m/s,
