Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1035446429",s,position_lat,"522284725",semicircles,position_long,"134249098",semicircles,distance,"0.6",m,speed,"0.0",m/s,cadence,"89",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035446433",s,position_lat,"522284030",semicircles,position_long,"134251042",semicircles,distance,"15.36",m,speed,"5.467",m/s,cadence,"0",rpm,enhanced_speed,"5.467",m/s,
Data,7,record,timestamp,"1035446440",s,position_lat,"522282958",semicircles,position_long,"134253781",semicircles,distance,"36.38",m,speed,"2.766",m/s,cadence,"88",rpm,enhanced_speed,"2.766",m/s,
Data,7,record,timestamp,"1035446445",s,position_lat,"522282700",semicircles,position_long,"134256119",semicircles,distance,"52.83",m,speed,"3.424",m/s,cadence,"88",rpm,enhanced_speed,"3.424",m/s,
Data,7,record,timestamp,"1035446456",s,position_lat,"522283258",semicircles,position_long,"134258929",semicircles,distance,"73.36",m,speed,"3.043",m/s,cadence,"87",rpm,enhanced_speed,"3.043",m/s,
Data,7,record,timestamp,"1035446466",s,position_lat,"522282634",semicircles,position_long,"134261902",semicircles,distance,"97.49",m,speed,"2.955",m/s,cadence,"87",rpm,enhanced_speed,"2.955",m/s,
Data,7,record,timestamp,"1035446472",s,position_lat,"522281451",semicircles,position_long,"134264910",semicircles,distance,"120.1",m,speed,"3.064",m/s,cadence,"88",rpm,enhanced_speed,"3.064",m/s,
Data,7,record,timestamp,"1035446478",s,position_lat,"522280563",semicircles,position_long,"134267815",semicircles,distance,"141.14",m,speed,"3.122",m/s,cadence,"88",rpm,enhanced_speed,"3.122",m/s,
Data,7,record,timestamp,"1035446485",s,position_lat,"522279526",semicircles,position_long,"134270685",semicircles,distance,"162.66",m,speed,"3.119",m/s,cadence,"88",rpm,enhanced_speed,"3.119",m/s,
Data,7,record,timestamp,"1035446492",s,position_lat,"522278202",semicircles,position_long,"134273065",semicircles,distance,"183.06",m,speed,"3.102",m/s,cadence,"89",rpm,enhanced_speed,"3.102",m/s,
Data,7,record,timestamp,"1035446500",s,position_lat,"522276491",semicircles,position_long,"134275414",semicircles,distance,"205.75",m,speed,"3.071",m/s,cadence,"88",rpm,enhanced_speed,"3.071",m/s,
Data,7,record,timestamp,"1035446505",s,position_lat,"522275786",semicircles,position_long,"134276690",semicircles,distance,"217.1",m,speed,"3.009",m/s,cadence,"87",rpm,enhanced_speed,"3.009",m/s,
Data,7,record,timestamp,"1035446514",s,position_lat,"522275145",semicircles,position_long,"134279903",semicircles,distance,"239.39",m,speed,"2.942",m/s,cadence,"87",rpm,enhanced_speed,"2.942",m/s,
Data,7,record,timestamp,"1035446521",s,position_lat,"522273979",semicircles,position_long,"134282329",semicircles,distance,"259.43",m,speed,"2.944",m/s,cadence,"88",rpm,enhanced_speed,"2.944",m/s,
Data,7,record,timestamp,"1035446529",s,position_lat,"522272233",semicircles,position_long,"134284148",semicircles,distance,"280.03",m,speed,"2.921",m/s,cadence,"88",rpm,enhanced_speed,"2.921",m/s,
Data,7,record,timestamp,"1035446530",s,position_lat,"522272307",semicircles,position_long,"134284298",semicircles,distance,"280.98",m,speed,"2.887",m/s,cadence,"88",rpm,enhanced_speed,"2.887",m/s,
Data,7,record,timestamp,"1035446535",s,position_lat,"522274003",semicircles,position_long,"134286152",semicircles,distance,"301.02",m,speed,"3.636",m/s,cadence,"86",rpm,enhanced_speed,"3.636",m/s,
Data,7,record,timestamp,"1035446544",s,position_lat,"522275775",semicircles,position_long,"134288291",semicircles,distance,"323.04",m,speed,"3.069",m/s,cadence,"87",rpm,enhanced_speed,"3.069",m/s,
Data,7,record,timestamp,"1035446551",s,position_lat,"522277866",semicircles,position_long,"134289066",semicircles,distance,"343.12",m,speed,"3.057",m/s,cadence,"88",rpm,enhanced_speed,"3.057",m/s,
Data,7,record,timestamp,"1035446559",s,position_lat,"522280138",semicircles,position_long,"134290003",semicircles,distance,"365.16",m,speed,"3.012",m/s,cadence,"87",rpm,enhanced_speed,"3.012",m/s,
Data,7,record,timestamp,"1035446561",s,position_lat,"522280292",semicircles,position_long,"134290441",semicircles,distance,"368.44",m,speed,"2.985",m/s,cadence,"87",rpm,enhanced_speed,"2.985",m/s,
Data,7,record,timestamp,"1035446567",s,position_lat,"522279074",semicircles,position_long,"134293119",semicircles,distance,"389.22",m,speed,"3.051",m/s,cadence,"87",rpm,enhanced_speed,"3.051",m/s,
Data,7,record,timestamp,"1035446576",s,position_lat,"522278463",semicircles,position_long,"134296314",semicircles,distance,"411.61",m,speed,"2.966",m/s,cadence,"87",rpm,enhanced_speed,"2.966",m/s,
Data,7,record,timestamp,"1035446585",s,position_lat,"522277951",semicircles,position_long,"134299321",semicircles,distance,"432.4",m,speed,"2.607",m/s,cadence,"88",rpm,enhanced_speed,"2.607",m/s,
Data,7,record,timestamp,"1035446593",s,position_lat,"522277364",semicircles,position_long,"134302345",semicircles,distance,"453.48",m,speed,"2.697",m/s,cadence,"87",rpm,enhanced_speed,"2.697",m/s,
Data,7,record,timestamp,"1035446597",s,position_lat,"522276893",semicircles,position_long,"134304275",semicircles,distance,"467.56",m,speed,"2.765",m/s,cadence,"86",rpm,enhanced_speed,"2.765",m/s,
Data,7,record,timestamp,"1035446604",s,position_lat,"522275723",semicircles,position_long,"134307073",semicircles,distance,"489.58",m,speed,"2.815",m/s,cadence,"86",rpm,enhanced_speed,"2.815",m/s,
Data,7,record,timestamp,"1035446612",s,position_lat,"522274454",semicircles,position_long,"134309789",semicircles,distance,"511.54",m,speed,"2.806",m/s,cadence,"88",rpm,enhanced_speed,"2.806",m/s,
Data,7,record,timestamp,"1035446619",s,position_lat,"522273671",semicircles,position_long,"134312351",semicircles,distance,"531.39",m,speed,"2.827",m/s,cadence,"87",rpm,enhanced_speed,"2.827",m/s,
Data,7,record,timestamp,"1035446623",s,position_lat,"522273398",semicircles,position_long,"134314670",semicircles,distance,"546.99",m,speed,"2.918",m/s,cadence,"88",rpm,enhanced_speed,"2.918",m/s,
Data,7,record,timestamp,"1035446629",s,position_lat,"522271233",semicircles,position_long,"134316065",semicircles,distance,"566.35",m,speed,"3.012",m/s,cadence,"88",rpm,enhanced_speed,"3.012",m/s,
Data,7,record,timestamp,"1035446634",s,position_lat,"522270299",semicircles,position_long,"134318032",semicircles,distance,"582.64",m,speed,"3.042",m/s,cadence,"86",rpm,enhanced_speed,"3.042",m/s,
Data,7,record,timestamp,"1035446641",s,position_lat,"522269679",semicircles,position_long,"134321153",semicircles,distance,"604.45",m,speed,"3.054",m/s,cadence,"89",rpm,enhanced_speed,"3.054",m/s,
Data,7,record,timestamp,"1035446649",s,position_lat,"522268413",semicircles,position_long,"134323556",semicircles,distance,"624.61",m,speed,"2.977",m/s,cadence,"88",rpm,enhanced_speed,"2.977",m/s,
Data,7,record,timestamp,"1035446658",s,position_lat,"522267247",semicircles,position_long,"134326290",semicircles,distance,"646.35",m,speed,"2.89",m/s,cadence,"88",rpm,enhanced_speed,"2.89",m/s,
Data,7,record,timestamp,"1035446667",s,position_lat,"522265841",semicircles,position_long,"134328661",semicircles,distance,"667.06",m,speed,"2.475",m/s,cadence,"88",rpm,enhanced_speed,"2.475",m/s,
Data,7,record,timestamp,"1035446672",s,position_lat,"522266312",semicircles,position_long,"134331113",semicircles,distance,"684.02",m,speed,"3.316",m/s,cadence,"88",rpm,enhanced_speed,"3.316",m/s,
Data,7,record,timestamp,"1035446674",s,position_lat,"522265423",semicircles,position_long,"134331281",semicircles,distance,"689.36",m,speed,"3.648",m/s,cadence,"88",rpm,enhanced_speed,"3.648",m/s,
Data,7,record,timestamp,"1035446681",s,position_lat,"522264335",semicircles,position_long,"134334024",semicircles,distance,"710.72",m,speed,"3.516",m/s,cadence,"86",rpm,enhanced_speed,"3.516",m/s,
Data,7,record,timestamp,"1035446688",s,position_lat,"522262810",semicircles,position_long,"134336513",semicircles,distance,"733.32",m,speed,"3.515",m/s,cadence,"88",rpm,enhanced_speed,"3.515",m/s,
Data,7,record,timestamp,"1035446694",s,position_lat,"522261903",semicircles,position_long,"134339314",semicircles,distance,"754.31",m,speed,"3.515",m/s,cadence,"89",rpm,enhanced_speed,"3.515",m/s,
Data,7,record,timestamp,"1035446700",s,position_lat,"522261142",semicircles,position_long,"134342439",semicircles,distance,"776.65",m,speed,"3.541",m/s,cadence,"87",rpm,enhanced_speed,"3.541",m/s,
Data,7,record,timestamp,"1035446706",s,position_lat,"522260004",semicircles,position_long,"134345097",semicircles,distance,"797.78",m,speed,"3.543",m/s,cadence,"88",rpm,enhanced_speed,"3.543",m/s,
Data,7,record,timestamp,"1035446713",s,position_lat,"522259043",semicircles,position_long,"134348214",semicircles,distance,"820.66",m,speed,"3.51",m/s,cadence,"88",rpm,enhanced_speed,"3.51",m/s,
Data,7,record,timestamp,"1035446721",s,position_lat,"522257501",semicircles,position_long,"134350737",semicircles,distance,"843.37",m,speed,"3.424",m/s,cadence,"86",rpm,enhanced_speed,"3.424",m/s,
Data,7,record,timestamp,"1035446723",s,position_lat,"522256875",semicircles,position_long,"134350946",semicircles,distance,"849.33",m,speed,"3.41",m/s,cadence,"86",rpm,enhanced_speed,"3.41",m/s,
