Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,
Data,7,record,timestamp,"1035520174",s,distance,"2.73",m,speed,"2.734",m/s,cadence,"87",rpm,enhanced_speed,"2.734",m/s,
Data,7,record,timestamp,"1035520188",s,distance,"24.41",m,speed,"3.353",m/s,cadence,"86",rpm,enhanced_speed,"3.353",m/s,
Data,7,record,timestamp,"1035520195",s,distance,"46.81",m,speed,"3.222",m/s,cadence,"86",rpm,enhanced_speed,"3.222",m/s,
Data,7,record,timestamp,"1035520202",s,distance,"68.97",m,speed,"3.058",m/s,cadence,"86",rpm,enhanced_speed,"3.058",m/s,
Data,7,record,timestamp,"1035520209",s,distance,"90.81",m,speed,"2.943",m/s,cadence,"86",rpm,enhanced_speed,"2.943",m/s,
Data,7,record,timestamp,"1035520216",s,distance,"112.91",m,speed,"3.245",m/s,cadence,"87",rpm,enhanced_speed,"3.245",m/s,
Data,7,record,timestamp,"1035520223",s,distance,"134.76",m,speed,"3.131",m/s,cadence,"86",rpm,enhanced_speed,"3.131",m/s,
Data,7,record,timestamp,"1035520230",s,distance,"156.32",m,speed,"3.054",m/s,cadence,"86",rpm,enhanced_speed,"3.054",m/s,
Data,7,record,timestamp,"1035520237",s,distance,"178.62",m,speed,"3.233",m/s,cadence,"87",rpm,enhanced_speed,"3.233",m/s,
Data,7,record,timestamp,"1035520244",s,distance,"201.1",m,speed,"3.227",m/s,cadence,"87",rpm,enhanced_speed,"3.227",m/s,
Data,7,record,timestamp,"1035520251",s,distance,"223.91",m,speed,"3.251",m/s,cadence,"88",rpm,enhanced_speed,"3.251",m/s,
Data,7,record,timestamp,"1035520258",s,distance,"246.29",m,speed,"3.242",m/s,cadence,"87",rpm,enhanced_speed,"3.242",m/s,
Data,7,record,timestamp,"1035520265",s,distance,"267.89",m,speed,"2.788",m/s,cadence,"87",rpm,enhanced_speed,"2.788",m/s,
Data,7,record,timestamp,"1035520273",s,distance,"288.69",m,speed,"3.02",m/s,cadence,"81",rpm,enhanced_speed,"3.02",m/s,
Data,7,record,timestamp,"1035520280",s,distance,"311.67",m,speed,"3.293",m/s,cadence,"87",rpm,enhanced_speed,"3.293",m/s,
Data,7,record,timestamp,"1035520287",s,distance,"333.62",m,speed,"3.196",m/s,cadence,"88",rpm,enhanced_speed,"3.196",m/s,
Data,7,record,timestamp,"1035520294",s,distance,"355.31",m,speed,"2.937",m/s,cadence,"86",rpm,enhanced_speed,"2.937",m/s,
Data,7,record,timestamp,"1035520301",s,distance,"376.41",m,speed,"3.135",m/s,cadence,"87",rpm,enhanced_speed,"3.135",m/s,
Data,7,record,timestamp,"1035520308",s,distance,"397.64",m,speed,"2.973",m/s,cadence,"87",rpm,enhanced_speed,"2.973",m/s,
Data,7,record,timestamp,"1035520315",s,distance,"418.75",m,speed,"2.992",m/s,cadence,"87",rpm,enhanced_speed,"2.992",m/s,
Data,7,record,timestamp,"1035520322",s,distance,"440.3",m,speed,"3.054",m/s,cadence,"87",rpm,enhanced_speed,"3.054",m/s,
Data,7,record,timestamp,"1035520329",s,distance,"462.4",m,speed,"3.223",m/s,cadence,"87",rpm,enhanced_speed,"3.223",m/s,
Data,7,record,timestamp,"1035520336",s,distance,"483.53",m,speed,"2.89",m/s,cadence,"87",rpm,enhanced_speed,"2.89",m/s,
Data,7,record,timestamp,"1035520343",s,distance,"505.02",m,speed,"3.172",m/s,cadence,"88",rpm,enhanced_speed,"3.172",m/s,
Data,7,record,timestamp,"1035520350",s,distance,"526.41",m,speed,"3.008",m/s,cadence,"86",rpm,enhanced_speed,"3.008",m/s,
Data,7,record,timestamp,"1035520357",s,distance,"547.28",m,speed,"2.942",m/s,cadence,"88",rpm,enhanced_speed,"2.942",m/s,
Data,7,record,timestamp,"1035520364",s,distance,"568.72",m,speed,"3.065",m/s,cadence,"86",rpm,enhanced_speed,"3.065",m/s,
Data,7,record,timestamp,"1035520371",s,distance,"589.39",m,speed,"3.062",m/s,cadence,"86",rpm,enhanced_speed,"3.062",m/s,
Data,7,record,timestamp,"1035520378",s,distance,"610.68",m,speed,"3.218",m/s,cadence,"86",rpm,enhanced_speed,"3.218",m/s,
Data,7,record,timestamp,"1035520385",s,distance,"632.37",m,speed,"3.015",m/s,cadence,"88",rpm,enhanced_speed,"3.015",m/s,
Data,7,record,timestamp,"1035520392",s,distance,"653.29",m,speed,"2.527",m/s,cadence,"87",rpm,enhanced_speed,"2.527",m/s,
Data,7,record,timestamp,"1035520399",s,distance,"673.62",m,speed,"3.147",m/s,cadence,"87",rpm,enhanced_speed,"3.147",m/s,
Data,7,record,timestamp,"1035520406",s,distance,"695.13",m,speed,"3.037",m/s,cadence,"87",rpm,enhanced_speed,"3.037",m/s,
Data,7,record,timestamp,"1035520413",s,distance,"716.93",m,speed,"3.163",m/s,cadence,"87",rpm,enhanced_speed,"3.163",m/s,
Data,7,record,timestamp,"1035520420",s,distance,"738.52",m,speed,"3.001",m/s,cadence,"86",rpm,enhanced_speed,"3.001",m/s,
Data,7,record,timestamp,"1035520427",s,distance,"760.43",m,speed,"3.307",m/s,cadence,"87",rpm,enhanced_speed,"3.307",m/s,
Data,7,record,timestamp,"1035520434",s,distance,"781.37",m,speed,"2.952",m/s,cadence,"86",rpm,enhanced_speed,"2.952",m/s,
Data,7,record,timestamp,"1035520441",s,distance,"802.62",m,speed,"2.731",m/s,cadence,"86",rpm,enhanced_speed,"2.731",m/s,
Data,7,record,timestamp,"1035520448",s,distance,"823.0",m,speed,"2.933",m/s,cadence,"85",rpm,enhanced_speed,"2.933",m/s,
Data,7,record,timestamp,"1035520455",s,distance,"844.2",m,speed,"3.047",m/s,cadence,"87",rpm,enhanced_speed,"3.047",m/s,
Data,7,record,timestamp,"1035520462",s,distance,"865.67",m,speed,"3.04",m/s,cadence,"88",rpm,enhanced_speed,"3.04",m/s,
Data,7,record,timestamp,"1035520469",s,distance,"887.68",m,speed,"3.071",m/s,cadence,"88",rpm,enhanced_speed,"3.071",m/s,
Data,7,record,timestamp,"1035520476",s,distance,"908.83",m,speed,"2.923",m/s,cadence,"87",rpm,enhanced_speed,"2.923",m/s,
Data,7,record,timestamp,"1035520483",s,distance,"929.79",m,speed,"2.958",m/s,cadence,"88",rpm,enhanced_speed,"2.958",m/s,
Data,7,record,timestamp,"1035520490",s,distance,"950.31",m,speed,"2.837",m/s,cadence,"86",rpm,enhanced_speed,"2.837",m/s,
Data,7,record,timestamp,"1035520497",s,distance,"971.64",m,speed,"3.037",m/s,cadence,"86",rpm,enhanced_speed,"3.037",m/s,
Data,7,record,timestamp,"1035520504",s,distance,"993.25",m,speed,"3.207",m/s,cadence,"88",rpm,enhanced_speed,"3.207",m/s,
Data,7,record,timestamp,"1035520511",s,distance,"1015.76",m,speed,"3.152",m/s,cadence,"89",rpm,enhanced_speed,"3.152",m/s,
Data,7,record,timestamp,"1035520518",s,distance,"1036.74",m,speed,"2.904",m/s,cadence,"87",rpm,enhanced_speed,"2.904",m/s,
