Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1035520930",s,position_lat,"522171367",semicircles,position_long,"134280132",semicircles,distance,"0.62",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035520939",s,position_lat,"522171410",semicircles,position_long,"134283379",semicircles,distance,"22.25",m,speed,"2.277",m/s,cadence,"87",rpm,enhanced_speed,"2.277",m/s,
Data,7,record,timestamp,"1035520941",s,position_lat,"522170714",semicircles,position_long,"134284160",semicircles,distance,"30.37",m,speed,"5.076",m/s,cadence,"87",rpm,enhanced_speed,"5.076",m/s,
Data,7,record,timestamp,"1035520947",s,position_lat,"522168764",semicircles,position_long,"134285698",semicircles,distance,"51.56",m,speed,"3.811",m/s,cadence,"85",rpm,enhanced_speed,"3.811",m/s,
Data,7,record,timestamp,"1035520954",s,position_lat,"522167150",semicircles,position_long,"134288131",semicircles,distance,"73.9",m,speed,"3.415",m/s,cadence,"86",rpm,enhanced_speed,"3.415",m/s,
Data,7,record,timestamp,"1035520961",s,position_lat,"522166423",semicircles,position_long,"134291014",semicircles,distance,"94.61",m,speed,"3.337",m/s,cadence,"88",rpm,enhanced_speed,"3.337",m/s,
Data,7,record,timestamp,"1035520968",s,position_lat,"522165834",semicircles,position_long,"134293969",semicircles,distance,"115.29",m,speed,"3.287",m/s,cadence,"87",rpm,enhanced_speed,"3.287",m/s,
Data,7,record,timestamp,"1035520975",s,position_lat,"522165273",semicircles,position_long,"134296843",semicircles,distance,"135.66",m,speed,"3.237",m/s,cadence,"87",rpm,enhanced_speed,"3.237",m/s,
Data,7,record,timestamp,"1035520982",s,position_lat,"522164566",semicircles,position_long,"134299698",semicircles,distance,"156.03",m,speed,"3.194",m/s,cadence,"87",rpm,enhanced_speed,"3.194",m/s,
Data,7,record,timestamp,"1035520989",s,position_lat,"522163825",semicircles,position_long,"134302599",semicircles,distance,"176.8",m,speed,"3.164",m/s,cadence,"87",rpm,enhanced_speed,"3.164",m/s,
Data,7,record,timestamp,"1035520997",s,position_lat,"522163168",semicircles,position_long,"134305768",semicircles,distance,"199.18",m,speed,"3.109",m/s,cadence,"88",rpm,enhanced_speed,"3.109",m/s,
Data,7,record,timestamp,"1035521004",s,position_lat,"522162541",semicircles,position_long,"134308642",semicircles,distance,"219.53",m,speed,"3.081",m/s,cadence,"86",rpm,enhanced_speed,"3.081",m/s,
Data,7,record,timestamp,"1035521012",s,position_lat,"522161995",semicircles,position_long,"134311798",semicircles,distance,"241.54",m,speed,"3.032",m/s,cadence,"87",rpm,enhanced_speed,"3.032",m/s,
Data,7,record,timestamp,"1035521020",s,position_lat,"522160745",semicircles,position_long,"134314572",semicircles,distance,"263.96",m,speed,"3.0",m/s,cadence,"87",rpm,enhanced_speed,"3.0",m/s,
Data,7,record,timestamp,"1035521028",s,position_lat,"522160144",semicircles,position_long,"134317803",semicircles,distance,"286.5",m,speed,"2.972",m/s,cadence,"87",rpm,enhanced_speed,"2.972",m/s,
Data,7,record,timestamp,"1035521035",s,position_lat,"522159503",semicircles,position_long,"134320663",semicircles,distance,"306.72",m,speed,"2.961",m/s,cadence,"87",rpm,enhanced_speed,"2.961",m/s,
Data,7,record,timestamp,"1035521042",s,position_lat,"522158705",semicircles,position_long,"134323481",semicircles,distance,"327.14",m,speed,"2.956",m/s,cadence,"86",rpm,enhanced_speed,"2.956",m/s,
Data,7,record,timestamp,"1035521046",s,position_lat,"522158233",semicircles,position_long,"134324596",semicircles,distance,"336.14",m,speed,"2.902",m/s,cadence,"88",rpm,enhanced_speed,"2.902",m/s,
Data,7,record,timestamp,"1035521054",s,position_lat,"522156145",semicircles,position_long,"134323376",semicircles,distance,"357.26",m,speed,"2.817",m/s,cadence,"86",rpm,enhanced_speed,"2.817",m/s,
Data,7,record,timestamp,"1035521066",s,position_lat,"522153929",semicircles,position_long,"134322242",semicircles,distance,"379.35",m,speed,"2.288",m/s,cadence,"87",rpm,enhanced_speed,"2.288",m/s,
Data,7,record,timestamp,"1035521074",s,position_lat,"522151693",semicircles,position_long,"134321207",semicircles,distance,"401.33",m,speed,"2.395",m/s,cadence,"88",rpm,enhanced_speed,"2.395",m/s,
Data,7,record,timestamp,"1035521082",s,position_lat,"522149435",semicircles,position_long,"134319991",semicircles,distance,"423.93",m,speed,"2.461",m/s,cadence,"87",rpm,enhanced_speed,"2.461",m/s,
Data,7,record,timestamp,"1035521089",s,position_lat,"522147302",semicircles,position_long,"134318959",semicircles,distance,"444.99",m,speed,"2.534",m/s,cadence,"86",rpm,enhanced_speed,"2.534",m/s,
Data,7,record,timestamp,"1035521097",s,position_lat,"522145170",semicircles,position_long,"134317490",semicircles,distance,"467.5",m,speed,"2.576",m/s,cadence,"87",rpm,enhanced_speed,"2.576",m/s,
Data,7,record,timestamp,"1035521101",s,position_lat,"522145358",semicircles,position_long,"134316004",semicircles,distance,"477.86",m,speed,"2.577",m/s,cadence,"86",rpm,enhanced_speed,"2.577",m/s,
Data,7,record,timestamp,"1035521109",s,position_lat,"522146463",semicircles,position_long,"134313010",semicircles,distance,"500.56",m,speed,"2.616",m/s,cadence,"87",rpm,enhanced_speed,"2.616",m/s,
Data,7,record,timestamp,"1035521116",s,position_lat,"522147373",semicircles,position_long,"134310224",semicircles,distance,"521.22",m,speed,"2.66",m/s,cadence,"88",rpm,enhanced_speed,"2.66",m/s,
Data,7,record,timestamp,"1035521123",s,position_lat,"522148418",semicircles,position_long,"134307617",semicircles,distance,"541.33",m,speed,"2.689",m/s,cadence,"86",rpm,enhanced_speed,"2.689",m/s,
Data,7,record,timestamp,"1035521130",s,position_lat,"522149503",semicircles,position_long,"134304993",semicircles,distance,"561.74",m,speed,"2.72",m/s,cadence,"88",rpm,enhanced_speed,"2.72",m/s,
Data,7,record,timestamp,"1035521138",s,position_lat,"522150330",semicircles,position_long,"134301709",semicircles,distance,"584.78",m,speed,"2.754",m/s,cadence,"87",rpm,enhanced_speed,"2.754",m/s,
Data,7,record,timestamp,"1035521145",s,position_lat,"522151185",semicircles,position_long,"134298948",semicircles,distance,"604.91",m,speed,"2.772",m/s,cadence,"88",rpm,enhanced_speed,"2.772",m/s,
Data,7,record,timestamp,"1035521152",s,position_lat,"522152021",semicircles,position_long,"134296112",semicircles,distance,"625.51",m,speed,"2.796",m/s,cadence,"87",rpm,enhanced_speed,"2.796",m/s,
Data,7,record,timestamp,"1035521159",s,position_lat,"522152937",semicircles,position_long,"134293326",semicircles,distance,"646.12",m,speed,"2.816",m/s,cadence,"87",rpm,enhanced_speed,"2.816",m/s,
Data,7,record,timestamp,"1035521166",s,position_lat,"522153792",semicircles,position_long,"134290548",semicircles,distance,"666.48",m,speed,"2.829",m/s,cadence,"87",rpm,enhanced_speed,"2.829",m/s,
Data,7,record,timestamp,"1035521173",s,position_lat,"522154797",semicircles,position_long,"134287644",semicircles,distance,"688.2",m,speed,"2.864",m/s,cadence,"88",rpm,enhanced_speed,"2.864",m/s,
Data,7,record,timestamp,"1035521180",s,position_lat,"522155604",semicircles,position_long,"134284870",semicircles,distance,"708.39",m,speed,"2.868",m/s,cadence,"88",rpm,enhanced_speed,"2.868",m/s,
Data,7,record,timestamp,"1035521187",s,position_lat,"522156665",semicircles,position_long,"134282233",semicircles,distance,"728.76",m,speed,"2.874",m/s,cadence,"89",rpm,enhanced_speed,"2.874",m/s,
