Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1035970093",s,position_lat,"522401816",semicircles,position_long,"134309151",semicircles,distance,"0.98",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035970101",s,position_lat,"522402229",semicircles,position_long,"134312113",semicircles,distance,"21.53",m,speed,"2.854",m/s,cadence,"84",rpm,enhanced_speed,"2.854",m/s,
Data,7,record,timestamp,"1035970108",s,position_lat,"522401378",semicircles,position_long,"134315219",semicircles,distance,"43.19",m,speed,"3.453",m/s,cadence,"87",rpm,enhanced_speed,"3.453",m/s,
Data,7,record,timestamp,"1035970118",s,position_lat,"522401728",semicircles,position_long,"134318103",semicircles,distance,"62.68",m,speed,"3.16",m/s,cadence,"86",rpm,enhanced_speed,"3.16",m/s,
Data,7,record,timestamp,"1035970129",s,position_lat,"522399349",semicircles,position_long,"134318921",semicircles,distance,"85.25",m,speed,"2.901",m/s,cadence,"87",rpm,enhanced_speed,"2.901",m/s,
Data,7,record,timestamp,"1035970138",s,position_lat,"522396998",semicircles,position_long,"134319652",semicircles,distance,"107.61",m,speed,"2.598",m/s,cadence,"86",rpm,enhanced_speed,"2.598",m/s,
Data,7,record,timestamp,"1035970146",s,position_lat,"522394903",semicircles,position_long,"134320495",semicircles,distance,"128.04",m,speed,"2.594",m/s,cadence,"86",rpm,enhanced_speed,"2.594",m/s,
Data,7,record,timestamp,"1035970152",s,position_lat,"522393274",semicircles,position_long,"134321206",semicircles,distance,"144.66",m,speed,"2.623",m/s,cadence,"86",rpm,enhanced_speed,"2.623",m/s,
Data,7,record,timestamp,"1035970158",s,position_lat,"522393385",semicircles,position_long,"134324318",semicircles,distance,"165.29",m,speed,"2.725",m/s,cadence,"85",rpm,enhanced_speed,"2.725",m/s,
Data,7,record,timestamp,"1035970159",s,position_lat,"522393473",semicircles,position_long,"134324756",semicircles,distance,"168.36",m,speed,"2.732",m/s,cadence,"85",rpm,enhanced_speed,"2.732",m/s,
Data,7,record,timestamp,"1035970166",s,position_lat,"522393795",semicircles,position_long,"134327698",semicircles,distance,"188.5",m,speed,"2.799",m/s,cadence,"86",rpm,enhanced_speed,"2.799",m/s,
Data,7,record,timestamp,"1035970173",s,position_lat,"522394447",semicircles,position_long,"134330796",semicircles,distance,"210.48",m,speed,"2.885",m/s,cadence,"86",rpm,enhanced_speed,"2.885",m/s,
Data,7,record,timestamp,"1035970180",s,position_lat,"522395308",semicircles,position_long,"134333642",semicircles,distance,"231.44",m,speed,"2.9",m/s,cadence,"87",rpm,enhanced_speed,"2.9",m/s,
Data,7,record,timestamp,"1035970188",s,position_lat,"522396262",semicircles,position_long,"134335760",semicircles,distance,"247.64",m,speed,"2.433",m/s,cadence,"86",rpm,enhanced_speed,"2.433",m/s,
Data,7,record,timestamp,"1035970192",s,position_lat,"522396526",semicircles,position_long,"134336747",semicircles,distance,"255.01",m,speed,"2.179",m/s,cadence,"86",rpm,enhanced_speed,"2.179",m/s,
Data,7,record,timestamp,"1035970197",s,position_lat,"522396576",semicircles,position_long,"134338078",semicircles,distance,"264.28",m,speed,"1.446",m/s,cadence,"82",rpm,enhanced_speed,"1.446",m/s,
Data,7,record,timestamp,"1035970204",s,position_lat,"522395432",semicircles,position_long,"134339028",semicircles,distance,"277.03",m,speed,"1.84",m/s,cadence,"87",rpm,enhanced_speed,"1.84",m/s,
Data,7,record,timestamp,"1035970214",s,position_lat,"522393358",semicircles,position_long,"134340516",semicircles,distance,"298.79",m,speed,"2.015",m/s,cadence,"87",rpm,enhanced_speed,"2.015",m/s,
Data,7,record,timestamp,"1035970220",s,position_lat,"522392077",semicircles,position_long,"134343701",semicircles,distance,"322.77",m,speed,"2.26",m/s,cadence,"86",rpm,enhanced_speed,"2.26",m/s,
Data,7,record,timestamp,"1035970226",s,position_lat,"522390893",semicircles,position_long,"134346873",semicircles,distance,"346.43",m,speed,"2.467",m/s,cadence,"87",rpm,enhanced_speed,"2.467",m/s,
Data,7,record,timestamp,"1035970234",s,position_lat,"522389930",semicircles,position_long,"134349045",semicircles,distance,"364.16",m,speed,"1.805",m/s,cadence,"84",rpm,enhanced_speed,"1.805",m/s,
Data,7,record,timestamp,"1035970242",s,position_lat,"522389849",semicircles,position_long,"134352277",semicircles,distance,"387.51",m,speed,"3.029",m/s,cadence,"86",rpm,enhanced_speed,"3.029",m/s,
Data,7,record,timestamp,"1035970244",s,position_lat,"522389918",semicircles,position_long,"134353296",semicircles,distance,"394.35",m,speed,"3.045",m/s,cadence,"86",rpm,enhanced_speed,"3.045",m/s,
Data,7,record,timestamp,"1035970251",s,position_lat,"522390466",semicircles,position_long,"134356564",semicircles,distance,"417.21",m,speed,"3.074",m/s,cadence,"86",rpm,enhanced_speed,"3.074",m/s,
Data,7,record,timestamp,"1035970259",s,position_lat,"522390943",semicircles,position_long,"134359764",semicircles,distance,"439.13",m,speed,"3.026",m/s,cadence,"87",rpm,enhanced_speed,"3.026",m/s,
Data,7,record,timestamp,"1035970267",s,position_lat,"522391292",semicircles,position_long,"134362788",semicircles,distance,"459.75",m,speed,"2.963",m/s,cadence,"87",rpm,enhanced_speed,"2.963",m/s,
Data,7,record,timestamp,"1035970273",s,position_lat,"522391443",semicircles,position_long,"134364928",semicircles,distance,"474.19",m,speed,"2.9",m/s,cadence,"86",rpm,enhanced_speed,"2.9",m/s,
Data,7,record,timestamp,"1035970275",s,position_lat,"522391193",semicircles,position_long,"134365361",semicircles,distance,"478.14",m,speed,"2.864",m/s,cadence,"86",rpm,enhanced_speed,"2.864",m/s,
Data,7,record,timestamp,"1035970284",s,position_lat,"522391835",semicircles,position_long,"134366007",semicircles,distance,"479.81",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035970288",s,position_lat,"522392375",semicircles,position_long,"134367045",semicircles,distance,"488.63",m,speed,"2.442",m/s,cadence,"0",rpm,enhanced_speed,"2.442",m/s,
Data,7,record,timestamp,"1035970292",s,position_lat,"522392625",semicircles,position_long,"134368694",semicircles,distance,"500.01",m,speed,"2.944",m/s,cadence,"84",rpm,enhanced_speed,"2.944",m/s,
Data,7,record,timestamp,"1035970299",s,position_lat,"522393123",semicircles,position_long,"134371718",semicircles,distance,"520.98",m,speed,"3.059",m/s,cadence,"84",rpm,enhanced_speed,"3.059",m/s,
Data,7,record,timestamp,"1035970307",s,position_lat,"522394009",semicircles,position_long,"134374875",semicircles,distance,"543.67",m,speed,"3.016",m/s,cadence,"86",rpm,enhanced_speed,"3.016",m/s,
Data,7,record,timestamp,"1035970314",s,position_lat,"522394929",semicircles,position_long,"134377635",semicircles,distance,"564.27",m,speed,"3.007",m/s,cadence,"86",rpm,enhanced_speed,"3.007",m/s,
Data,7,record,timestamp,"1035970323",s,position_lat,"522396100",semicircles,position_long,"134380119",semicircles,distance,"584.69",m,speed,"2.9",m/s,cadence,"87",rpm,enhanced_speed,"2.9",m/s,
Data,7,record,timestamp,"1035970327",s,position_lat,"522395968",semicircles,position_long,"134381774",semicircles,distance,"595.14",m,speed,"2.573",m/s,cadence,"86",rpm,enhanced_speed,"2.573",m/s,
Data,7,record,timestamp,"1035970333",s,position_lat,"522396118",semicircles,position_long,"134383446",semicircles,distance,"606.83",m,speed,"2.213",m/s,cadence,"84",rpm,enhanced_speed,"2.213",m/s,
Data,7,record,timestamp,"1035970343",s,position_lat,"522396931",semicircles,position_long,"134386504",semicircles,distance,"628.15",m,speed,"2.215",m/s,cadence,"86",rpm,enhanced_speed,"2.215",m/s,
Data,7,record,timestamp,"1035970351",s,position_lat,"522397831",semicircles,position_long,"134389319",semicircles,distance,"648.78",m,speed,"2.277",m/s,cadence,"87",rpm,enhanced_speed,"2.277",m/s,
Data,7,record,timestamp,"1035970357",s,position_lat,"522398592",semicircles,position_long,"134392160",semicircles,distance,"669.29",m,speed,"2.427",m/s,cadence,"88",rpm,enhanced_speed,"2.427",m/s,
Data,7,record,timestamp,"1035970361",s,position_lat,"522397967",semicircles,position_long,"134394189",semicircles,distance,"684.47",m,speed,"2.711",m/s,cadence,"86",rpm,enhanced_speed,"2.711",m/s,
Data,7,record,timestamp,"1035970370",s,position_lat,"522395852",semicircles,position_long,"134395822",semicircles,distance,"706.68",m,speed,"2.57",m/s,cadence,"86",rpm,enhanced_speed,"2.57",m/s,
Data,7,record,timestamp,"1035970371",s,position_lat,"522395786",semicircles,position_long,"134396130",semicircles,distance,"708.81",m,speed,"2.537",m/s,cadence,"86",rpm,enhanced_speed,"2.537",m/s,
Data,7,record,timestamp,"1035970377",s,position_lat,"522397164",semicircles,position_long,"134398721",semicircles,distance,"730.48",m,speed,"2.866",m/s,cadence,"84",rpm,enhanced_speed,"2.866",m/s,
Data,7,record,timestamp,"1035970384",s,position_lat,"522397684",semicircles,position_long,"134401820",semicircles,distance,"751.79",m,speed,"2.997",m/s,cadence,"86",rpm,enhanced_speed,"2.997",m/s,
Data,7,record,timestamp,"1035970392",s,position_lat,"522398422",semicircles,position_long,"134404916",semicircles,distance,"773.88",m,speed,"2.931",m/s,cadence,"87",rpm,enhanced_speed,"2.931",m/s,
Data,7,record,timestamp,"1035970400",s,position_lat,"522399388",semicircles,position_long,"134407981",semicircles,distance,"796.25",m,speed,"2.915",m/s,cadence,"87",rpm,enhanced_speed,"2.915",m/s,
Data,7,record,timestamp,"1035970408",s,position_lat,"522400095",semicircles,position_long,"134411138",semicircles,distance,"818.68",m,speed,"2.901",m/s,cadence,"86",rpm,enhanced_speed,"2.901",m/s,
Data,7,record,timestamp,"1035970415",s,position_lat,"522400625",semicircles,position_long,"134414225",semicircles,distance,"840.16",m,speed,"2.927",m/s,cadence,"87",rpm,enhanced_speed,"2.927",m/s,
Data,7,record,timestamp,"1035970422",s,position_lat,"522401242",semicircles,position_long,"134417408",semicircles,distance,"862.57",m,speed,"2.963",m/s,cadence,"88",rpm,enhanced_speed,"2.963",m/s,
Data,7,record,timestamp,"1035970428",s,position_lat,"522401238",semicircles,position_long,"134419237",semicircles,distance,"875.87",m,speed,"2.877",m/s,cadence,"87",rpm,enhanced_speed,"2.877",m/s,
Data,7,record,timestamp,"1035970432",s,position_lat,"522400830",semicircles,position_long,"134420265",semicircles,distance,"883.63",m,speed,"2.499",m/s,cadence,"84",rpm,enhanced_speed,"2.499",m/s,
Data,7,record,timestamp,"1035970441",s,position_lat,"522399200",semicircles,position_long,"134422336",semicircles,distance,"909.85",m,speed,"3.164",m/s,cadence,"86",rpm,enhanced_speed,"3.164",m/s,
Data,7,record,timestamp,"1035970446",s,position_lat,"522398396",semicircles,position_long,"134424056",semicircles,distance,"923.55",m,speed,"3.093",m/s,cadence,"85",rpm,enhanced_speed,"3.093",m/s,
Data,7,record,timestamp,"1035970454",s,position_lat,"522396934",semicircles,position_long,"134426368",semicircles,distance,"945.17",m,speed,"3.011",m/s,cadence,"89",rpm,enhanced_speed,"3.011",m/s,
Data,7,record,timestamp,"1035970462",s,position_lat,"522394932",semicircles,position_long,"134428358",semicircles,distance,"967.91",m,speed,"2.907",m/s,cadence,"89",rpm,enhanced_speed,"2.907",m/s,
Data,7,record,timestamp,"1035970468",s,position_lat,"522392950",semicircles,position_long,"134429067",semicircles,distance,"987.61",m,speed,"2.957",m/s,cadence,"85",rpm,enhanced_speed,"2.957",m/s,
Data,7,record,timestamp,"1035970476",s,position_lat,"522391401",semicircles,position_long,"134426646",semicircles,distance,"1009.93",m,speed,"2.838",m/s,cadence,"87",rpm,enhanced_speed,"2.838",m/s,
Data,7,record,timestamp,"1035970483",s,position_lat,"522389605",semicircles,position_long,"134424722",semicircles,distance,"1030.97",m,speed,"2.996",m/s,cadence,"86",rpm,enhanced_speed,"2.996",m/s,
Data,7,record,timestamp,"1035970492",s,position_lat,"522388132",semicircles,position_long,"134422096",semicircles,distance,"1053.4",m,speed,"2.912",m/s,cadence,"87",rpm,enhanced_speed,"2.912",m/s,
Data,7,record,timestamp,"1035970498",s,position_lat,"522386250",semicircles,position_long,"134420392",semicircles,distance,"1073.85",m,speed,"2.983",m/s,cadence,"87",rpm,enhanced_speed,"2.983",m/s,
Data,7,record,timestamp,"1035970505",s,position_lat,"522384844",semicircles,position_long,"134418010",semicircles,distance,"1094.71",m,speed,"2.984",m/s,cadence,"88",rpm,enhanced_speed,"2.984",m/s,
Data,7,record,timestamp,"1035970513",s,position_lat,"522383397",semicircles,position_long,"134415402",semicircles,distance,"1117.24",m,speed,"2.98",m/s,cadence,"87",rpm,enhanced_speed,"2.98",m/s,
Data,7,record,timestamp,"1035970517",s,position_lat,"522382665",semicircles,position_long,"134414162",semicircles,distance,"1128.19",m,speed,"2.962",m/s,cadence,"86",rpm,enhanced_speed,"2.962",m/s,
Data,7,record,timestamp,"1035970522",s,position_lat,"522382872",semicircles,position_long,"134412212",semicircles,distance,"1142.15",m,speed,"2.952",m/s,cadence,"86",rpm,enhanced_speed,"2.952",m/s,
Data,7,record,timestamp,"1035970525",s,position_lat,"522382882",semicircles,position_long,"134411255",semicircles,distance,"1148.8",m,speed,"2.91",m/s,cadence,"86",rpm,enhanced_speed,"2.91",m/s,
Data,7,record,timestamp,"1035970532",s,position_lat,"522381694",semicircles,position_long,"134408929",semicircles,distance,"1168.2",m,speed,"3.023",m/s,cadence,"83",rpm,enhanced_speed,"3.023",m/s,
Data,7,record,timestamp,"1035970541",s,position_lat,"522380315",semicircles,position_long,"134406513",semicircles,distance,"1188.95",m,speed,"2.134",m/s,cadence,"87",rpm,enhanced_speed,"2.134",m/s,
Data,7,record,timestamp,"1035970551",s,position_lat,"522379513",semicircles,position_long,"134403696",semicircles,distance,"1209.32",m,speed,"2.059",m/s,cadence,"87",rpm,enhanced_speed,"2.059",m/s,
Data,7,record,timestamp,"1035970559",s,position_lat,"522378071",semicircles,position_long,"134400789",semicircles,distance,"1232.8",m,speed,"2.226",m/s,cadence,"88",rpm,enhanced_speed,"2.226",m/s,
