Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1035972331",s,position_lat,"522307342",semicircles,position_long,"134280968",semicircles,distance,"0.79",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1035972332",s,position_lat,"522307223",semicircles,position_long,"134281216",semicircles,distance,"2.8",m,speed,"1.645",m/s,cadence,"0",rpm,enhanced_speed,"1.645",m/s,
Data,7,record,timestamp,"1035972340",s,position_lat,"522306336",semicircles,position_long,"134284249",semicircles,distance,"24.74",m,speed,"2.962",m/s,cadence,"85",rpm,enhanced_speed,"2.962",m/s,
Data,7,record,timestamp,"1035972348",s,position_lat,"522305026",semicircles,position_long,"134286766",semicircles,distance,"45.84",m,speed,"2.789",m/s,cadence,"86",rpm,enhanced_speed,"2.789",m/s,
Data,7,record,timestamp,"1035972356",s,position_lat,"522303841",semicircles,position_long,"134289492",semicircles,distance,"67.44",m,speed,"2.775",m/s,cadence,"86",rpm,enhanced_speed,"2.775",m/s,
Data,7,record,timestamp,"1035972364",s,position_lat,"522302462",semicircles,position_long,"134292155",semicircles,distance,"89.46",m,speed,"2.81",m/s,cadence,"87",rpm,enhanced_speed,"2.81",m/s,
Data,7,record,timestamp,"1035972372",s,position_lat,"522301267",semicircles,position_long,"134294869",semicircles,distance,"111.21",m,speed,"2.8",m/s,cadence,"85",rpm,enhanced_speed,"2.8",m/s,
Data,7,record,timestamp,"1035972379",s,position_lat,"522300897",semicircles,position_long,"134298076",semicircles,distance,"132.28",m,speed,"3.082",m/s,cadence,"87",rpm,enhanced_speed,"3.082",m/s,
Data,7,record,timestamp,"1035972387",s,position_lat,"522300123",semicircles,position_long,"134301127",semicircles,distance,"153.84",m,speed,"2.959",m/s,cadence,"88",rpm,enhanced_speed,"2.959",m/s,
Data,7,record,timestamp,"1035972394",s,position_lat,"522299369",semicircles,position_long,"134304078",semicircles,distance,"174.96",m,speed,"2.97",m/s,cadence,"86",rpm,enhanced_speed,"2.97",m/s,
Data,7,record,timestamp,"1035972401",s,position_lat,"522297850",semicircles,position_long,"134306672",semicircles,distance,"197.38",m,speed,"3.009",m/s,cadence,"88",rpm,enhanced_speed,"3.009",m/s,
Data,7,record,timestamp,"1035972409",s,position_lat,"522296517",semicircles,position_long,"134308968",semicircles,distance,"217.41",m,speed,"2.935",m/s,cadence,"87",rpm,enhanced_speed,"2.935",m/s,
Data,7,record,timestamp,"1035972417",s,position_lat,"522295200",semicircles,position_long,"134311476",semicircles,distance,"238.33",m,speed,"2.893",m/s,cadence,"86",rpm,enhanced_speed,"2.893",m/s,
Data,7,record,timestamp,"1035972425",s,position_lat,"522294777",semicircles,position_long,"134314004",semicircles,distance,"253.93",m,speed,"2.783",m/s,cadence,"86",rpm,enhanced_speed,"2.783",m/s,
Data,7,record,timestamp,"1035972432",s,position_lat,"522292756",semicircles,position_long,"134312530",semicircles,distance,"275.3",m,speed,"2.869",m/s,cadence,"85",rpm,enhanced_speed,"2.869",m/s,
Data,7,record,timestamp,"1035972435",s,position_lat,"522291923",semicircles,position_long,"134312707",semicircles,distance,"283.55",m,speed,"2.83",m/s,cadence,"86",rpm,enhanced_speed,"2.83",m/s,
Data,7,record,timestamp,"1035972437",s,position_lat,"522291165",semicircles,position_long,"134313286",semicircles,distance,"291.55",m,speed,"3.177",m/s,cadence,"86",rpm,enhanced_speed,"3.177",m/s,
Data,7,record,timestamp,"1035972444",s,position_lat,"522289541",semicircles,position_long,"134315314",semicircles,distance,"311.76",m,speed,"3.157",m/s,cadence,"86",rpm,enhanced_speed,"3.157",m/s,
Data,7,record,timestamp,"1035972451",s,position_lat,"522288396",semicircles,position_long,"134317542",semicircles,distance,"330.82",m,speed,"3.107",m/s,cadence,"87",rpm,enhanced_speed,"3.107",m/s,
Data,7,record,timestamp,"1035972455",s,position_lat,"522287769",semicircles,position_long,"134318887",semicircles,distance,"341.74",m,speed,"3.078",m/s,cadence,"87",rpm,enhanced_speed,"3.078",m/s,
Data,7,record,timestamp,"1035972466",s,position_lat,"522287348",semicircles,position_long,"134322352",semicircles,distance,"362.83",m,speed,"2.955",m/s,cadence,"87",rpm,enhanced_speed,"2.955",m/s,
Data,7,record,timestamp,"1035972476",s,position_lat,"522287762",semicircles,position_long,"134325811",semicircles,distance,"383.66",m,speed,"2.867",m/s,cadence,"87",rpm,enhanced_speed,"2.867",m/s,
Data,7,record,timestamp,"1035972484",s,position_lat,"522286544",semicircles,position_long,"134328412",semicircles,distance,"404.53",m,speed,"3.341",m/s,cadence,"86",rpm,enhanced_speed,"3.341",m/s,
Data,7,record,timestamp,"1035972491",s,position_lat,"522285154",semicircles,position_long,"134330989",semicircles,distance,"426.22",m,speed,"3.111",m/s,cadence,"87",rpm,enhanced_speed,"3.111",m/s,
Data,7,record,timestamp,"1035972500",s,position_lat,"522283921",semicircles,position_long,"134334003",semicircles,distance,"449.1",m,speed,"2.968",m/s,cadence,"89",rpm,enhanced_speed,"2.968",m/s,
Data,7,record,timestamp,"1035972507",s,position_lat,"522282737",semicircles,position_long,"134336667",semicircles,distance,"470.01",m,speed,"2.978",m/s,cadence,"87",rpm,enhanced_speed,"2.978",m/s,
Data,7,record,timestamp,"1035972515",s,position_lat,"522281184",semicircles,position_long,"134339213",semicircles,distance,"492.47",m,speed,"2.938",m/s,cadence,"86",rpm,enhanced_speed,"2.938",m/s,
Data,7,record,timestamp,"1035972523",s,position_lat,"522279606",semicircles,position_long,"134341722",semicircles,distance,"514.94",m,speed,"2.92",m/s,cadence,"87",rpm,enhanced_speed,"2.92",m/s,
Data,7,record,timestamp,"1035972527",s,position_lat,"522278721",semicircles,position_long,"134341973",semicircles,distance,"524.1",m,speed,"2.881",m/s,cadence,"87",rpm,enhanced_speed,"2.881",m/s,
Data,7,record,timestamp,"1035972533",s,position_lat,"522277277",semicircles,position_long,"134344228",semicircles,distance,"544.2",m,speed,"2.942",m/s,cadence,"86",rpm,enhanced_speed,"2.942",m/s,
Data,7,record,timestamp,"1035972541",s,position_lat,"522275144",semicircles,position_long,"134346904",semicircles,distance,"567.74",m,speed,"3.191",m/s,cadence,"86",rpm,enhanced_speed,"3.191",m/s,
Data,7,record,timestamp,"1035972547",s,position_lat,"522272891",semicircles,position_long,"134345366",semicircles,distance,"588.78",m,speed,"3.274",m/s,cadence,"88",rpm,enhanced_speed,"3.274",m/s,
Data,7,record,timestamp,"1035972554",s,position_lat,"522270921",semicircles,position_long,"134343537",semicircles,distance,"610.67",m,speed,"3.27",m/s,cadence,"88",rpm,enhanced_speed,"3.27",m/s,
Data,7,record,timestamp,"1035972561",s,position_lat,"522269544",semicircles,position_long,"134341160",semicircles,distance,"631.31",m,speed,"3.112",m/s,cadence,"85",rpm,enhanced_speed,"3.112",m/s,
Data,7,record,timestamp,"1035972568",s,position_lat,"522267810",semicircles,position_long,"134338781",semicircles,distance,"654.14",m,speed,"3.223",m/s,cadence,"87",rpm,enhanced_speed,"3.223",m/s,
Data,7,record,timestamp,"1035972577",s,position_lat,"522265843",semicircles,position_long,"134336865",semicircles,distance,"677.25",m,speed,"2.862",m/s,cadence,"87",rpm,enhanced_speed,"2.862",m/s,
Data,7,record,timestamp,"1035972584",s,position_lat,"522263932",semicircles,position_long,"134335047",semicircles,distance,"698.97",m,speed,"2.895",m/s,cadence,"87",rpm,enhanced_speed,"2.895",m/s,
Data,7,record,timestamp,"1035972587",s,position_lat,"522263720",semicircles,position_long,"134334064",semicircles,distance,"706.31",m,speed,"2.898",m/s,cadence,"86",rpm,enhanced_speed,"2.898",m/s,
Data,7,record,timestamp,"1035972596",s,position_lat,"522264446",semicircles,position_long,"134330728",semicircles,distance,"726.34",m,speed,"2.743",m/s,cadence,"87",rpm,enhanced_speed,"2.743",m/s,
Data,7,record,timestamp,"1035972607",s,position_lat,"522265149",semicircles,position_long,"134327118",semicircles,distance,"751.22",m,speed,"2.454",m/s,cadence,"86",rpm,enhanced_speed,"2.454",m/s,
Data,7,record,timestamp,"1035972615",s,position_lat,"522266275",semicircles,position_long,"134324072",semicircles,distance,"774.33",m,speed,"2.989",m/s,cadence,"86",rpm,enhanced_speed,"2.989",m/s,
Data,7,record,timestamp,"1035972623",s,position_lat,"522266980",semicircles,position_long,"134321241",semicircles,distance,"795.07",m,speed,"2.685",m/s,cadence,"87",rpm,enhanced_speed,"2.685",m/s,
Data,7,record,timestamp,"1035972626",s,position_lat,"522267483",semicircles,position_long,"134320057",semicircles,distance,"805.09",m,speed,"2.959",m/s,cadence,"86",rpm,enhanced_speed,"2.959",m/s,
Data,7,record,timestamp,"1035972630",s,position_lat,"522270043",semicircles,position_long,"134318693",semicircles,distance,"829.65",m,speed,"3.222",m/s,cadence,"86",rpm,enhanced_speed,"3.222",m/s,
Data,7,record,timestamp,"1035972633",s,position_lat,"522271024",semicircles,position_long,"134317995",semicircles,distance,"839.24",m,speed,"3.235",m/s,cadence,"85",rpm,enhanced_speed,"3.235",m/s,
Data,7,record,timestamp,"1035972642",s,position_lat,"522270948",semicircles,position_long,"134315234",semicircles,distance,"860.96",m,speed,"3.142",m/s,cadence,"83",rpm,enhanced_speed,"3.142",m/s,
Data,7,record,timestamp,"1035972650",s,position_lat,"522269720",semicircles,position_long,"134312773",semicircles,distance,"881.21",m,speed,"2.715",m/s,cadence,"86",rpm,enhanced_speed,"2.715",m/s,
Data,7,record,timestamp,"1035972658",s,position_lat,"522267430",semicircles,position_long,"134311655",semicircles,distance,"903.56",m,speed,"2.743",m/s,cadence,"87",rpm,enhanced_speed,"2.743",m/s,
