Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1036050240",s,position_lat,"522270527",semicircles,position_long,"134175394",semicircles,distance,"0.05",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1036050249",s,position_lat,"522272673",semicircles,position_long,"134174769",semicircles,distance,"20.98",m,speed,"2.066",m/s,cadence,"87",rpm,enhanced_speed,"2.066",m/s,
Data,7,record,timestamp,"1036050256",s,position_lat,"522274257",semicircles,position_long,"134172897",semicircles,distance,"41.17",m,speed,"3.453",m/s,cadence,"87",rpm,enhanced_speed,"3.453",m/s,
Data,7,record,timestamp,"1036050258",s,position_lat,"522274974",semicircles,position_long,"134173005",semicircles,distance,"43.8",m,speed,"3.546",m/s,cadence,"86",rpm,enhanced_speed,"3.546",m/s,
Data,7,record,timestamp,"1036050268",s,position_lat,"522274070",semicircles,position_long,"134170060",semicircles,distance,"66.08",m,speed,"2.733",m/s,cadence,"86",rpm,enhanced_speed,"2.733",m/s,
Data,7,record,timestamp,"1036050278",s,position_lat,"522272951",semicircles,position_long,"134167193",semicircles,distance,"88.2",m,speed,"2.647",m/s,cadence,"88",rpm,enhanced_speed,"2.647",m/s,
Data,7,record,timestamp,"1036050285",s,position_lat,"522271827",semicircles,position_long,"134164672",semicircles,distance,"108.5",m,speed,"2.688",m/s,cadence,"87",rpm,enhanced_speed,"2.688",m/s,
Data,7,record,timestamp,"1036050291",s,position_lat,"522270643",semicircles,position_long,"134162182",semicircles,distance,"128.77",m,speed,"2.767",m/s,cadence,"87",rpm,enhanced_speed,"2.767",m/s,
Data,7,record,timestamp,"1036050296",s,position_lat,"522269793",semicircles,position_long,"134160429",semicircles,distance,"142.99",m,speed,"2.806",m/s,cadence,"88",rpm,enhanced_speed,"2.806",m/s,
Data,7,record,timestamp,"1036050303",s,position_lat,"522269955",semicircles,position_long,"134157993",semicircles,distance,"159.18",m,speed,"2.706",m/s,cadence,"84",rpm,enhanced_speed,"2.706",m/s,
Data,7,record,timestamp,"1036050310",s,position_lat,"522268226",semicircles,position_long,"134156094",semicircles,distance,"179.71",m,speed,"2.879",m/s,cadence,"86",rpm,enhanced_speed,"2.879",m/s,
Data,7,record,timestamp,"1036050318",s,position_lat,"522266313",semicircles,position_long,"134154407",semicircles,distance,"200.39",m,speed,"2.762",m/s,cadence,"88",rpm,enhanced_speed,"2.762",m/s,
Data,7,record,timestamp,"1036050326",s,position_lat,"522264490",semicircles,position_long,"134152416",semicircles,distance,"221.94",m,speed,"2.757",m/s,cadence,"87",rpm,enhanced_speed,"2.757",m/s,
Data,7,record,timestamp,"1036050334",s,position_lat,"522262628",semicircles,position_long,"134150297",semicircles,distance,"244.36",m,speed,"2.771",m/s,cadence,"88",rpm,enhanced_speed,"2.771",m/s,
Data,7,record,timestamp,"1036050342",s,position_lat,"522260721",semicircles,position_long,"134148458",semicircles,distance,"265.71",m,speed,"2.657",m/s,cadence,"86",rpm,enhanced_speed,"2.657",m/s,
Data,7,record,timestamp,"1036050351",s,position_lat,"522258888",semicircles,position_long,"134146626",semicircles,distance,"286.41",m,speed,"2.54",m/s,cadence,"88",rpm,enhanced_speed,"2.54",m/s,
Data,7,record,timestamp,"1036050352",s,position_lat,"522258781",semicircles,position_long,"134146253",semicircles,distance,"289.1",m,speed,"2.557",m/s,cadence,"88",rpm,enhanced_speed,"2.557",m/s,
Data,7,record,timestamp,"1036050361",s,position_lat,"522258571",semicircles,position_long,"134142495",semicircles,distance,"311.35",m,speed,"3.123",m/s,cadence,"85",rpm,enhanced_speed,"3.123",m/s,
Data,7,record,timestamp,"1036050363",s,position_lat,"522258274",semicircles,position_long,"134141713",semicircles,distance,"317.3",m,speed,"3.106",m/s,cadence,"86",rpm,enhanced_speed,"3.106",m/s,
Data,7,record,timestamp,"1036050364",s,position_lat,"522258046",semicircles,position_long,"134141430",semicircles,distance,"320.13",m,speed,"3.096",m/s,cadence,"86",rpm,enhanced_speed,"3.096",m/s,
Data,7,record,timestamp,"1036050371",s,position_lat,"522256292",semicircles,position_long,"134139190",semicircles,distance,"342.28",m,speed,"3.106",m/s,cadence,"88",rpm,enhanced_speed,"3.106",m/s,
Data,7,record,timestamp,"1036050377",s,position_lat,"522254439",semicircles,position_long,"134136908",semicircles,distance,"365.42",m,speed,"3.199",m/s,cadence,"89",rpm,enhanced_speed,"3.199",m/s,
Data,7,record,timestamp,"1036050383",s,position_lat,"522252737",semicircles,position_long,"134134651",semicircles,distance,"387.0",m,speed,"3.253",m/s,cadence,"87",rpm,enhanced_speed,"3.253",m/s,
Data,7,record,timestamp,"1036050386",s,position_lat,"522252098",semicircles,position_long,"134134035",semicircles,distance,"393.42",m,speed,"3.205",m/s,cadence,"88",rpm,enhanced_speed,"3.205",m/s,
Data,7,record,timestamp,"1036050394",s,position_lat,"522249898",semicircles,position_long,"134133200",semicircles,distance,"414.66",m,speed,"2.565",m/s,cadence,"85",rpm,enhanced_speed,"2.565",m/s,
Data,7,record,timestamp,"1036050395",s,position_lat,"522249654",semicircles,position_long,"134132911",semicircles,distance,"417.62",m,speed,"2.677",m/s,cadence,"85",rpm,enhanced_speed,"2.677",m/s,
Data,7,record,timestamp,"1036050404",s,position_lat,"522247531",semicircles,position_long,"134131129",semicircles,distance,"439.53",m,speed,"2.675",m/s,cadence,"88",rpm,enhanced_speed,"2.675",m/s,
Data,7,record,timestamp,"1036050413",s,position_lat,"522246259",semicircles,position_long,"134128547",semicircles,distance,"460.63",m,speed,"2.592",m/s,cadence,"86",rpm,enhanced_speed,"2.592",m/s,
Data,7,record,timestamp,"1036050421",s,position_lat,"522244680",semicircles,position_long,"134126024",semicircles,distance,"483.13",m,speed,"2.767",m/s,cadence,"88",rpm,enhanced_speed,"2.767",m/s,
Data,7,record,timestamp,"1036050428",s,position_lat,"522242688",semicircles,position_long,"134124184",semicircles,distance,"505.23",m,speed,"2.847",m/s,cadence,"88",rpm,enhanced_speed,"2.847",m/s,
Data,7,record,timestamp,"1036050435",s,position_lat,"522240797",semicircles,position_long,"134122207",semicircles,distance,"527.16",m,speed,"2.888",m/s,cadence,"89",rpm,enhanced_speed,"2.888",m/s,
Data,7,record,timestamp,"1036050439",s,position_lat,"522240094",semicircles,position_long,"134121200",semicircles,distance,"536.85",m,speed,"2.853",m/s,cadence,"88",rpm,enhanced_speed,"2.853",m/s,
Data,7,record,timestamp,"1036050445",s,position_lat,"522241011",semicircles,position_long,"134118723",semicircles,distance,"555.86",m,speed,"2.891",m/s,cadence,"86",rpm,enhanced_speed,"2.891",m/s,
Data,7,record,timestamp,"1036050452",s,position_lat,"522242196",semicircles,position_long,"134116033",semicircles,distance,"577.2",m,speed,"2.912",m/s,cadence,"86",rpm,enhanced_speed,"2.912",m/s,
Data,7,record,timestamp,"1036050458",s,position_lat,"522243559",semicircles,position_long,"134113661",semicircles,distance,"597.61",m,speed,"2.967",m/s,cadence,"88",rpm,enhanced_speed,"2.967",m/s,
Data,7,record,timestamp,"1036050464",s,position_lat,"522244747",semicircles,position_long,"134111158",semicircles,distance,"617.77",m,speed,"3.197",m/s,cadence,"86",rpm,enhanced_speed,"3.197",m/s,
Data,7,record,timestamp,"1036050470",s,position_lat,"522246057",semicircles,position_long,"134108617",semicircles,distance,"639.01",m,speed,"3.392",m/s,cadence,"88",rpm,enhanced_speed,"3.392",m/s,
Data,7,record,timestamp,"1036050476",s,position_lat,"522247383",semicircles,position_long,"134106177",semicircles,distance,"659.43",m,speed,"3.4",m/s,cadence,"87",rpm,enhanced_speed,"3.4",m/s,
Data,7,record,timestamp,"1036050483",s,position_lat,"522248395",semicircles,position_long,"134103266",semicircles,distance,"680.61",m,speed,"3.364",m/s,cadence,"87",rpm,enhanced_speed,"3.364",m/s,
Data,7,record,timestamp,"1036050490",s,position_lat,"522249477",semicircles,position_long,"134100478",semicircles,distance,"701.78",m,speed,"3.325",m/s,cadence,"88",rpm,enhanced_speed,"3.325",m/s,
Data,7,record,timestamp,"1036050498",s,position_lat,"522250991",semicircles,position_long,"134097847",semicircles,distance,"724.34",m,speed,"3.255",m/s,cadence,"86",rpm,enhanced_speed,"3.255",m/s,
Data,7,record,timestamp,"1036050505",s,position_lat,"522251521",semicircles,position_long,"134094855",semicircles,distance,"744.63",m,speed,"3.22",m/s,cadence,"86",rpm,enhanced_speed,"3.22",m/s,
Data,7,record,timestamp,"1036050512",s,position_lat,"522251920",semicircles,position_long,"134091783",semicircles,distance,"765.39",m,speed,"3.604",m/s,cadence,"87",rpm,enhanced_speed,"3.604",m/s,
Data,7,record,timestamp,"1036050519",s,position_lat,"522252347",semicircles,position_long,"134088869",semicircles,distance,"785.53",m,speed,"3.4",m/s,cadence,"86",rpm,enhanced_speed,"3.4",m/s,
Data,7,record,timestamp,"1036050520",s,position_lat,"522252409",semicircles,position_long,"134088506",semicircles,distance,"788.01",m,speed,"3.382",m/s,cadence,"86",rpm,enhanced_speed,"3.382",m/s,
Data,7,record,timestamp,"1036050529",s,position_lat,"522252978",semicircles,position_long,"134085253",semicircles,distance,"810.14",m,speed,"3.244",m/s,cadence,"88",rpm,enhanced_speed,"3.244",m/s,
Data,7,record,timestamp,"1036050533",s,position_lat,"522253799",semicircles,position_long,"134084158",semicircles,distance,"821.5",m,speed,"3.234",m/s,cadence,"88",rpm,enhanced_speed,"3.234",m/s,
Data,7,record,timestamp,"1036050540",s,position_lat,"522255255",semicircles,position_long,"134082004",semicircles,distance,"842.97",m,speed,"3.22",m/s,cadence,"86",rpm,enhanced_speed,"3.22",m/s,
Data,7,record,timestamp,"1036050542",s,position_lat,"522255642",semicircles,position_long,"134081192",semicircles,distance,"849.51",m,speed,"3.223",m/s,cadence,"87",rpm,enhanced_speed,"3.223",m/s,
Data,7,record,timestamp,"1036050549",s,position_lat,"522257384",semicircles,position_long,"134078659",semicircles,distance,"873.13",m,speed,"3.412",m/s,cadence,"86",rpm,enhanced_speed,"3.412",m/s,
Data,7,record,timestamp,"1036050555",s,position_lat,"522258965",semicircles,position_long,"134076605",semicircles,distance,"893.64",m,speed,"3.495",m/s,cadence,"87",rpm,enhanced_speed,"3.495",m/s,
Data,7,record,timestamp,"1036050562",s,position_lat,"522260205",semicircles,position_long,"134074046",semicircles,distance,"914.44",m,speed,"3.376",m/s,cadence,"88",rpm,enhanced_speed,"3.376",m/s,
Data,7,record,timestamp,"1036050569",s,position_lat,"522261686",semicircles,position_long,"134071477",semicircles,distance,"936.55",m,speed,"3.349",m/s,cadence,"88",rpm,enhanced_speed,"3.349",m/s,
Data,7,record,timestamp,"1036050576",s,position_lat,"522262739",semicircles,position_long,"134068740",semicircles,distance,"957.35",m,speed,"3.31",m/s,cadence,"88",rpm,enhanced_speed,"3.31",m/s,
Data,7,record,timestamp,"1036050584",s,position_lat,"522263624",semicircles,position_long,"134065663",semicircles,distance,"979.87",m,speed,"3.253",m/s,cadence,"88",rpm,enhanced_speed,"3.253",m/s,
Data,7,record,timestamp,"1036050593",s,position_lat,"522264773",semicircles,position_long,"134062699",semicircles,distance,"1002.57",m,speed,"3.156",m/s,cadence,"87",rpm,enhanced_speed,"3.156",m/s,
Data,7,record,timestamp,"1036050596",s,position_lat,"522265082",semicircles,position_long,"134061731",semicircles,distance,"1009.05",m,speed,"2.767",m/s,cadence,"84",rpm,enhanced_speed,"2.767",m/s,
Data,7,record,timestamp,"1036050600",s,position_lat,"522265820",semicircles,position_long,"134061179",semicircles,distance,"1016.65",m,speed,"2.392",m/s,cadence,"86",rpm,enhanced_speed,"2.392",m/s,
Data,7,record,timestamp,"1036050607",s,position_lat,"522266719",semicircles,position_long,"134058265",semicircles,distance,"1037.97",m,speed,"2.698",m/s,cadence,"86",rpm,enhanced_speed,"2.698",m/s,
Data,7,record,timestamp,"1036050613",s,position_lat,"522267125",semicircles,position_long,"134055206",semicircles,distance,"1058.83",m,speed,"2.788",m/s,cadence,"89",rpm,enhanced_speed,"2.788",m/s,
Data,7,record,timestamp,"1036050620",s,position_lat,"522267690",semicircles,position_long,"134052242",semicircles,distance,"1079.6",m,speed,"2.817",m/s,cadence,"87",rpm,enhanced_speed,"2.817",m/s,
Data,7,record,timestamp,"1036050626",s,position_lat,"522267452",semicircles,position_long,"134048539",semicircles,distance,"1100.88",m,speed,"3.112",m/s,cadence,"86",rpm,enhanced_speed,"3.112",m/s,
Data,7,record,timestamp,"1036050633",s,position_lat,"522268324",semicircles,position_long,"134045826",semicircles,distance,"1120.95",m,speed,"3.079",m/s,cadence,"86",rpm,enhanced_speed,"3.079",m/s,
Data,7,record,timestamp,"1036050636",s,position_lat,"522268596",semicircles,position_long,"134044892",semicircles,distance,"1127.83",m,speed,"3.034",m/s,cadence,"87",rpm,enhanced_speed,"3.034",m/s,
Data,7,record,timestamp,"1036050642",s,position_lat,"522269747",semicircles,position_long,"134043228",semicircles,distance,"1143.36",m,speed,"2.985",m/s,cadence,"86",rpm,enhanced_speed,"2.985",m/s,
Data,7,record,timestamp,"1036050648",s,position_lat,"522270888",semicircles,position_long,"134040621",semicircles,distance,"1164.11",m,speed,"3.039",m/s,cadence,"86",rpm,enhanced_speed,"3.039",m/s,
Data,7,record,timestamp,"1036050655",s,position_lat,"522272056",semicircles,position_long,"134037760",semicircles,distance,"1186.28",m,speed,"3.123",m/s,cadence,"88",rpm,enhanced_speed,"3.123",m/s,
Data,7,record,timestamp,"1036050662",s,position_lat,"522273229",semicircles,position_long,"134035069",semicircles,distance,"1207.48",m,speed,"3.115",m/s,cadence,"86",rpm,enhanced_speed,"3.115",m/s,
