Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1036131263",s,position_lat,"522286429",semicircles,position_long,"134208058",semicircles,distance,"1.63",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1036131271",s,position_lat,"522288689",semicircles,position_long,"134207484",semicircles,distance,"23.11",m,speed,"2.419",m/s,cadence,"87",rpm,enhanced_speed,"2.419",m/s,
Data,7,record,timestamp,"1036131278",s,position_lat,"522291083",semicircles,position_long,"134206904",semicircles,distance,"45.73",m,speed,"3.284",m/s,cadence,"88",rpm,enhanced_speed,"3.284",m/s,
Data,7,record,timestamp,"1036131285",s,position_lat,"522293324",semicircles,position_long,"134206254",semicircles,distance,"67.11",m,speed,"3.233",m/s,cadence,"87",rpm,enhanced_speed,"3.233",m/s,
Data,7,record,timestamp,"1036131293",s,position_lat,"522295632",semicircles,position_long,"134205653",semicircles,distance,"88.98",m,speed,"3.159",m/s,cadence,"89",rpm,enhanced_speed,"3.159",m/s,
Data,7,record,timestamp,"1036131301",s,position_lat,"522297865",semicircles,position_long,"134205012",semicircles,distance,"110.24",m,speed,"3.084",m/s,cadence,"88",rpm,enhanced_speed,"3.084",m/s,
Data,7,record,timestamp,"1036131309",s,position_lat,"522300283",semicircles,position_long,"134204359",semicircles,distance,"133.19",m,speed,"2.997",m/s,cadence,"87",rpm,enhanced_speed,"2.997",m/s,
Data,7,record,timestamp,"1036131317",s,position_lat,"522302567",semicircles,position_long,"134203720",semicircles,distance,"154.85",m,speed,"2.846",m/s,cadence,"87",rpm,enhanced_speed,"2.846",m/s,
Data,7,record,timestamp,"1036131325",s,position_lat,"522304686",semicircles,position_long,"134202677",semicircles,distance,"175.81",m,speed,"2.813",m/s,cadence,"87",rpm,enhanced_speed,"2.813",m/s,
Data,7,record,timestamp,"1036131333",s,position_lat,"522306950",semicircles,position_long,"134201488",semicircles,distance,"198.37",m,speed,"2.815",m/s,cadence,"89",rpm,enhanced_speed,"2.815",m/s,
Data,7,record,timestamp,"1036131341",s,position_lat,"522309265",semicircles,position_long,"134200652",semicircles,distance,"220.49",m,speed,"2.815",m/s,cadence,"88",rpm,enhanced_speed,"2.815",m/s,
Data,7,record,timestamp,"1036131348",s,position_lat,"522310624",semicircles,position_long,"134199926",semicircles,distance,"234.56",m,speed,"2.71",m/s,cadence,"86",rpm,enhanced_speed,"2.71",m/s,
Data,7,record,timestamp,"1036131352",s,position_lat,"522311053",semicircles,position_long,"134198669",semicircles,distance,"243.87",m,speed,"2.686",m/s,cadence,"85",rpm,enhanced_speed,"2.686",m/s,
Data,7,record,timestamp,"1036131360",s,position_lat,"522312998",semicircles,position_long,"134197160",semicircles,distance,"265.41",m,speed,"2.697",m/s,cadence,"86",rpm,enhanced_speed,"2.697",m/s,
Data,7,record,timestamp,"1036131363",s,position_lat,"522313531",semicircles,position_long,"134195892",semicircles,distance,"275.19",m,speed,"2.732",m/s,cadence,"86",rpm,enhanced_speed,"2.732",m/s,
