Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1036230186",s,position_lat,"522188441",semicircles,position_long,"134346086",semicircles,distance,"1.06",m,speed,"0.0",m/s,cadence,"86",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1036230196",s,position_lat,"522189823",semicircles,position_long,"134343810",semicircles,distance,"21.24",m,speed,"1.442",m/s,cadence,"86",rpm,enhanced_speed,"1.442",m/s,
Data,7,record,timestamp,"1036230204",s,position_lat,"522191640",semicircles,position_long,"134342123",semicircles,distance,"42.01",m,speed,"2.51",m/s,cadence,"86",rpm,enhanced_speed,"2.51",m/s,
Data,7,record,timestamp,"1036230211",s,position_lat,"522193632",semicircles,position_long,"134340606",semicircles,distance,"63.26",m,speed,"2.577",m/s,cadence,"86",rpm,enhanced_speed,"2.577",m/s,
Data,7,record,timestamp,"1036230217",s,position_lat,"522193808",semicircles,position_long,"134338117",semicircles,distance,"77.96",m,speed,"2.622",m/s,cadence,"86",rpm,enhanced_speed,"2.622",m/s,
Data,7,record,timestamp,"1036230221",s,position_lat,"522193961",semicircles,position_long,"134337290",semicircles,distance,"83.79",m,speed,"2.534",m/s,cadence,"86",rpm,enhanced_speed,"2.534",m/s,
Data,7,record,timestamp,"1036230229",s,position_lat,"522194805",semicircles,position_long,"134334368",semicircles,distance,"104.89",m,speed,"2.556",m/s,cadence,"86",rpm,enhanced_speed,"2.556",m/s,
Data,7,record,timestamp,"1036230236",s,position_lat,"522195686",semicircles,position_long,"134331359",semicircles,distance,"126.83",m,speed,"2.638",m/s,cadence,"86",rpm,enhanced_speed,"2.638",m/s,
Data,7,record,timestamp,"1036230244",s,position_lat,"522196889",semicircles,position_long,"134328458",semicircles,distance,"149.68",m,speed,"2.681",m/s,cadence,"87",rpm,enhanced_speed,"2.681",m/s,
Data,7,record,timestamp,"1036230251",s,position_lat,"522196339",semicircles,position_long,"134325064",semicircles,distance,"172.02",m,speed,"2.794",m/s,cadence,"87",rpm,enhanced_speed,"2.794",m/s,
Data,7,record,timestamp,"1036230257",s,position_lat,"522196343",semicircles,position_long,"134322212",semicircles,distance,"191.25",m,speed,"2.863",m/s,cadence,"87",rpm,enhanced_speed,"2.863",m/s,
Data,7,record,timestamp,"1036230269",s,position_lat,"522197675",semicircles,position_long,"134320924",semicircles,distance,"211.36",m,speed,"2.063",m/s,cadence,"86",rpm,enhanced_speed,"2.063",m/s,
Data,7,record,timestamp,"1036230275",s,position_lat,"522197901",semicircles,position_long,"134318743",semicircles,distance,"226.08",m,speed,"2.128",m/s,cadence,"87",rpm,enhanced_speed,"2.128",m/s,
Data,7,record,timestamp,"1036230283",s,position_lat,"522198072",semicircles,position_long,"134315343",semicircles,distance,"248.59",m,speed,"2.245",m/s,cadence,"86",rpm,enhanced_speed,"2.245",m/s,
Data,7,record,timestamp,"1036230290",s,position_lat,"522198078",semicircles,position_long,"134311917",semicircles,distance,"271.09",m,speed,"2.385",m/s,cadence,"88",rpm,enhanced_speed,"2.385",m/s,
Data,7,record,timestamp,"1036230294",s,position_lat,"522198684",semicircles,position_long,"134311000",semicircles,distance,"274.15",m,speed,"2.363",m/s,cadence,"86",rpm,enhanced_speed,"2.363",m/s,
Data,7,record,timestamp,"1036230302",s,position_lat,"522200954",semicircles,position_long,"134311106",semicircles,distance,"294.56",m,speed,"1.663",m/s,cadence,"87",rpm,enhanced_speed,"1.663",m/s,
Data,7,record,timestamp,"1036230308",s,position_lat,"522202135",semicircles,position_long,"134311347",semicircles,distance,"305.39",m,speed,"1.905",m/s,cadence,"89",rpm,enhanced_speed,"1.905",m/s,
Data,7,record,timestamp,"1036230317",s,position_lat,"522204149",semicircles,position_long,"134312541",semicircles,distance,"326.33",m,speed,"1.882",m/s,cadence,"88",rpm,enhanced_speed,"1.882",m/s,
Data,7,record,timestamp,"1036230326",s,position_lat,"522206330",semicircles,position_long,"134312505",semicircles,distance,"346.6",m,speed,"2.261",m/s,cadence,"85",rpm,enhanced_speed,"2.261",m/s,
Data,7,record,timestamp,"1036230327",s,position_lat,"522206455",semicircles,position_long,"134312399",semicircles,distance,"347.89",m,speed,"1.528",m/s,cadence,"0",rpm,enhanced_speed,"1.528",m/s,
Data,7,record,timestamp,"1036230338",s,position_lat,"522208614",semicircles,position_long,"134311745",semicircles,distance,"368.39",m,speed,"2.398",m/s,cadence,"88",rpm,enhanced_speed,"2.398",m/s,
Data,7,record,timestamp,"1036230345",s,position_lat,"522210814",semicircles,position_long,"134311303",semicircles,distance,"389.09",m,speed,"2.69",m/s,cadence,"88",rpm,enhanced_speed,"2.69",m/s,
Data,7,record,timestamp,"1036230350",s,position_lat,"522213139",semicircles,position_long,"134311773",semicircles,distance,"410.77",m,speed,"2.855",m/s,cadence,"87",rpm,enhanced_speed,"2.855",m/s,
Data,7,record,timestamp,"1036230357",s,position_lat,"522215300",semicircles,position_long,"134312064",semicircles,distance,"431.02",m,speed,"2.861",m/s,cadence,"87",rpm,enhanced_speed,"2.861",m/s,
Data,7,record,timestamp,"1036230364",s,position_lat,"522217679",semicircles,position_long,"134311792",semicircles,distance,"453.31",m,speed,"2.907",m/s,cadence,"87",rpm,enhanced_speed,"2.907",m/s,
Data,7,record,timestamp,"1036230371",s,position_lat,"522219827",semicircles,position_long,"134311282",semicircles,distance,"473.7",m,speed,"2.912",m/s,cadence,"89",rpm,enhanced_speed,"2.912",m/s,
Data,7,record,timestamp,"1036230376",s,position_lat,"522221325",semicircles,position_long,"134311325",semicircles,distance,"487.92",m,speed,"2.91",m/s,cadence,"87",rpm,enhanced_speed,"2.91",m/s,
Data,7,record,timestamp,"1036230384",s,position_lat,"522223599",semicircles,position_long,"134310655",semicircles,distance,"510.1",m,speed,"2.897",m/s,cadence,"88",rpm,enhanced_speed,"2.897",m/s,
Data,7,record,timestamp,"1036230390",s,position_lat,"522225178",semicircles,position_long,"134310767",semicircles,distance,"525.05",m,speed,"2.852",m/s,cadence,"87",rpm,enhanced_speed,"2.852",m/s,
Data,7,record,timestamp,"1036230397",s,position_lat,"522226663",semicircles,position_long,"134310475",semicircles,distance,"539.67",m,speed,"2.759",m/s,cadence,"87",rpm,enhanced_speed,"2.759",m/s,
Data,7,record,timestamp,"1036230403",s,position_lat,"522228218",semicircles,position_long,"134310514",semicircles,distance,"554.48",m,speed,"1.822",m/s,cadence,"84",rpm,enhanced_speed,"1.822",m/s,
Data,7,record,timestamp,"1036230408",s,position_lat,"522230012",semicircles,position_long,"134310234",semicircles,distance,"570.99",m,speed,"2.893",m/s,cadence,"85",rpm,enhanced_speed,"2.893",m/s,
Data,7,record,timestamp,"1036230416",s,position_lat,"522232385",semicircles,position_long,"134310088",semicircles,distance,"593.19",m,speed,"2.797",m/s,cadence,"87",rpm,enhanced_speed,"2.797",m/s,
Data,7,record,timestamp,"1036230423",s,position_lat,"522234469",semicircles,position_long,"134309115",semicircles,distance,"614.07",m,speed,"2.821",m/s,cadence,"88",rpm,enhanced_speed,"2.821",m/s,
Data,7,record,timestamp,"1036230430",s,position_lat,"522236138",semicircles,position_long,"134306806",semicircles,distance,"636.12",m,speed,"2.867",m/s,cadence,"86",rpm,enhanced_speed,"2.867",m/s,
Data,7,record,timestamp,"1036230437",s,position_lat,"522237797",semicircles,position_long,"134304630",semicircles,distance,"657.52",m,speed,"2.892",m/s,cadence,"88",rpm,enhanced_speed,"2.892",m/s,
Data,7,record,timestamp,"1036230441",s,position_lat,"522238879",semicircles,position_long,"134303824",semicircles,distance,"669.41",m,speed,"2.899",m/s,cadence,"88",rpm,enhanced_speed,"2.899",m/s,
Data,7,record,timestamp,"1036230446",s,position_lat,"522240140",semicircles,position_long,"134304434",semicircles,distance,"681.9",m,speed,"2.739",m/s,cadence,"86",rpm,enhanced_speed,"2.739",m/s,
Data,7,record,timestamp,"1036230454",s,position_lat,"522241758",semicircles,position_long,"134306628",semicircles,distance,"703.43",m,speed,"2.716",m/s,cadence,"87",rpm,enhanced_speed,"2.716",m/s,
Data,7,record,timestamp,"1036230462",s,position_lat,"522243299",semicircles,position_long,"134308766",semicircles,distance,"724.02",m,speed,"2.695",m/s,cadence,"88",rpm,enhanced_speed,"2.695",m/s,
