Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1036568023",s,position_lat,"522267885",semicircles,position_long,"134898929",semicircles,distance,"1.37",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1036568025",s,position_lat,"522266759",semicircles,position_long,"134898062",semicircles,distance,"8.38",m,speed,"7.487",m/s,cadence,"0",rpm,enhanced_speed,"7.487",m/s,
Data,7,record,timestamp,"1036568030",s,position_lat,"522265244",semicircles,position_long,"134898644",semicircles,distance,"22.89",m,speed,"3.703",m/s,cadence,"87",rpm,enhanced_speed,"3.703",m/s,
Data,7,record,timestamp,"1036568038",s,position_lat,"522263881",semicircles,position_long,"134901368",semicircles,distance,"45.24",m,speed,"3.133",m/s,cadence,"84",rpm,enhanced_speed,"3.133",m/s,
Data,7,record,timestamp,"1036568046",s,position_lat,"522262476",semicircles,position_long,"134903997",semicircles,distance,"66.97",m,speed,"3.037",m/s,cadence,"86",rpm,enhanced_speed,"3.037",m/s,
Data,7,record,timestamp,"1036568054",s,position_lat,"522261220",semicircles,position_long,"134906546",semicircles,distance,"87.75",m,speed,"2.801",m/s,cadence,"85",rpm,enhanced_speed,"2.801",m/s,
Data,7,record,timestamp,"1036568062",s,position_lat,"522260075",semicircles,position_long,"134909134",semicircles,distance,"108.17",m,speed,"2.765",m/s,cadence,"86",rpm,enhanced_speed,"2.765",m/s,
Data,7,record,timestamp,"1036568071",s,position_lat,"522259021",semicircles,position_long,"134912172",semicircles,distance,"130.99",m,speed,"2.729",m/s,cadence,"85",rpm,enhanced_speed,"2.729",m/s,
Data,7,record,timestamp,"1036568079",s,position_lat,"522258458",semicircles,position_long,"134915104",semicircles,distance,"151.42",m,speed,"2.703",m/s,cadence,"86",rpm,enhanced_speed,"2.703",m/s,
Data,7,record,timestamp,"1036568087",s,position_lat,"522259198",semicircles,position_long,"134917834",semicircles,distance,"171.78",m,speed,"2.715",m/s,cadence,"83",rpm,enhanced_speed,"2.715",m/s,
Data,7,record,timestamp,"1036568094",s,position_lat,"522260893",semicircles,position_long,"134919720",semicircles,distance,"192.01",m,speed,"2.79",m/s,cadence,"84",rpm,enhanced_speed,"2.79",m/s,
Data,7,record,timestamp,"1036568103",s,position_lat,"522260905",semicircles,position_long,"134922570",semicircles,distance,"214.04",m,speed,"2.734",m/s,cadence,"83",rpm,enhanced_speed,"2.734",m/s,
Data,7,record,timestamp,"1036568108",s,position_lat,"522260284",semicircles,position_long,"134923995",semicircles,distance,"225.32",m,speed,"2.688",m/s,cadence,"83",rpm,enhanced_speed,"2.688",m/s,
Data,7,record,timestamp,"1036568226",s,position_lat,"522260629",semicircles,position_long,"134922452",semicircles,distance,"225.94",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1036568236",s,position_lat,"522262296",semicircles,position_long,"134920218",semicircles,distance,"247.48",m,speed,"2.159",m/s,cadence,"84",rpm,enhanced_speed,"2.159",m/s,
Data,7,record,timestamp,"1036568245",s,position_lat,"522264033",semicircles,position_long,"134918360",semicircles,distance,"267.94",m,speed,"2.23",m/s,cadence,"83",rpm,enhanced_speed,"2.23",m/s,
Data,7,record,timestamp,"1036568255",s,position_lat,"522266103",semicircles,position_long,"134917262",semicircles,distance,"289.37",m,speed,"2.277",m/s,cadence,"83",rpm,enhanced_speed,"2.277",m/s,
Data,7,record,timestamp,"1036568265",s,position_lat,"522268333",semicircles,position_long,"134916340",semicircles,distance,"311.17",m,speed,"2.312",m/s,cadence,"81",rpm,enhanced_speed,"2.312",m/s,
Data,7,record,timestamp,"1036568274",s,position_lat,"522270593",semicircles,position_long,"134915723",semicircles,distance,"332.6",m,speed,"2.374",m/s,cadence,"85",rpm,enhanced_speed,"2.374",m/s,
Data,7,record,timestamp,"1036568283",s,position_lat,"522272803",semicircles,position_long,"134914727",semicircles,distance,"354.17",m,speed,"2.384",m/s,cadence,"84",rpm,enhanced_speed,"2.384",m/s,
Data,7,record,timestamp,"1036568292",s,position_lat,"522274813",semicircles,position_long,"134913204",semicircles,distance,"375.67",m,speed,"2.387",m/s,cadence,"81",rpm,enhanced_speed,"2.387",m/s,
Data,7,record,timestamp,"1036568301",s,position_lat,"522276849",semicircles,position_long,"134911707",semicircles,distance,"397.28",m,speed,"2.407",m/s,cadence,"85",rpm,enhanced_speed,"2.407",m/s,
Data,7,record,timestamp,"1036568310",s,position_lat,"522278935",semicircles,position_long,"134910794",semicircles,distance,"417.78",m,speed,"2.386",m/s,cadence,"83",rpm,enhanced_speed,"2.386",m/s,
Data,7,record,timestamp,"1036568318",s,position_lat,"522280712",semicircles,position_long,"134909105",semicircles,distance,"437.93",m,speed,"2.534",m/s,cadence,"85",rpm,enhanced_speed,"2.534",m/s,
Data,7,record,timestamp,"1036568327",s,position_lat,"522282778",semicircles,position_long,"134907419",semicircles,distance,"460.27",m,speed,"2.52",m/s,cadence,"86",rpm,enhanced_speed,"2.52",m/s,
Data,7,record,timestamp,"1036568337",s,position_lat,"522284034",semicircles,position_long,"134904696",semicircles,distance,"482.08",m,speed,"2.464",m/s,cadence,"85",rpm,enhanced_speed,"2.464",m/s,
Data,7,record,timestamp,"1036568346",s,position_lat,"522283690",semicircles,position_long,"134901696",semicircles,distance,"504.52",m,speed,"2.472",m/s,cadence,"83",rpm,enhanced_speed,"2.472",m/s,
Data,7,record,timestamp,"1036568354",s,position_lat,"522281745",semicircles,position_long,"134899985",semicircles,distance,"526.15",m,speed,"2.509",m/s,cadence,"85",rpm,enhanced_speed,"2.509",m/s,
Data,7,record,timestamp,"1036568362",s,position_lat,"522279660",semicircles,position_long,"134899034",semicircles,distance,"546.58",m,speed,"2.517",m/s,cadence,"85",rpm,enhanced_speed,"2.517",m/s,
Data,7,record,timestamp,"1036568370",s,position_lat,"522277500",semicircles,position_long,"134898270",semicircles,distance,"567.29",m,speed,"2.529",m/s,cadence,"85",rpm,enhanced_speed,"2.529",m/s,
