Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037085797",s,position_lat,"522393572",semicircles,position_long,"134384902",semicircles,distance,"1.17",m,speed,"0.0",m/s,cadence,"86",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037085806",s,position_lat,"522394457",semicircles,position_long,"134387857",semicircles,distance,"22.84",m,speed,"2.661",m/s,cadence,"86",rpm,enhanced_speed,"2.661",m/s,
Data,7,record,timestamp,"1037085814",s,position_lat,"522395138",semicircles,position_long,"134390700",semicircles,distance,"43.08",m,speed,"2.549",m/s,cadence,"86",rpm,enhanced_speed,"2.549",m/s,
Data,7,record,timestamp,"1037085823",s,position_lat,"522395940",semicircles,position_long,"134393776",semicircles,distance,"65.2",m,speed,"2.535",m/s,cadence,"86",rpm,enhanced_speed,"2.535",m/s,
Data,7,record,timestamp,"1037085832",s,position_lat,"522396653",semicircles,position_long,"134396886",semicircles,distance,"87.66",m,speed,"2.53",m/s,cadence,"84",rpm,enhanced_speed,"2.53",m/s,
Data,7,record,timestamp,"1037085840",s,position_lat,"522397572",semicircles,position_long,"134399777",semicircles,distance,"108.99",m,speed,"2.723",m/s,cadence,"87",rpm,enhanced_speed,"2.723",m/s,
Data,7,record,timestamp,"1037085848",s,position_lat,"522398516",semicircles,position_long,"134402859",semicircles,distance,"131.61",m,speed,"2.776",m/s,cadence,"86",rpm,enhanced_speed,"2.776",m/s,
Data,7,record,timestamp,"1037085856",s,position_lat,"522399235",semicircles,position_long,"134406083",semicircles,distance,"154.45",m,speed,"2.788",m/s,cadence,"86",rpm,enhanced_speed,"2.788",m/s,
Data,7,record,timestamp,"1037085864",s,position_lat,"522399918",semicircles,position_long,"134409120",semicircles,distance,"175.98",m,speed,"2.774",m/s,cadence,"87",rpm,enhanced_speed,"2.774",m/s,
Data,7,record,timestamp,"1037085872",s,position_lat,"522400366",semicircles,position_long,"134412362",semicircles,distance,"198.28",m,speed,"2.778",m/s,cadence,"87",rpm,enhanced_speed,"2.778",m/s,
Data,7,record,timestamp,"1037085879",s,position_lat,"522400834",semicircles,position_long,"134415373",semicircles,distance,"219.06",m,speed,"2.803",m/s,cadence,"88",rpm,enhanced_speed,"2.803",m/s,
Data,7,record,timestamp,"1037085887",s,position_lat,"522401202",semicircles,position_long,"134418454",semicircles,distance,"240.58",m,speed,"2.79",m/s,cadence,"88",rpm,enhanced_speed,"2.79",m/s,
Data,7,record,timestamp,"1037085895",s,position_lat,"522399759",semicircles,position_long,"134421076",semicircles,distance,"263.28",m,speed,"2.807",m/s,cadence,"86",rpm,enhanced_speed,"2.807",m/s,
Data,7,record,timestamp,"1037085902",s,position_lat,"522398214",semicircles,position_long,"134423184",semicircles,distance,"283.5",m,speed,"2.883",m/s,cadence,"88",rpm,enhanced_speed,"2.883",m/s,
Data,7,record,timestamp,"1037085909",s,position_lat,"522396831",semicircles,position_long,"134425470",semicircles,distance,"303.63",m,speed,"2.879",m/s,cadence,"88",rpm,enhanced_speed,"2.879",m/s,
Data,7,record,timestamp,"1037085917",s,position_lat,"522395025",semicircles,position_long,"134427581",semicircles,distance,"325.69",m,speed,"2.862",m/s,cadence,"87",rpm,enhanced_speed,"2.862",m/s,
Data,7,record,timestamp,"1037085926",s,position_lat,"522393250",semicircles,position_long,"134429265",semicircles,distance,"346.31",m,speed,"2.765",m/s,cadence,"88",rpm,enhanced_speed,"2.765",m/s,
Data,7,record,timestamp,"1037085946",s,distance,"367.02",m,speed,"2.786",m/s,cadence,"86",rpm,enhanced_speed,"2.786",m/s,,,,,,,
Data,7,record,timestamp,"1037085954",s,distance,"387.18",m,speed,"2.982",m/s,cadence,"88",rpm,enhanced_speed,"2.982",m/s,,,,,,,
Data,7,record,timestamp,"1037085962",s,distance,"408.78",m,speed,"2.426",m/s,cadence,"86",rpm,enhanced_speed,"2.426",m/s,,,,,,,
Data,7,record,timestamp,"1037085970",s,distance,"430.52",m,speed,"2.82",m/s,cadence,"87",rpm,enhanced_speed,"2.82",m/s,,,,,,,
Data,7,record,timestamp,"1037085979",s,position_lat,"522396841",semicircles,position_long,"134438429",semicircles,distance,"453.06",m,speed,"2.724",m/s,cadence,"85",rpm,enhanced_speed,"2.724",m/s,
Data,7,record,timestamp,"1037085982",s,position_lat,"522397220",semicircles,position_long,"134439435",semicircles,distance,"460.83",m,speed,"2.604",m/s,cadence,"85",rpm,enhanced_speed,"2.604",m/s,
Data,7,record,timestamp,"1037085986",s,position_lat,"522397481",semicircles,position_long,"134440687",semicircles,distance,"469.73",m,speed,"2.5",m/s,cadence,"83",rpm,enhanced_speed,"2.5",m/s,
Data,7,record,timestamp,"1037085990",s,position_lat,"522398107",semicircles,position_long,"134441765",semicircles,distance,"479.09",m,speed,"2.489",m/s,cadence,"84",rpm,enhanced_speed,"2.489",m/s,
Data,7,record,timestamp,"1037085998",s,position_lat,"522399213",semicircles,position_long,"134444066",semicircles,distance,"496.88",m,speed,"2.465",m/s,cadence,"86",rpm,enhanced_speed,"2.465",m/s,
Data,7,record,timestamp,"1037086011",s,position_lat,"522400972",semicircles,position_long,"134444714",semicircles,distance,"518.01",m,speed,"2.116",m/s,cadence,"85",rpm,enhanced_speed,"2.116",m/s,
Data,7,record,timestamp,"1037086015",s,position_lat,"522401958",semicircles,position_long,"134444272",semicircles,distance,"527.65",m,speed,"2.352",m/s,cadence,"85",rpm,enhanced_speed,"2.352",m/s,
Data,7,record,timestamp,"1037086028",s,position_lat,"522404277",semicircles,position_long,"134443080",semicircles,distance,"550.79",m,speed,"2.092",m/s,cadence,"86",rpm,enhanced_speed,"2.092",m/s,
Data,7,record,timestamp,"1037086037",s,position_lat,"522406329",semicircles,position_long,"134441554",semicircles,distance,"574.13",m,speed,"2.208",m/s,cadence,"87",rpm,enhanced_speed,"2.208",m/s,
Data,7,record,timestamp,"1037086044",s,position_lat,"522407641",semicircles,position_long,"134444048",semicircles,distance,"594.82",m,speed,"2.667",m/s,cadence,"84",rpm,enhanced_speed,"2.667",m/s,
Data,7,record,timestamp,"1037086051",s,position_lat,"522409329",semicircles,position_long,"134446349",semicircles,distance,"616.66",m,speed,"2.894",m/s,cadence,"87",rpm,enhanced_speed,"2.894",m/s,
Data,7,record,timestamp,"1037086059",s,position_lat,"522410801",semicircles,position_long,"134449078",semicircles,distance,"639.22",m,speed,"2.893",m/s,cadence,"87",rpm,enhanced_speed,"2.893",m/s,
Data,7,record,timestamp,"1037086066",s,position_lat,"522411457",semicircles,position_long,"134451358",semicircles,distance,"654.92",m,speed,"2.824",m/s,cadence,"87",rpm,enhanced_speed,"2.824",m/s,
Data,7,record,timestamp,"1037086074",s,position_lat,"522411816",semicircles,position_long,"134452164",semicircles,distance,"659.62",m,speed,"1.44",m/s,cadence,"82",rpm,enhanced_speed,"1.44",m/s,
