Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037174464",s,position_lat,"522273930",semicircles,position_long,"134896987",semicircles,distance,"0.0",m,speed,"0.0",m/s,cadence,"86",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037174470",s,position_lat,"522271501",semicircles,position_long,"134896779",semicircles,distance,"22.69",m,speed,"5.523",m/s,cadence,"0",rpm,enhanced_speed,"5.523",m/s,
Data,7,record,timestamp,"1037174474",s,position_lat,"522269040",semicircles,position_long,"134897174",semicircles,distance,"45.77",m,speed,"5.731",m/s,cadence,"86",rpm,enhanced_speed,"5.731",m/s,
Data,7,record,timestamp,"1037174478",s,position_lat,"522266961",semicircles,position_long,"134898153",semicircles,distance,"66.24",m,speed,"4.921",m/s,cadence,"107",rpm,enhanced_speed,"4.921",m/s,
Data,7,record,timestamp,"1037174480",s,position_lat,"522266048",semicircles,position_long,"134898811",semicircles,distance,"75.84",m,speed,"4.847",m/s,cadence,"104",rpm,enhanced_speed,"4.847",m/s,
Data,7,record,timestamp,"1037174484",s,position_lat,"522264726",semicircles,position_long,"134900919",semicircles,distance,"94.81",m,speed,"4.938",m/s,cadence,"101",rpm,enhanced_speed,"4.938",m/s,
Data,7,record,timestamp,"1037174489",s,position_lat,"522263357",semicircles,position_long,"134903803",semicircles,distance,"118.07",m,speed,"4.453",m/s,cadence,"101",rpm,enhanced_speed,"4.453",m/s,
Data,7,record,timestamp,"1037174494",s,position_lat,"522262086",semicircles,position_long,"134906545",semicircles,distance,"140.02",m,speed,"4.41",m/s,cadence,"100",rpm,enhanced_speed,"4.41",m/s,
Data,7,record,timestamp,"1037174500",s,position_lat,"522260723",semicircles,position_long,"134909500",semicircles,distance,"163.65",m,speed,"4.034",m/s,cadence,"98",rpm,enhanced_speed,"4.034",m/s,
Data,7,record,timestamp,"1037174506",s,position_lat,"522259387",semicircles,position_long,"134912288",semicircles,distance,"186.2",m,speed,"3.864",m/s,cadence,"96",rpm,enhanced_speed,"3.864",m/s,
Data,7,record,timestamp,"1037174512",s,position_lat,"522258124",semicircles,position_long,"134915344",semicircles,distance,"210.04",m,speed,"3.92",m/s,cadence,"96",rpm,enhanced_speed,"3.92",m/s,
Data,7,record,timestamp,"1037174518",s,position_lat,"522258301",semicircles,position_long,"134918669",semicircles,distance,"233.55",m,speed,"3.912",m/s,cadence,"96",rpm,enhanced_speed,"3.912",m/s,
Data,7,record,timestamp,"1037174524",s,position_lat,"522260076",semicircles,position_long,"134920936",semicircles,distance,"256.18",m,speed,"3.823",m/s,cadence,"96",rpm,enhanced_speed,"3.823",m/s,
Data,7,record,timestamp,"1037174527",s,position_lat,"522261014",semicircles,position_long,"134921489",semicircles,distance,"265.94",m,speed,"3.74",m/s,cadence,"96",rpm,enhanced_speed,"3.74",m/s,
Data,7,record,timestamp,"1037174533",s,position_lat,"522263117",semicircles,position_long,"134919529",semicircles,distance,"289.67",m,speed,"3.991",m/s,cadence,"92",rpm,enhanced_speed,"3.991",m/s,
Data,7,record,timestamp,"1037174538",s,position_lat,"522264923",semicircles,position_long,"134917866",semicircles,distance,"309.92",m,speed,"4.051",m/s,cadence,"96",rpm,enhanced_speed,"4.051",m/s,
Data,7,record,timestamp,"1037174544",s,position_lat,"522267271",semicircles,position_long,"134916557",semicircles,distance,"333.5",m,speed,"3.978",m/s,cadence,"94",rpm,enhanced_speed,"3.978",m/s,
Data,7,record,timestamp,"1037174549",s,position_lat,"522269410",semicircles,position_long,"134915695",semicircles,distance,"354.27",m,speed,"4.098",m/s,cadence,"93",rpm,enhanced_speed,"4.098",m/s,
Data,7,record,timestamp,"1037174554",s,position_lat,"522271586",semicircles,position_long,"134915217",semicircles,distance,"374.78",m,speed,"4.09",m/s,cadence,"96",rpm,enhanced_speed,"4.09",m/s,
Data,7,record,timestamp,"1037174560",s,position_lat,"522273960",semicircles,position_long,"134914469",semicircles,distance,"397.47",m,speed,"3.845",m/s,cadence,"94",rpm,enhanced_speed,"3.845",m/s,
Data,7,record,timestamp,"1037174566",s,position_lat,"522276109",semicircles,position_long,"134912639",semicircles,distance,"421.02",m,speed,"3.863",m/s,cadence,"93",rpm,enhanced_speed,"3.863",m/s,
Data,7,record,timestamp,"1037174572",s,position_lat,"522278197",semicircles,position_long,"134911626",semicircles,distance,"441.91",m,speed,"3.821",m/s,cadence,"94",rpm,enhanced_speed,"3.821",m/s,
Data,7,record,timestamp,"1037174577",s,position_lat,"522280154",semicircles,position_long,"134910340",semicircles,distance,"462.24",m,speed,"4.002",m/s,cadence,"93",rpm,enhanced_speed,"4.002",m/s,
Data,7,record,timestamp,"1037174583",s,position_lat,"522282231",semicircles,position_long,"134908395",semicircles,distance,"485.58",m,speed,"3.91",m/s,cadence,"96",rpm,enhanced_speed,"3.91",m/s,
Data,7,record,timestamp,"1037174588",s,position_lat,"522283912",semicircles,position_long,"134906481",semicircles,distance,"506.0",m,speed,"4.027",m/s,cadence,"92",rpm,enhanced_speed,"4.027",m/s,
Data,7,record,timestamp,"1037174594",s,position_lat,"522284810",semicircles,position_long,"134903437",semicircles,distance,"528.23",m,speed,"3.787",m/s,cadence,"93",rpm,enhanced_speed,"3.787",m/s,
Data,7,record,timestamp,"1037174596",s,position_lat,"522285049",semicircles,position_long,"134902698",semicircles,distance,"533.6",m,speed,"3.573",m/s,cadence,"93",rpm,enhanced_speed,"3.573",m/s,
Data,7,record,timestamp,"1037174601",s,position_lat,"522285445",semicircles,position_long,"134904385",semicircles,distance,"548.1",m,speed,"3.511",m/s,cadence,"92",rpm,enhanced_speed,"3.511",m/s,
Data,7,record,timestamp,"1037174607",s,position_lat,"522285569",semicircles,position_long,"134907712",semicircles,distance,"570.59",m,speed,"3.645",m/s,cadence,"93",rpm,enhanced_speed,"3.645",m/s,
Data,7,record,timestamp,"1037174613",s,position_lat,"522286854",semicircles,position_long,"134910270",semicircles,distance,"591.99",m,speed,"3.641",m/s,cadence,"92",rpm,enhanced_speed,"3.641",m/s,
Data,7,record,timestamp,"1037174615",s,position_lat,"522287482",semicircles,position_long,"134910698",semicircles,distance,"598.57",m,speed,"3.628",m/s,cadence,"92",rpm,enhanced_speed,"3.628",m/s,
Data,7,record,timestamp,"1037174620",s,position_lat,"522289567",semicircles,position_long,"134910019",semicircles,distance,"618.59",m,speed,"3.665",m/s,cadence,"92",rpm,enhanced_speed,"3.665",m/s,
Data,7,record,timestamp,"1037174626",s,position_lat,"522292116",semicircles,position_long,"134909557",semicircles,distance,"642.59",m,speed,"3.91",m/s,cadence,"94",rpm,enhanced_speed,"3.91",m/s,
Data,7,record,timestamp,"1037174632",s,position_lat,"522294529",semicircles,position_long,"134909916",semicircles,distance,"665.26",m,speed,"3.835",m/s,cadence,"95",rpm,enhanced_speed,"3.835",m/s,
Data,7,record,timestamp,"1037174638",s,position_lat,"522296790",semicircles,position_long,"134911023",semicircles,distance,"687.61",m,speed,"3.764",m/s,cadence,"93",rpm,enhanced_speed,"3.764",m/s,
Data,7,record,timestamp,"1037174644",s,position_lat,"522299052",semicircles,position_long,"134912291",semicircles,distance,"710.33",m,speed,"3.757",m/s,cadence,"93",rpm,enhanced_speed,"3.757",m/s,
Data,7,record,timestamp,"1037174650",s,position_lat,"522301019",semicircles,position_long,"134913990",semicircles,distance,"732.1",m,speed,"3.743",m/s,cadence,"93",rpm,enhanced_speed,"3.743",m/s,
