Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037259738",s,position_lat,"522267678",semicircles,position_long,"134224925",semicircles,distance,"0.0",m,speed,"0.0",m/s,cadence,"84",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037259740",s,position_lat,"522267718",semicircles,position_long,"134224571",semicircles,distance,"2.29",m,speed,"1.21",m/s,cadence,"0",rpm,enhanced_speed,"1.21",m/s,
Data,7,record,timestamp,"1037259742",s,position_lat,"522267910",semicircles,position_long,"134224296",semicircles,distance,"5.11",m,speed,"1.641",m/s,cadence,"0",rpm,enhanced_speed,"1.641",m/s,
Data,7,record,timestamp,"1037259746",s,position_lat,"522267923",semicircles,position_long,"134223126",semicircles,distance,"13.4",m,speed,"2.608",m/s,cadence,"84",rpm,enhanced_speed,"2.608",m/s,
Data,7,record,timestamp,"1037259750",s,position_lat,"522267261",semicircles,position_long,"134221807",semicircles,distance,"24.2",m,speed,"2.7",m/s,cadence,"89",rpm,enhanced_speed,"2.7",m/s,
Data,7,record,timestamp,"1037259759",s,position_lat,"522265599",semicircles,position_long,"134219751",semicircles,distance,"44.98",m,speed,"2.429",m/s,cadence,"89",rpm,enhanced_speed,"2.429",m/s,
Data,7,record,timestamp,"1037259767",s,position_lat,"522264076",semicircles,position_long,"134217793",semicircles,distance,"64.65",m,speed,"2.437",m/s,cadence,"87",rpm,enhanced_speed,"2.437",m/s,
Data,7,record,timestamp,"1037259776",s,position_lat,"522261752",semicircles,position_long,"134217947",semicircles,distance,"86.38",m,speed,"2.436",m/s,cadence,"86",rpm,enhanced_speed,"2.436",m/s,
Data,7,record,timestamp,"1037259784",s,position_lat,"522259498",semicircles,position_long,"134218876",semicircles,distance,"108.27",m,speed,"2.482",m/s,cadence,"88",rpm,enhanced_speed,"2.482",m/s,
Data,7,record,timestamp,"1037259790",s,position_lat,"522257469",semicircles,position_long,"134220220",semicircles,distance,"128.48",m,speed,"2.602",m/s,cadence,"87",rpm,enhanced_speed,"2.602",m/s,
Data,7,record,timestamp,"1037259797",s,position_lat,"522255277",semicircles,position_long,"134220877",semicircles,distance,"149.42",m,speed,"2.655",m/s,cadence,"88",rpm,enhanced_speed,"2.655",m/s,
Data,7,record,timestamp,"1037259804",s,position_lat,"522253531",semicircles,position_long,"134221479",semicircles,distance,"166.35",m,speed,"2.623",m/s,cadence,"90",rpm,enhanced_speed,"2.623",m/s,
Data,7,record,timestamp,"1037259807",s,position_lat,"522253346",semicircles,position_long,"134221267",semicircles,distance,"166.8",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037259816",s,position_lat,"522252217",semicircles,position_long,"134218551",semicircles,distance,"187.89",m,speed,"2.365",m/s,cadence,"88",rpm,enhanced_speed,"2.365",m/s,
Data,7,record,timestamp,"1037259817",s,position_lat,"522252277",semicircles,position_long,"134218259",semicircles,distance,"189.93",m,speed,"2.308",m/s,cadence,"88",rpm,enhanced_speed,"2.308",m/s,
Data,7,record,timestamp,"1037259828",s,position_lat,"522254200",semicircles,position_long,"134216456",semicircles,distance,"213.34",m,speed,"3.108",m/s,cadence,"88",rpm,enhanced_speed,"3.108",m/s,
