Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037342260",s,position_lat,"522266927",semicircles,position_long,"134121736",semicircles,distance,"0.99",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037342270",s,position_lat,"522268925",semicircles,position_long,"134120222",semicircles,distance,"22.38",m,speed,"2.115",m/s,cadence,"85",rpm,enhanced_speed,"2.115",m/s,
Data,7,record,timestamp,"1037342277",s,position_lat,"522270823",semicircles,position_long,"134118535",semicircles,distance,"43.4",m,speed,"2.66",m/s,cadence,"87",rpm,enhanced_speed,"2.66",m/s,
Data,7,record,timestamp,"1037342285",s,position_lat,"522272344",semicircles,position_long,"134116159",semicircles,distance,"64.14",m,speed,"2.678",m/s,cadence,"87",rpm,enhanced_speed,"2.678",m/s,
Data,7,record,timestamp,"1037342294",s,position_lat,"522274142",semicircles,position_long,"134114146",semicircles,distance,"85.1",m,speed,"2.429",m/s,cadence,"85",rpm,enhanced_speed,"2.429",m/s,
Data,7,record,timestamp,"1037342303",s,position_lat,"522275730",semicircles,position_long,"134111223",semicircles,distance,"107.11",m,speed,"2.651",m/s,cadence,"87",rpm,enhanced_speed,"2.651",m/s,
Data,7,record,timestamp,"1037342311",s,position_lat,"522277752",semicircles,position_long,"134109773",semicircles,distance,"128.3",m,speed,"2.655",m/s,cadence,"87",rpm,enhanced_speed,"2.655",m/s,
Data,7,record,timestamp,"1037342319",s,position_lat,"522279566",semicircles,position_long,"134108110",semicircles,distance,"148.74",m,speed,"2.642",m/s,cadence,"88",rpm,enhanced_speed,"2.642",m/s,
Data,7,record,timestamp,"1037342322",s,position_lat,"522280248",semicircles,position_long,"134107664",semicircles,distance,"155.78",m,speed,"2.626",m/s,cadence,"87",rpm,enhanced_speed,"2.626",m/s,
Data,7,record,timestamp,"1037342330",s,position_lat,"522282083",semicircles,position_long,"134105765",semicircles,distance,"177.05",m,speed,"2.633",m/s,cadence,"88",rpm,enhanced_speed,"2.633",m/s,
Data,7,record,timestamp,"1037342337",s,position_lat,"522283949",semicircles,position_long,"134104314",semicircles,distance,"197.06",m,speed,"2.665",m/s,cadence,"87",rpm,enhanced_speed,"2.665",m/s,
Data,7,record,timestamp,"1037342345",s,position_lat,"522285942",semicircles,position_long,"134102457",semicircles,distance,"219.59",m,speed,"2.69",m/s,cadence,"88",rpm,enhanced_speed,"2.69",m/s,
Data,7,record,timestamp,"1037342350",s,position_lat,"522287059",semicircles,position_long,"134101566",semicircles,distance,"231.92",m,speed,"2.67",m/s,cadence,"87",rpm,enhanced_speed,"2.67",m/s,
Data,7,record,timestamp,"1037342358",s,position_lat,"522288680",semicircles,position_long,"134102429",semicircles,distance,"248.1",m,speed,"2.577",m/s,cadence,"88",rpm,enhanced_speed,"2.577",m/s,
Data,7,record,timestamp,"1037342365",s,position_lat,"522290878",semicircles,position_long,"134103238",semicircles,distance,"269.1",m,speed,"2.636",m/s,cadence,"87",rpm,enhanced_speed,"2.636",m/s,
Data,7,record,timestamp,"1037342371",s,position_lat,"522292216",semicircles,position_long,"134105650",semicircles,distance,"289.86",m,speed,"2.732",m/s,cadence,"86",rpm,enhanced_speed,"2.732",m/s,
Data,7,record,timestamp,"1037342378",s,position_lat,"522293175",semicircles,position_long,"134108652",semicircles,distance,"312.09",m,speed,"2.834",m/s,cadence,"86",rpm,enhanced_speed,"2.834",m/s,
Data,7,record,timestamp,"1037342385",s,position_lat,"522294256",semicircles,position_long,"134111233",semicircles,distance,"332.17",m,speed,"2.886",m/s,cadence,"88",rpm,enhanced_speed,"2.886",m/s,
Data,7,record,timestamp,"1037342394",s,position_lat,"522295346",semicircles,position_long,"134114171",semicircles,distance,"354.4",m,speed,"2.819",m/s,cadence,"87",rpm,enhanced_speed,"2.819",m/s,
Data,7,record,timestamp,"1037342402",s,position_lat,"522295785",semicircles,position_long,"134116874",semicircles,distance,"374.21",m,speed,"2.766",m/s,cadence,"87",rpm,enhanced_speed,"2.766",m/s,
Data,7,record,timestamp,"1037342406",s,position_lat,"522294949",semicircles,position_long,"134117881",semicircles,distance,"384.55",m,speed,"2.752",m/s,cadence,"85",rpm,enhanced_speed,"2.752",m/s,
Data,7,record,timestamp,"1037342414",s,position_lat,"522293366",semicircles,position_long,"134120119",semicircles,distance,"405.8",m,speed,"2.665",m/s,cadence,"88",rpm,enhanced_speed,"2.665",m/s,
Data,7,record,timestamp,"1037342423",s,position_lat,"522291834",semicircles,position_long,"134122568",semicircles,distance,"427.35",m,speed,"2.623",m/s,cadence,"88",rpm,enhanced_speed,"2.623",m/s,
Data,7,record,timestamp,"1037342431",s,position_lat,"522290681",semicircles,position_long,"134125101",semicircles,distance,"447.49",m,speed,"2.609",m/s,cadence,"87",rpm,enhanced_speed,"2.609",m/s,
Data,7,record,timestamp,"1037342439",s,position_lat,"522289373",semicircles,position_long,"134127669",semicircles,distance,"468.55",m,speed,"2.616",m/s,cadence,"87",rpm,enhanced_speed,"2.616",m/s,
Data,7,record,timestamp,"1037342447",s,position_lat,"522287758",semicircles,position_long,"134129841",semicircles,distance,"489.68",m,speed,"2.619",m/s,cadence,"87",rpm,enhanced_speed,"2.619",m/s,
Data,7,record,timestamp,"1037342454",s,position_lat,"522286063",semicircles,position_long,"134131671",semicircles,distance,"509.78",m,speed,"2.655",m/s,cadence,"88",rpm,enhanced_speed,"2.655",m/s,
Data,7,record,timestamp,"1037342461",s,position_lat,"522284315",semicircles,position_long,"134133534",semicircles,distance,"530.23",m,speed,"2.692",m/s,cadence,"87",rpm,enhanced_speed,"2.692",m/s,
Data,7,record,timestamp,"1037342469",s,position_lat,"522282516",semicircles,position_long,"134135465",semicircles,distance,"551.52",m,speed,"2.689",m/s,cadence,"88",rpm,enhanced_speed,"2.689",m/s,
Data,7,record,timestamp,"1037342476",s,position_lat,"522280956",semicircles,position_long,"134137657",semicircles,distance,"572.86",m,speed,"2.748",m/s,cadence,"87",rpm,enhanced_speed,"2.748",m/s,
Data,7,record,timestamp,"1037342483",s,position_lat,"522279332",semicircles,position_long,"134139786",semicircles,distance,"593.95",m,speed,"3.169",m/s,cadence,"88",rpm,enhanced_speed,"3.169",m/s,
Data,7,record,timestamp,"1037342491",s,position_lat,"522277464",semicircles,position_long,"134141665",semicircles,distance,"615.5",m,speed,"2.938",m/s,cadence,"89",rpm,enhanced_speed,"2.938",m/s,
Data,7,record,timestamp,"1037342494",s,position_lat,"522277322",semicircles,position_long,"134142468",semicircles,distance,"619.77",m,speed,"2.528",m/s,cadence,"86",rpm,enhanced_speed,"2.528",m/s,
Data,7,record,timestamp,"1037342501",s,position_lat,"522276551",semicircles,position_long,"134144842",semicircles,distance,"636.95",m,speed,"2.639",m/s,cadence,"90",rpm,enhanced_speed,"2.639",m/s,
Data,7,record,timestamp,"1037342509",s,position_lat,"522274908",semicircles,position_long,"134146972",semicircles,distance,"658.07",m,speed,"2.625",m/s,cadence,"87",rpm,enhanced_speed,"2.625",m/s,
Data,7,record,timestamp,"1037342517",s,position_lat,"522273201",semicircles,position_long,"134149056",semicircles,distance,"679.36",m,speed,"2.631",m/s,cadence,"88",rpm,enhanced_speed,"2.631",m/s,
Data,7,record,timestamp,"1037342526",s,position_lat,"522271296",semicircles,position_long,"134150720",semicircles,distance,"700.67",m,speed,"2.589",m/s,cadence,"88",rpm,enhanced_speed,"2.589",m/s,
Data,7,record,timestamp,"1037342533",s,position_lat,"522269248",semicircles,position_long,"134152053",semicircles,distance,"721.93",m,speed,"2.978",m/s,cadence,"87",rpm,enhanced_speed,"2.978",m/s,
Data,7,record,timestamp,"1037342534",s,position_lat,"522269470",semicircles,position_long,"134153156",semicircles,distance,"727.26",m,speed,"3.452",m/s,cadence,"88",rpm,enhanced_speed,"3.452",m/s,
Data,7,record,timestamp,"1037342538",s,position_lat,"522268967",semicircles,position_long,"134154531",semicircles,distance,"736.53",m,speed,"3.326",m/s,cadence,"87",rpm,enhanced_speed,"3.326",m/s,
Data,7,record,timestamp,"1037342546",s,position_lat,"522266896",semicircles,position_long,"134155736",semicircles,distance,"757.63",m,speed,"2.814",m/s,cadence,"89",rpm,enhanced_speed,"2.814",m/s,
Data,7,record,timestamp,"1037342553",s,position_lat,"522265016",semicircles,position_long,"134157484",semicircles,distance,"777.79",m,speed,"3.005",m/s,cadence,"89",rpm,enhanced_speed,"3.005",m/s,
Data,7,record,timestamp,"1037342560",s,position_lat,"522263438",semicircles,position_long,"134160282",semicircles,distance,"799.44",m,speed,"3.062",m/s,cadence,"87",rpm,enhanced_speed,"3.062",m/s,
Data,7,record,timestamp,"1037342567",s,position_lat,"522261490",semicircles,position_long,"134161737",semicircles,distance,"819.57",m,speed,"3.057",m/s,cadence,"87",rpm,enhanced_speed,"3.057",m/s,
Data,7,record,timestamp,"1037342577",s,position_lat,"522260063",semicircles,position_long,"134165703",semicircles,distance,"841.08",m,speed,"3.063",m/s,cadence,"87",rpm,enhanced_speed,"3.063",m/s,
Data,7,record,timestamp,"1037342589",s,position_lat,"522258232",semicircles,position_long,"134168098",semicircles,distance,"861.24",m,speed,"2.32",m/s,cadence,"87",rpm,enhanced_speed,"2.32",m/s,
Data,7,record,timestamp,"1037342598",s,position_lat,"522256924",semicircles,position_long,"134170576",semicircles,distance,"881.37",m,speed,"2.444",m/s,cadence,"85",rpm,enhanced_speed,"2.444",m/s,
Data,7,record,timestamp,"1037342607",s,position_lat,"522254636",semicircles,position_long,"134171916",semicircles,distance,"904.21",m,speed,"2.483",m/s,cadence,"88",rpm,enhanced_speed,"2.483",m/s,
Data,7,record,timestamp,"1037342614",s,position_lat,"522252636",semicircles,position_long,"134174024",semicircles,distance,"926.03",m,speed,"2.619",m/s,cadence,"86",rpm,enhanced_speed,"2.619",m/s,
Data,7,record,timestamp,"1037342622",s,position_lat,"522251202",semicircles,position_long,"134176772",semicircles,distance,"946.43",m,speed,"2.673",m/s,cadence,"88",rpm,enhanced_speed,"2.673",m/s,
Data,7,record,timestamp,"1037342629",s,position_lat,"522250020",semicircles,position_long,"134179651",semicircles,distance,"967.31",m,speed,"2.744",m/s,cadence,"88",rpm,enhanced_speed,"2.744",m/s,
Data,7,record,timestamp,"1037342638",s,position_lat,"522248462",semicircles,position_long,"134182169",semicircles,distance,"987.55",m,speed,"2.718",m/s,cadence,"87",rpm,enhanced_speed,"2.718",m/s,
Data,7,record,timestamp,"1037342647",s,position_lat,"522246405",semicircles,position_long,"134184702",semicircles,distance,"1010.28",m,speed,"2.761",m/s,cadence,"88",rpm,enhanced_speed,"2.761",m/s,
Data,7,record,timestamp,"1037342655",s,position_lat,"522244595",semicircles,position_long,"134187632",semicircles,distance,"1032.82",m,speed,"2.849",m/s,cadence,"89",rpm,enhanced_speed,"2.849",m/s,
Data,7,record,timestamp,"1037342662",s,position_lat,"522243006",semicircles,position_long,"134190170",semicircles,distance,"1054.02",m,speed,"2.914",m/s,cadence,"88",rpm,enhanced_speed,"2.914",m/s,
Data,7,record,timestamp,"1037342664",s,position_lat,"522242633",semicircles,position_long,"134190659",semicircles,distance,"1058.18",m,speed,"2.894",m/s,cadence,"88",rpm,enhanced_speed,"2.894",m/s,
Data,7,record,timestamp,"1037342670",s,position_lat,"522241941",semicircles,position_long,"134193173",semicircles,distance,"1076.86",m,speed,"3.905",m/s,cadence,"81",rpm,enhanced_speed,"3.905",m/s,
Data,7,record,timestamp,"1037342677",s,position_lat,"522240217",semicircles,position_long,"134195423",semicircles,distance,"1099.13",m,speed,"3.062",m/s,cadence,"87",rpm,enhanced_speed,"3.062",m/s,
Data,7,record,timestamp,"1037342684",s,position_lat,"522238692",semicircles,position_long,"134197611",semicircles,distance,"1119.78",m,speed,"2.995",m/s,cadence,"88",rpm,enhanced_speed,"2.995",m/s,
Data,7,record,timestamp,"1037342691",s,position_lat,"522237037",semicircles,position_long,"134199615",semicircles,distance,"1140.56",m,speed,"2.994",m/s,cadence,"87",rpm,enhanced_speed,"2.994",m/s,
Data,7,record,timestamp,"1037342698",s,position_lat,"522235300",semicircles,position_long,"134201423",semicircles,distance,"1160.82",m,speed,"2.982",m/s,cadence,"88",rpm,enhanced_speed,"2.982",m/s,
Data,7,record,timestamp,"1037342704",s,position_lat,"522234660",semicircles,position_long,"134203742",semicircles,distance,"1178.49",m,speed,"3.264",m/s,cadence,"85",rpm,enhanced_speed,"3.264",m/s,
Data,7,record,timestamp,"1037342711",s,position_lat,"522234815",semicircles,position_long,"134206710",semicircles,distance,"1199.82",m,speed,"2.994",m/s,cadence,"87",rpm,enhanced_speed,"2.994",m/s,
Data,7,record,timestamp,"1037342713",s,position_lat,"522235146",semicircles,position_long,"134207421",semicircles,distance,"1205.52",m,speed,"2.954",m/s,cadence,"86",rpm,enhanced_speed,"2.954",m/s,
Data,7,record,timestamp,"1037342720",s,position_lat,"522236575",semicircles,position_long,"134210309",semicircles,distance,"1229.11",m,speed,"3.063",m/s,cadence,"86",rpm,enhanced_speed,"3.063",m/s,
Data,7,record,timestamp,"1037342727",s,position_lat,"522237830",semicircles,position_long,"134212806",semicircles,distance,"1249.63",m,speed,"2.904",m/s,cadence,"87",rpm,enhanced_speed,"2.904",m/s,
Data,7,record,timestamp,"1037342734",s,position_lat,"522239292",semicircles,position_long,"134215046",semicircles,distance,"1270.13",m,speed,"2.918",m/s,cadence,"87",rpm,enhanced_speed,"2.918",m/s,
Data,7,record,timestamp,"1037342742",s,position_lat,"522241458",semicircles,position_long,"134215804",semicircles,distance,"1290.97",m,speed,"2.872",m/s,cadence,"87",rpm,enhanced_speed,"2.872",m/s,
Data,7,record,timestamp,"1037342750",s,position_lat,"522243662",semicircles,position_long,"134216422",semicircles,distance,"1311.96",m,speed,"2.836",m/s,cadence,"88",rpm,enhanced_speed,"2.836",m/s,
Data,7,record,timestamp,"1037342757",s,position_lat,"522245814",semicircles,position_long,"134216679",semicircles,distance,"1332.06",m,speed,"2.844",m/s,cadence,"87",rpm,enhanced_speed,"2.844",m/s,
Data,7,record,timestamp,"1037342765",s,position_lat,"522247982",semicircles,position_long,"134216223",semicircles,distance,"1352.51",m,speed,"2.802",m/s,cadence,"87",rpm,enhanced_speed,"2.802",m/s,
Data,7,record,timestamp,"1037342773",s,position_lat,"522250160",semicircles,position_long,"134215800",semicircles,distance,"1372.83",m,speed,"2.801",m/s,cadence,"85",rpm,enhanced_speed,"2.801",m/s,
