Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037602965",s,position_lat,"522114522",semicircles,position_long,"134149474",semicircles,distance,"0.56",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037602976",s,position_lat,"522114633",semicircles,position_long,"134147630",semicircles,distance,"16.1",m,speed,"5.685",m/s,cadence,"88",rpm,enhanced_speed,"5.685",m/s,
Data,7,record,timestamp,"1037602984",s,position_lat,"522115419",semicircles,position_long,"134144595",semicircles,distance,"37.7",m,speed,"2.976",m/s,cadence,"87",rpm,enhanced_speed,"2.976",m/s,
Data,7,record,timestamp,"1037602990",s,position_lat,"522115919",semicircles,position_long,"134141625",semicircles,distance,"57.91",m,speed,"3.094",m/s,cadence,"87",rpm,enhanced_speed,"3.094",m/s,
Data,7,record,timestamp,"1037602996",s,position_lat,"522116605",semicircles,position_long,"134138523",semicircles,distance,"79.32",m,speed,"3.168",m/s,cadence,"87",rpm,enhanced_speed,"3.168",m/s,
Data,7,record,timestamp,"1037602998",s,position_lat,"522116573",semicircles,position_long,"134137765",semicircles,distance,"84.65",m,speed,"3.149",m/s,cadence,"87",rpm,enhanced_speed,"3.149",m/s,
Data,7,record,timestamp,"1037603002",s,position_lat,"522115757",semicircles,position_long,"134136938",semicircles,distance,"94.11",m,speed,"3.089",m/s,cadence,"86",rpm,enhanced_speed,"3.089",m/s,
Data,7,record,timestamp,"1037603010",s,position_lat,"522113855",semicircles,position_long,"134135435",semicircles,distance,"114.91",m,speed,"3.016",m/s,cadence,"87",rpm,enhanced_speed,"3.016",m/s,
Data,7,record,timestamp,"1037603019",s,position_lat,"522111828",semicircles,position_long,"134133698",semicircles,distance,"137.3",m,speed,"2.93",m/s,cadence,"86",rpm,enhanced_speed,"2.93",m/s,
Data,7,record,timestamp,"1037603027",s,position_lat,"522109557",semicircles,position_long,"134133021",semicircles,distance,"159.08",m,speed,"2.902",m/s,cadence,"87",rpm,enhanced_speed,"2.902",m/s,
Data,7,record,timestamp,"1037603034",s,position_lat,"522107425",semicircles,position_long,"134131840",semicircles,distance,"180.71",m,speed,"2.945",m/s,cadence,"88",rpm,enhanced_speed,"2.945",m/s,
Data,7,record,timestamp,"1037603041",s,position_lat,"522105472",semicircles,position_long,"134130607",semicircles,distance,"200.99",m,speed,"2.948",m/s,cadence,"87",rpm,enhanced_speed,"2.948",m/s,
Data,7,record,timestamp,"1037603049",s,position_lat,"522103451",semicircles,position_long,"134128693",semicircles,distance,"223.63",m,speed,"2.958",m/s,cadence,"88",rpm,enhanced_speed,"2.958",m/s,
Data,7,record,timestamp,"1037603058",s,position_lat,"522101383",semicircles,position_long,"134127319",semicircles,distance,"245.17",m,speed,"2.866",m/s,cadence,"87",rpm,enhanced_speed,"2.866",m/s,
Data,7,record,timestamp,"1037603061",s,position_lat,"522100607",semicircles,position_long,"134126815",semicircles,distance,"253.17",m,speed,"2.856",m/s,cadence,"87",rpm,enhanced_speed,"2.856",m/s,
Data,7,record,timestamp,"1037603066",s,position_lat,"522098931",semicircles,position_long,"134126483",semicircles,distance,"269.02",m,speed,"2.887",m/s,cadence,"88",rpm,enhanced_speed,"2.887",m/s,
Data,7,record,timestamp,"1037603073",s,position_lat,"522096665",semicircles,position_long,"134125500",semicircles,distance,"291.27",m,speed,"2.926",m/s,cadence,"88",rpm,enhanced_speed,"2.926",m/s,
Data,7,record,timestamp,"1037603081",s,position_lat,"522094369",semicircles,position_long,"134124587",semicircles,distance,"313.49",m,speed,"2.908",m/s,cadence,"90",rpm,enhanced_speed,"2.908",m/s,
Data,7,record,timestamp,"1037603088",s,position_lat,"522092517",semicircles,position_long,"134123617",semicircles,distance,"332.23",m,speed,"2.879",m/s,cadence,"88",rpm,enhanced_speed,"2.879",m/s,
Data,7,record,timestamp,"1037603093",s,position_lat,"522091479",semicircles,position_long,"134122772",semicircles,distance,"343.64",m,speed,"2.834",m/s,cadence,"85",rpm,enhanced_speed,"2.834",m/s,
Data,7,record,timestamp,"1037603100",s,position_lat,"522089183",semicircles,position_long,"134122267",semicircles,distance,"364.77",m,speed,"2.872",m/s,cadence,"88",rpm,enhanced_speed,"2.872",m/s,
Data,7,record,timestamp,"1037603103",s,position_lat,"522088394",semicircles,position_long,"134121972",semicircles,distance,"372.19",m,speed,"2.852",m/s,cadence,"87",rpm,enhanced_speed,"2.852",m/s,
Data,7,record,timestamp,"1037603108",s,position_lat,"522087629",semicircles,position_long,"134122823",semicircles,distance,"381.5",m,speed,"2.759",m/s,cadence,"86",rpm,enhanced_speed,"2.759",m/s,
Data,7,record,timestamp,"1037603115",s,position_lat,"522086023",semicircles,position_long,"134123412",semicircles,distance,"397.48",m,speed,"2.431",m/s,cadence,"87",rpm,enhanced_speed,"2.431",m/s,
Data,7,record,timestamp,"1037603125",s,position_lat,"522085389",semicircles,position_long,"134126398",semicircles,distance,"419.34",m,speed,"2.322",m/s,cadence,"87",rpm,enhanced_speed,"2.322",m/s,
Data,7,record,timestamp,"1037603134",s,position_lat,"522083169",semicircles,position_long,"134126665",semicircles,distance,"440.93",m,speed,"2.341",m/s,cadence,"86",rpm,enhanced_speed,"2.341",m/s,
Data,7,record,timestamp,"1037603135",s,position_lat,"522082903",semicircles,position_long,"134126504",semicircles,distance,"443.64",m,speed,"2.348",m/s,cadence,"86",rpm,enhanced_speed,"2.348",m/s,
Data,7,record,timestamp,"1037603143",s,position_lat,"522080804",semicircles,position_long,"134125681",semicircles,distance,"463.94",m,speed,"2.379",m/s,cadence,"86",rpm,enhanced_speed,"2.379",m/s,
Data,7,record,timestamp,"1037603147",s,position_lat,"522079929",semicircles,position_long,"134125879",semicircles,distance,"472.39",m,speed,"2.36",m/s,cadence,"86",rpm,enhanced_speed,"2.36",m/s,
Data,7,record,timestamp,"1037603155",s,position_lat,"522078147",semicircles,position_long,"134128123",semicircles,distance,"494.91",m,speed,"2.552",m/s,cadence,"86",rpm,enhanced_speed,"2.552",m/s,
Data,7,record,timestamp,"1037603163",s,position_lat,"522076314",semicircles,position_long,"134130246",semicircles,distance,"517.18",m,speed,"2.693",m/s,cadence,"88",rpm,enhanced_speed,"2.693",m/s,
Data,7,record,timestamp,"1037603172",s,position_lat,"522074783",semicircles,position_long,"134132849",semicircles,distance,"539.92",m,speed,"2.665",m/s,cadence,"88",rpm,enhanced_speed,"2.665",m/s,
Data,7,record,timestamp,"1037603180",s,position_lat,"522073432",semicircles,position_long,"134135605",semicircles,distance,"562.47",m,speed,"2.687",m/s,cadence,"87",rpm,enhanced_speed,"2.687",m/s,
Data,7,record,timestamp,"1037603188",s,position_lat,"522071833",semicircles,position_long,"134137718",semicircles,distance,"583.06",m,speed,"2.761",m/s,cadence,"87",rpm,enhanced_speed,"2.761",m/s,
Data,7,record,timestamp,"1037603196",s,position_lat,"522070122",semicircles,position_long,"134139986",semicircles,distance,"605.2",m,speed,"2.773",m/s,cadence,"88",rpm,enhanced_speed,"2.773",m/s,
Data,7,record,timestamp,"1037603204",s,position_lat,"522068335",semicircles,position_long,"134142210",semicircles,distance,"627.64",m,speed,"2.778",m/s,cadence,"88",rpm,enhanced_speed,"2.778",m/s,
Data,7,record,timestamp,"1037603213",s,position_lat,"522066877",semicircles,position_long,"134144845",semicircles,distance,"650.05",m,speed,"2.733",m/s,cadence,"87",rpm,enhanced_speed,"2.733",m/s,
Data,7,record,timestamp,"1037603221",s,position_lat,"522066075",semicircles,position_long,"134147570",semicircles,distance,"670.22",m,speed,"2.7",m/s,cadence,"86",rpm,enhanced_speed,"2.7",m/s,
Data,7,record,timestamp,"1037603225",s,position_lat,"522065390",semicircles,position_long,"134148365",semicircles,distance,"678.59",m,speed,"2.653",m/s,cadence,"87",rpm,enhanced_speed,"2.653",m/s,
