Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037691335",s,position_lat,"522089074",semicircles,position_long,"134113343",semicircles,distance,"0.85",m,speed,"0.0",m/s,cadence,"85",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037691344",s,position_lat,"522086699",semicircles,position_long,"134113206",semicircles,distance,"22.34",m,speed,"2.134",m/s,cadence,"85",rpm,enhanced_speed,"2.134",m/s,
Data,7,record,timestamp,"1037691428",s,position_lat,"522087374",semicircles,position_long,"134117671",semicircles,distance,"22.8",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037691430",s,position_lat,"522087166",semicircles,position_long,"134118089",semicircles,distance,"25.97",m,speed,"1.197",m/s,cadence,"0",rpm,enhanced_speed,"1.197",m/s,
Data,7,record,timestamp,"1037691434",s,position_lat,"522086561",semicircles,position_long,"134118846",semicircles,distance,"33.58",m,speed,"1.749",m/s,cadence,"0",rpm,enhanced_speed,"1.749",m/s,
Data,7,record,timestamp,"1037691443",s,position_lat,"522086584",semicircles,position_long,"134119365",semicircles,distance,"45.15",m,speed,"1.649",m/s,cadence,"81",rpm,enhanced_speed,"1.649",m/s,
Data,7,record,timestamp,"1037691453",s,position_lat,"522088365",semicircles,position_long,"134121200",semicircles,distance,"66.1",m,speed,"1.677",m/s,cadence,"84",rpm,enhanced_speed,"1.677",m/s,
Data,7,record,timestamp,"1037691459",s,position_lat,"522087493",semicircles,position_long,"134122381",semicircles,distance,"79.36",m,speed,"1.822",m/s,cadence,"85",rpm,enhanced_speed,"1.822",m/s,
Data,7,record,timestamp,"1037691460",s,position_lat,"522087293",semicircles,position_long,"134122502",semicircles,distance,"81.38",m,speed,"1.865",m/s,cadence,"86",rpm,enhanced_speed,"1.865",m/s,
Data,7,record,timestamp,"1037691464",s,position_lat,"522086785",semicircles,position_long,"134123411",semicircles,distance,"89.24",m,speed,"1.917",m/s,cadence,"84",rpm,enhanced_speed,"1.917",m/s,
Data,7,record,timestamp,"1037691468",s,position_lat,"522086633",semicircles,position_long,"134124512",semicircles,distance,"97.03",m,speed,"1.935",m/s,cadence,"84",rpm,enhanced_speed,"1.935",m/s,
Data,7,record,timestamp,"1037691476",s,position_lat,"522085309",semicircles,position_long,"134125817",semicircles,distance,"116.04",m,speed,"2.612",m/s,cadence,"85",rpm,enhanced_speed,"2.612",m/s,
Data,7,record,timestamp,"1037691484",s,position_lat,"522085059",semicircles,position_long,"134128984",semicircles,distance,"137.69",m,speed,"2.695",m/s,cadence,"86",rpm,enhanced_speed,"2.695",m/s,
Data,7,record,timestamp,"1037691486",s,position_lat,"522084922",semicircles,position_long,"134129372",semicircles,distance,"140.65",m,speed,"2.541",m/s,cadence,"86",rpm,enhanced_speed,"2.541",m/s,
Data,7,record,timestamp,"1037691493",s,position_lat,"522083116",semicircles,position_long,"134128917",semicircles,distance,"157.93",m,speed,"2.529",m/s,cadence,"86",rpm,enhanced_speed,"2.529",m/s,
Data,7,record,timestamp,"1037691501",s,position_lat,"522080790",semicircles,position_long,"134128199",semicircles,distance,"180.14",m,speed,"2.566",m/s,cadence,"87",rpm,enhanced_speed,"2.566",m/s,
Data,7,record,timestamp,"1037691509",s,position_lat,"522078830",semicircles,position_long,"134129241",semicircles,distance,"200.85",m,speed,"2.531",m/s,cadence,"86",rpm,enhanced_speed,"2.531",m/s,
Data,7,record,timestamp,"1037691518",s,position_lat,"522077237",semicircles,position_long,"134131554",semicircles,distance,"222.37",m,speed,"2.488",m/s,cadence,"88",rpm,enhanced_speed,"2.488",m/s,
Data,7,record,timestamp,"1037691527",s,position_lat,"522075609",semicircles,position_long,"134133949",semicircles,distance,"244.47",m,speed,"2.487",m/s,cadence,"88",rpm,enhanced_speed,"2.487",m/s,
Data,7,record,timestamp,"1037691535",s,position_lat,"522074158",semicircles,position_long,"134136161",semicircles,distance,"264.61",m,speed,"2.492",m/s,cadence,"88",rpm,enhanced_speed,"2.492",m/s,
Data,7,record,timestamp,"1037691543",s,position_lat,"522072494",semicircles,position_long,"134138446",semicircles,distance,"286.6",m,speed,"2.532",m/s,cadence,"88",rpm,enhanced_speed,"2.532",m/s,
Data,7,record,timestamp,"1037691549",s,position_lat,"522070763",semicircles,position_long,"134140414",semicircles,distance,"307.5",m,speed,"2.641",m/s,cadence,"88",rpm,enhanced_speed,"2.641",m/s,
Data,7,record,timestamp,"1037691557",s,position_lat,"522069251",semicircles,position_long,"134142850",semicircles,distance,"329.2",m,speed,"2.649",m/s,cadence,"88",rpm,enhanced_speed,"2.649",m/s,
Data,7,record,timestamp,"1037691564",s,position_lat,"522067688",semicircles,position_long,"134144984",semicircles,distance,"349.75",m,speed,"2.69",m/s,cadence,"89",rpm,enhanced_speed,"2.69",m/s,
Data,7,record,timestamp,"1037691572",s,position_lat,"522066095",semicircles,position_long,"134146986",semicircles,distance,"369.91",m,speed,"2.666",m/s,cadence,"88",rpm,enhanced_speed,"2.666",m/s,
Data,7,record,timestamp,"1037691574",s,position_lat,"522065711",semicircles,position_long,"134147170",semicircles,distance,"373.73",m,speed,"2.636",m/s,cadence,"87",rpm,enhanced_speed,"2.636",m/s,
Data,7,record,timestamp,"1037691584",s,position_lat,"522063575",semicircles,position_long,"134146728",semicircles,distance,"393.82",m,speed,"1.991",m/s,cadence,"87",rpm,enhanced_speed,"1.991",m/s,
Data,7,record,timestamp,"1037691587",s,position_lat,"522062807",semicircles,position_long,"134146317",semicircles,distance,"401.48",m,speed,"2.407",m/s,cadence,"86",rpm,enhanced_speed,"2.407",m/s,
Data,7,record,timestamp,"1037691595",s,position_lat,"522060777",semicircles,position_long,"134145258",semicircles,distance,"421.68",m,speed,"2.437",m/s,cadence,"87",rpm,enhanced_speed,"2.437",m/s,
Data,7,record,timestamp,"1037691603",s,position_lat,"522058457",semicircles,position_long,"134144465",semicircles,distance,"443.85",m,speed,"2.492",m/s,cadence,"86",rpm,enhanced_speed,"2.492",m/s,
Data,7,record,timestamp,"1037691612",s,position_lat,"522056250",semicircles,position_long,"134143213",semicircles,distance,"466.07",m,speed,"2.491",m/s,cadence,"86",rpm,enhanced_speed,"2.491",m/s,
Data,7,record,timestamp,"1037691620",s,position_lat,"522053898",semicircles,position_long,"134142392",semicircles,distance,"488.67",m,speed,"2.543",m/s,cadence,"87",rpm,enhanced_speed,"2.543",m/s,
Data,7,record,timestamp,"1037691628",s,position_lat,"522051669",semicircles,position_long,"134141751",semicircles,distance,"509.82",m,speed,"2.564",m/s,cadence,"87",rpm,enhanced_speed,"2.564",m/s,
Data,7,record,timestamp,"1037691636",s,position_lat,"522049922",semicircles,position_long,"134139948",semicircles,distance,"527.78",m,speed,"2.6",m/s,cadence,"86",rpm,enhanced_speed,"2.6",m/s,
Data,7,record,timestamp,"1037691639",s,position_lat,"522049413",semicircles,position_long,"134139903",semicircles,distance,"531.84",m,speed,"2.542",m/s,cadence,"85",rpm,enhanced_speed,"2.542",m/s,
Data,7,record,timestamp,"1037691648",s,position_lat,"522047377",semicircles,position_long,"134139323",semicircles,distance,"552.15",m,speed,"2.499",m/s,cadence,"86",rpm,enhanced_speed,"2.499",m/s,
Data,7,record,timestamp,"1037691657",s,position_lat,"522045210",semicircles,position_long,"134139225",semicircles,distance,"573.31",m,speed,"2.374",m/s,cadence,"84",rpm,enhanced_speed,"2.374",m/s,
Data,7,record,timestamp,"1037691665",s,position_lat,"522043202",semicircles,position_long,"134140302",semicircles,distance,"593.41",m,speed,"2.469",m/s,cadence,"86",rpm,enhanced_speed,"2.469",m/s,
