Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037785898",s,position_lat,"522430407",semicircles,position_long,"134194103",semicircles,distance,"0.64",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037785906",s,position_lat,"522431968",semicircles,position_long,"134196167",semicircles,distance,"20.77",m,speed,"2.677",m/s,cadence,"87",rpm,enhanced_speed,"2.677",m/s,
Data,7,record,timestamp,"1037785908",s,position_lat,"522432455",semicircles,position_long,"134196142",semicircles,distance,"25.39",m,speed,"2.395",m/s,cadence,"87",rpm,enhanced_speed,"2.395",m/s,
Data,7,record,timestamp,"1037785913",s,position_lat,"522433580",semicircles,position_long,"134195355",semicircles,distance,"37.18",m,speed,"2.386",m/s,cadence,"86",rpm,enhanced_speed,"2.386",m/s,
Data,7,record,timestamp,"1037785922",s,position_lat,"522435747",semicircles,position_long,"134194514",semicircles,distance,"58.13",m,speed,"2.367",m/s,cadence,"87",rpm,enhanced_speed,"2.367",m/s,
Data,7,record,timestamp,"1037785929",s,position_lat,"522437609",semicircles,position_long,"134193025",semicircles,distance,"78.23",m,speed,"2.435",m/s,cadence,"87",rpm,enhanced_speed,"2.435",m/s,
Data,7,record,timestamp,"1037785937",s,position_lat,"522439638",semicircles,position_long,"134191710",semicircles,distance,"99.09",m,speed,"2.465",m/s,cadence,"87",rpm,enhanced_speed,"2.465",m/s,
Data,7,record,timestamp,"1037785945",s,position_lat,"522441749",semicircles,position_long,"134190457",semicircles,distance,"120.55",m,speed,"2.501",m/s,cadence,"88",rpm,enhanced_speed,"2.501",m/s,
Data,7,record,timestamp,"1037785953",s,position_lat,"522443652",semicircles,position_long,"134188597",semicircles,distance,"143.21",m,speed,"2.58",m/s,cadence,"86",rpm,enhanced_speed,"2.58",m/s,
Data,7,record,timestamp,"1037785954",s,position_lat,"522444049",semicircles,position_long,"134187704",semicircles,distance,"150.02",m,speed,"2.67",m/s,cadence,"87",rpm,enhanced_speed,"2.67",m/s,
Data,7,record,timestamp,"1037785960",s,position_lat,"522444841",semicircles,position_long,"134184649",semicircles,distance,"171.25",m,speed,"2.78",m/s,cadence,"86",rpm,enhanced_speed,"2.78",m/s,
Data,7,record,timestamp,"1037785968",s,position_lat,"522445720",semicircles,position_long,"134181825",semicircles,distance,"191.75",m,speed,"2.757",m/s,cadence,"85",rpm,enhanced_speed,"2.757",m/s,
Data,7,record,timestamp,"1037785975",s,position_lat,"522446505",semicircles,position_long,"134179961",semicircles,distance,"206.31",m,speed,"2.666",m/s,cadence,"84",rpm,enhanced_speed,"2.666",m/s,
Data,7,record,timestamp,"1037785986",s,position_lat,"522447786",semicircles,position_long,"134177630",semicircles,distance,"227.31",m,speed,"2.002",m/s,cadence,"86",rpm,enhanced_speed,"2.002",m/s,
Data,7,record,timestamp,"1037785995",s,position_lat,"522449510",semicircles,position_long,"134176412",semicircles,distance,"245.99",m,speed,"1.906",m/s,cadence,"87",rpm,enhanced_speed,"1.906",m/s,
Data,7,record,timestamp,"1037786002",s,position_lat,"522451872",semicircles,position_long,"134175444",semicircles,distance,"267.64",m,speed,"2.116",m/s,cadence,"88",rpm,enhanced_speed,"2.116",m/s,
Data,7,record,timestamp,"1037786009",s,position_lat,"522454143",semicircles,position_long,"134176064",semicircles,distance,"289.28",m,speed,"2.248",m/s,cadence,"86",rpm,enhanced_speed,"2.248",m/s,
Data,7,record,timestamp,"1037786018",s,position_lat,"522455779",semicircles,position_long,"134178269",semicircles,distance,"311.06",m,speed,"2.28",m/s,cadence,"88",rpm,enhanced_speed,"2.28",m/s,
Data,7,record,timestamp,"1037786022",s,position_lat,"522456452",semicircles,position_long,"134178813",semicircles,distance,"318.63",m,speed,"2.25",m/s,cadence,"87",rpm,enhanced_speed,"2.25",m/s,
Data,7,record,timestamp,"1037786031",s,position_lat,"522458395",semicircles,position_long,"134177419",semicircles,distance,"339.0",m,speed,"2.515",m/s,cadence,"86",rpm,enhanced_speed,"2.515",m/s,
Data,7,record,timestamp,"1037786040",s,position_lat,"522460492",semicircles,position_long,"134175953",semicircles,distance,"360.88",m,speed,"2.507",m/s,cadence,"86",rpm,enhanced_speed,"2.507",m/s,
Data,7,record,timestamp,"1037786050",s,position_lat,"522462202",semicircles,position_long,"134175098",semicircles,distance,"378.19",m,speed,"2.363",m/s,cadence,"86",rpm,enhanced_speed,"2.363",m/s,
Data,7,record,timestamp,"1037786058",s,position_lat,"522464265",semicircles,position_long,"134173366",semicircles,distance,"401.24",m,speed,"2.448",m/s,cadence,"86",rpm,enhanced_speed,"2.448",m/s,
Data,7,record,timestamp,"1037786065",s,position_lat,"522465911",semicircles,position_long,"134171018",semicircles,distance,"423.27",m,speed,"2.55",m/s,cadence,"86",rpm,enhanced_speed,"2.55",m/s,
Data,7,record,timestamp,"1037786071",s,position_lat,"522467053",semicircles,position_long,"134169488",semicircles,distance,"437.71",m,speed,"2.547",m/s,cadence,"86",rpm,enhanced_speed,"2.547",m/s,
Data,7,record,timestamp,"1037786075",s,position_lat,"522467896",semicircles,position_long,"134169925",semicircles,distance,"446.11",m,speed,"2.32",m/s,cadence,"84",rpm,enhanced_speed,"2.32",m/s,
Data,7,record,timestamp,"1037786080",s,position_lat,"522468928",semicircles,position_long,"134170422",semicircles,distance,"456.65",m,speed,"2.256",m/s,cadence,"86",rpm,enhanced_speed,"2.256",m/s,
