Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037788480",s,position_lat,"522405259",semicircles,position_long,"134097586",semicircles,distance,"0.92",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037788494",s,position_lat,"522402925",semicircles,position_long,"134097118",semicircles,distance,"22.03",m,speed,"2.004",m/s,cadence,"88",rpm,enhanced_speed,"2.004",m/s,
Data,7,record,timestamp,"1037788503",s,position_lat,"522400791",semicircles,position_long,"134096032",semicircles,distance,"42.77",m,speed,"2.227",m/s,cadence,"89",rpm,enhanced_speed,"2.227",m/s,
Data,7,record,timestamp,"1037788509",s,position_lat,"522398660",semicircles,position_long,"134096923",semicircles,distance,"63.49",m,speed,"3.016",m/s,cadence,"87",rpm,enhanced_speed,"3.016",m/s,
Data,7,record,timestamp,"1037788516",s,position_lat,"522396362",semicircles,position_long,"134097484",semicircles,distance,"85.09",m,speed,"2.97",m/s,cadence,"89",rpm,enhanced_speed,"2.97",m/s,
Data,7,record,timestamp,"1037788523",s,position_lat,"522394422",semicircles,position_long,"134097719",semicircles,distance,"103.79",m,speed,"2.845",m/s,cadence,"86",rpm,enhanced_speed,"2.845",m/s,
Data,7,record,timestamp,"1037788529",s,position_lat,"522392661",semicircles,position_long,"134098424",semicircles,distance,"121.24",m,speed,"2.885",m/s,cadence,"88",rpm,enhanced_speed,"2.885",m/s,
Data,7,record,timestamp,"1037788537",s,position_lat,"522390617",semicircles,position_long,"134098684",semicircles,distance,"140.38",m,speed,"2.811",m/s,cadence,"88",rpm,enhanced_speed,"2.811",m/s,
Data,7,record,timestamp,"1037788546",s,position_lat,"522389112",semicircles,position_long,"134101114",semicircles,distance,"162.07",m,speed,"2.232",m/s,cadence,"87",rpm,enhanced_speed,"2.232",m/s,
Data,7,record,timestamp,"1037788554",s,position_lat,"522388045",semicircles,position_long,"134103998",semicircles,distance,"183.93",m,speed,"2.711",m/s,cadence,"88",rpm,enhanced_speed,"2.711",m/s,
Data,7,record,timestamp,"1037788562",s,position_lat,"522386812",semicircles,position_long,"134106863",semicircles,distance,"206.45",m,speed,"2.726",m/s,cadence,"87",rpm,enhanced_speed,"2.726",m/s,
Data,7,record,timestamp,"1037788569",s,position_lat,"522385763",semicircles,position_long,"134109642",semicircles,distance,"227.61",m,speed,"2.764",m/s,cadence,"88",rpm,enhanced_speed,"2.764",m/s,
Data,7,record,timestamp,"1037788577",s,position_lat,"522384664",semicircles,position_long,"134112648",semicircles,distance,"250.4",m,speed,"2.778",m/s,cadence,"88",rpm,enhanced_speed,"2.778",m/s,
Data,7,record,timestamp,"1037788585",s,position_lat,"522383407",semicircles,position_long,"134115451",semicircles,distance,"272.68",m,speed,"2.779",m/s,cadence,"90",rpm,enhanced_speed,"2.779",m/s,
Data,7,record,timestamp,"1037788593",s,position_lat,"522382341",semicircles,position_long,"134118465",semicircles,distance,"295.43",m,speed,"2.788",m/s,cadence,"88",rpm,enhanced_speed,"2.788",m/s,
Data,7,record,timestamp,"1037788600",s,position_lat,"522380827",semicircles,position_long,"134120606",semicircles,distance,"315.65",m,speed,"2.802",m/s,cadence,"88",rpm,enhanced_speed,"2.802",m/s,
Data,7,record,timestamp,"1037788608",s,position_lat,"522378627",semicircles,position_long,"134121819",semicircles,distance,"337.76",m,speed,"2.797",m/s,cadence,"88",rpm,enhanced_speed,"2.797",m/s,
Data,7,record,timestamp,"1037788615",s,position_lat,"522376492",semicircles,position_long,"134122731",semicircles,distance,"358.6",m,speed,"2.859",m/s,cadence,"88",rpm,enhanced_speed,"2.859",m/s,
Data,7,record,timestamp,"1037788623",s,position_lat,"522374254",semicircles,position_long,"134123647",semicircles,distance,"380.37",m,speed,"2.831",m/s,cadence,"88",rpm,enhanced_speed,"2.831",m/s,
Data,7,record,timestamp,"1037788630",s,position_lat,"522372125",semicircles,position_long,"134124378",semicircles,distance,"400.83",m,speed,"2.845",m/s,cadence,"89",rpm,enhanced_speed,"2.845",m/s,
Data,7,record,timestamp,"1037788638",s,position_lat,"522369914",semicircles,position_long,"134124885",semicircles,distance,"421.68",m,speed,"2.81",m/s,cadence,"90",rpm,enhanced_speed,"2.81",m/s,
Data,7,record,timestamp,"1037788645",s,position_lat,"522367796",semicircles,position_long,"134125806",semicircles,distance,"442.37",m,speed,"2.829",m/s,cadence,"89",rpm,enhanced_speed,"2.829",m/s,
Data,7,record,timestamp,"1037788652",s,position_lat,"522365634",semicircles,position_long,"134126525",semicircles,distance,"463.07",m,speed,"2.848",m/s,cadence,"91",rpm,enhanced_speed,"2.848",m/s,
