Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037870353",s,position_lat,"522304707",semicircles,position_long,"134263721",semicircles,distance,"0.39",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037870361",s,position_lat,"522305411",semicircles,position_long,"134266677",semicircles,distance,"21.73",m,speed,"2.716",m/s,cadence,"87",rpm,enhanced_speed,"2.716",m/s,
Data,7,record,timestamp,"1037870369",s,position_lat,"522307432",semicircles,position_long,"134268318",semicircles,distance,"43.67",m,speed,"2.742",m/s,cadence,"90",rpm,enhanced_speed,"2.742",m/s,
Data,7,record,timestamp,"1037870376",s,position_lat,"522309375",semicircles,position_long,"134270031",semicircles,distance,"65.14",m,speed,"2.802",m/s,cadence,"89",rpm,enhanced_speed,"2.802",m/s,
Data,7,record,timestamp,"1037870382",s,position_lat,"522310813",semicircles,position_long,"134271023",semicircles,distance,"78.99",m,speed,"2.772",m/s,cadence,"88",rpm,enhanced_speed,"2.772",m/s,
Data,7,record,timestamp,"1037870387",s,position_lat,"522311553",semicircles,position_long,"134270543",semicircles,distance,"86.57",m,speed,"2.655",m/s,cadence,"87",rpm,enhanced_speed,"2.655",m/s,
Data,7,record,timestamp,"1037870397",s,position_lat,"522313277",semicircles,position_long,"134272581",semicircles,distance,"107.76",m,speed,"2.492",m/s,cadence,"87",rpm,enhanced_speed,"2.492",m/s,
Data,7,record,timestamp,"1037870398",s,position_lat,"522313520",semicircles,position_long,"134272800",semicircles,distance,"110.46",m,speed,"2.581",m/s,cadence,"86",rpm,enhanced_speed,"2.581",m/s,
Data,7,record,timestamp,"1037870405",s,position_lat,"522315182",semicircles,position_long,"134274881",semicircles,distance,"131.02",m,speed,"2.854",m/s,cadence,"87",rpm,enhanced_speed,"2.854",m/s,
Data,7,record,timestamp,"1037870412",s,position_lat,"522317190",semicircles,position_long,"134276142",semicircles,distance,"151.55",m,speed,"2.865",m/s,cadence,"88",rpm,enhanced_speed,"2.865",m/s,
Data,7,record,timestamp,"1037870419",s,position_lat,"522319218",semicircles,position_long,"134277628",semicircles,distance,"173.02",m,speed,"2.893",m/s,cadence,"88",rpm,enhanced_speed,"2.893",m/s,
Data,7,record,timestamp,"1037870428",s,position_lat,"522321164",semicircles,position_long,"134279467",semicircles,distance,"194.77",m,speed,"2.825",m/s,cadence,"86",rpm,enhanced_speed,"2.825",m/s,
