Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1037874436",s,position_lat,"522864199",semicircles,position_long,"134648071",semicircles,distance,"1.2",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1037874448",s,position_lat,"522862177",semicircles,position_long,"134646700",semicircles,distance,"22.08",m,speed,"1.677",m/s,cadence,"85",rpm,enhanced_speed,"1.677",m/s,
Data,7,record,timestamp,"1037874457",s,position_lat,"522860155",semicircles,position_long,"134645626",semicircles,distance,"42.09",m,speed,"1.942",m/s,cadence,"84",rpm,enhanced_speed,"1.942",m/s,
Data,7,record,timestamp,"1037874465",s,position_lat,"522858183",semicircles,position_long,"134644286",semicircles,distance,"62.56",m,speed,"2.037",m/s,cadence,"85",rpm,enhanced_speed,"2.037",m/s,
Data,7,record,timestamp,"1037874473",s,position_lat,"522856324",semicircles,position_long,"134642563",semicircles,distance,"83.55",m,speed,"2.124",m/s,cadence,"84",rpm,enhanced_speed,"2.124",m/s,
Data,7,record,timestamp,"1037874481",s,position_lat,"522854453",semicircles,position_long,"134640967",semicircles,distance,"104.2",m,speed,"2.194",m/s,cadence,"84",rpm,enhanced_speed,"2.194",m/s,
Data,7,record,timestamp,"1037874489",s,position_lat,"522852462",semicircles,position_long,"134639680",semicircles,distance,"124.7",m,speed,"2.249",m/s,cadence,"85",rpm,enhanced_speed,"2.249",m/s,
Data,7,record,timestamp,"1037874498",s,position_lat,"522850291",semicircles,position_long,"134638577",semicircles,distance,"146.2",m,speed,"2.276",m/s,cadence,"84",rpm,enhanced_speed,"2.276",m/s,
Data,7,record,timestamp,"1037874504",s,position_lat,"522849034",semicircles,position_long,"134637936",semicircles,distance,"158.71",m,speed,"2.13",m/s,cadence,"84",rpm,enhanced_speed,"2.13",m/s,
Data,7,record,timestamp,"1037874508",s,position_lat,"522848306",semicircles,position_long,"134637244",semicircles,distance,"166.96",m,speed,"2.111",m/s,cadence,"83",rpm,enhanced_speed,"2.111",m/s,
