Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1038203488",s,position_lat,"522215940",semicircles,position_long,"134412685",semicircles,distance,"0.51",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1038203499",s,position_lat,"522218120",semicircles,position_long,"134413611",semicircles,distance,"22.05",m,speed,"2.171",m/s,cadence,"85",rpm,enhanced_speed,"2.171",m/s,
Data,7,record,timestamp,"1038203505",s,position_lat,"522219077",semicircles,position_long,"134413951",semicircles,distance,"35.49",m,speed,"2.343",m/s,cadence,"86",rpm,enhanced_speed,"2.343",m/s,
Data,7,record,timestamp,"1038203510",s,position_lat,"522219607",semicircles,position_long,"134413582",semicircles,distance,"40.95",m,speed,"2.068",m/s,cadence,"87",rpm,enhanced_speed,"2.068",m/s,
Data,7,record,timestamp,"1038203517",s,position_lat,"522220711",semicircles,position_long,"134413181",semicircles,distance,"51.48",m,speed,"1.788",m/s,cadence,"85",rpm,enhanced_speed,"1.788",m/s,
Data,7,record,timestamp,"1038203525",s,position_lat,"522222853",semicircles,position_long,"134414959",semicircles,distance,"75.02",m,speed,"2.003",m/s,cadence,"87",rpm,enhanced_speed,"2.003",m/s,
Data,7,record,timestamp,"1038203530",s,position_lat,"522225375",semicircles,position_long,"134417228",semicircles,distance,"102.69",m,speed,"2.361",m/s,cadence,"87",rpm,enhanced_speed,"2.361",m/s,
Data,7,record,timestamp,"1038203532",s,position_lat,"522225433",semicircles,position_long,"134417266",semicircles,distance,"103.05",m,speed,"0.962",m/s,cadence,"87",rpm,enhanced_speed,"0.962",m/s,
Data,7,record,timestamp,"1038203538",s,position_lat,"522227408",semicircles,position_long,"134419479",semicircles,distance,"125.93",m,speed,"3.873",m/s,cadence,"86",rpm,enhanced_speed,"3.873",m/s,
Data,7,record,timestamp,"1038203543",s,position_lat,"522228356",semicircles,position_long,"134419611",semicircles,distance,"133.94",m,speed,"2.26",m/s,cadence,"87",rpm,enhanced_speed,"2.26",m/s,
Data,7,record,timestamp,"1038203550",s,position_lat,"522230225",semicircles,position_long,"134421106",semicircles,distance,"154.23",m,speed,"2.349",m/s,cadence,"86",rpm,enhanced_speed,"2.349",m/s,
Data,7,record,timestamp,"1038203556",s,position_lat,"522232256",semicircles,position_long,"134422847",semicircles,distance,"176.4",m,speed,"2.504",m/s,cadence,"87",rpm,enhanced_speed,"2.504",m/s,
Data,7,record,timestamp,"1038203565",s,position_lat,"522234177",semicircles,position_long,"134424421",semicircles,distance,"197.24",m,speed,"2.481",m/s,cadence,"87",rpm,enhanced_speed,"2.481",m/s,
Data,7,record,timestamp,"1038203566",s,position_lat,"522234337",semicircles,position_long,"134424798",semicircles,distance,"200.12",m,speed,"2.49",m/s,cadence,"87",rpm,enhanced_speed,"2.49",m/s,
Data,7,record,timestamp,"1038203572",s,position_lat,"522234112",semicircles,position_long,"134427958",semicircles,distance,"221.3",m,speed,"2.617",m/s,cadence,"86",rpm,enhanced_speed,"2.617",m/s,
Data,7,record,timestamp,"1038203578",s,position_lat,"522233662",semicircles,position_long,"134431439",semicircles,distance,"244.72",m,speed,"3.795",m/s,cadence,"87",rpm,enhanced_speed,"3.795",m/s,
Data,7,record,timestamp,"1038203582",s,position_lat,"522233566",semicircles,position_long,"134434849",semicircles,distance,"265.23",m,speed,"4.622",m/s,cadence,"87",rpm,enhanced_speed,"4.622",m/s,
Data,7,record,timestamp,"1038203589",s,position_lat,"522232028",semicircles,position_long,"134437421",semicircles,distance,"287.09",m,speed,"4.485",m/s,cadence,"88",rpm,enhanced_speed,"4.485",m/s,
Data,7,record,timestamp,"1038203593",s,position_lat,"522230469",semicircles,position_long,"134438698",semicircles,distance,"302.23",m,speed,"4.528",m/s,cadence,"87",rpm,enhanced_speed,"4.528",m/s,
Data,7,record,timestamp,"1038203597",s,position_lat,"522229460",semicircles,position_long,"134438346",semicircles,distance,"312.49",m,speed,"4.378",m/s,cadence,"86",rpm,enhanced_speed,"4.378",m/s,
Data,7,record,timestamp,"1038203603",s,position_lat,"522227336",semicircles,position_long,"134437667",semicircles,distance,"332.83",m,speed,"4.287",m/s,cadence,"87",rpm,enhanced_speed,"4.287",m/s,
Data,7,record,timestamp,"1038203611",s,position_lat,"522225418",semicircles,position_long,"134435959",semicircles,distance,"354.51",m,speed,"4.068",m/s,cadence,"88",rpm,enhanced_speed,"4.068",m/s,
Data,7,record,timestamp,"1038203619",s,position_lat,"522223126",semicircles,position_long,"134434916",semicircles,distance,"376.21",m,speed,"3.894",m/s,cadence,"88",rpm,enhanced_speed,"3.894",m/s,
Data,7,record,timestamp,"1038203629",s,position_lat,"522220963",semicircles,position_long,"134434555",semicircles,distance,"396.59",m,speed,"2.465",m/s,cadence,"86",rpm,enhanced_speed,"2.465",m/s,
Data,7,record,timestamp,"1038203639",s,position_lat,"522219104",semicircles,position_long,"134432875",semicircles,distance,"417.34",m,speed,"2.322",m/s,cadence,"86",rpm,enhanced_speed,"2.322",m/s,
Data,7,record,timestamp,"1038203647",s,position_lat,"522216926",semicircles,position_long,"134431579",semicircles,distance,"439.68",m,speed,"2.401",m/s,cadence,"86",rpm,enhanced_speed,"2.401",m/s,
Data,7,record,timestamp,"1038203655",s,position_lat,"522214625",semicircles,position_long,"134430423",semicircles,distance,"461.62",m,speed,"2.669",m/s,cadence,"86",rpm,enhanced_speed,"2.669",m/s,
Data,7,record,timestamp,"1038203662",s,position_lat,"522213010",semicircles,position_long,"134430192",semicircles,distance,"478.49",m,speed,"2.7",m/s,cadence,"85",rpm,enhanced_speed,"2.7",m/s,
Data,7,record,timestamp,"1038203669",s,position_lat,"522212090",semicircles,position_long,"134433065",semicircles,distance,"499.56",m,speed,"3.242",m/s,cadence,"87",rpm,enhanced_speed,"3.242",m/s,
Data,7,record,timestamp,"1038203676",s,position_lat,"522211464",semicircles,position_long,"134436016",semicircles,distance,"520.32",m,speed,"3.057",m/s,cadence,"87",rpm,enhanced_speed,"3.057",m/s,
Data,7,record,timestamp,"1038203682",s,position_lat,"522210767",semicircles,position_long,"134439063",semicircles,distance,"541.88",m,speed,"3.13",m/s,cadence,"88",rpm,enhanced_speed,"3.13",m/s,
Data,7,record,timestamp,"1038203690",s,position_lat,"522209826",semicircles,position_long,"134442149",semicircles,distance,"564.35",m,speed,"3.087",m/s,cadence,"89",rpm,enhanced_speed,"3.087",m/s,
Data,7,record,timestamp,"1038203699",s,position_lat,"522209244",semicircles,position_long,"134445338",semicircles,distance,"586.6",m,speed,"2.985",m/s,cadence,"86",rpm,enhanced_speed,"2.985",m/s,
Data,7,record,timestamp,"1038203705",s,position_lat,"522208934",semicircles,position_long,"134448300",semicircles,distance,"606.77",m,speed,"3.029",m/s,cadence,"87",rpm,enhanced_speed,"3.029",m/s,
Data,7,record,timestamp,"1038203713",s,position_lat,"522208370",semicircles,position_long,"134451141",semicircles,distance,"626.9",m,speed,"2.953",m/s,cadence,"88",rpm,enhanced_speed,"2.953",m/s,
