Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1038302171",s,position_lat,"522266372",semicircles,position_long,"134203955",semicircles,distance,"1.16",m,speed,"0.0",m/s,cadence,"0",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1038302180",s,position_lat,"522264794",semicircles,position_long,"134201533",semicircles,distance,"23.18",m,speed,"2.354",m/s,cadence,"88",rpm,enhanced_speed,"2.354",m/s,
Data,7,record,timestamp,"1038302187",s,position_lat,"522263713",semicircles,position_long,"134199644",semicircles,distance,"40.5",m,speed,"2.492",m/s,cadence,"87",rpm,enhanced_speed,"2.492",m/s,
Data,7,record,timestamp,"1038302190",s,position_lat,"522263755",semicircles,position_long,"134198528",semicircles,distance,"48.06",m,speed,"2.494",m/s,cadence,"87",rpm,enhanced_speed,"2.494",m/s,
Data,7,record,timestamp,"1038302195",s,position_lat,"522263345",semicircles,position_long,"134196862",semicircles,distance,"60.11",m,speed,"2.486",m/s,cadence,"86",rpm,enhanced_speed,"2.486",m/s,
Data,7,record,timestamp,"1038302203",s,position_lat,"522262993",semicircles,position_long,"134193707",semicircles,distance,"81.66",m,speed,"2.519",m/s,cadence,"88",rpm,enhanced_speed,"2.519",m/s,
Data,7,record,timestamp,"1038302211",s,position_lat,"522263480",semicircles,position_long,"134190566",semicircles,distance,"103.83",m,speed,"2.557",m/s,cadence,"86",rpm,enhanced_speed,"2.557",m/s,
Data,7,record,timestamp,"1038302219",s,position_lat,"522265124",semicircles,position_long,"134188436",semicircles,distance,"125.1",m,speed,"2.643",m/s,cadence,"86",rpm,enhanced_speed,"2.643",m/s,
Data,7,record,timestamp,"1038302220",s,position_lat,"522265342",semicircles,position_long,"134188250",semicircles,distance,"127.46",m,speed,"2.623",m/s,cadence,"86",rpm,enhanced_speed,"2.623",m/s,
Data,7,record,timestamp,"1038302227",s,position_lat,"522266590",semicircles,position_long,"134187281",semicircles,distance,"140.85",m,speed,"2.118",m/s,cadence,"84",rpm,enhanced_speed,"2.118",m/s,
Data,7,record,timestamp,"1038302245",s,position_lat,"522267315",semicircles,position_long,"134185130",semicircles,distance,"141.6",m,speed,"0.0",m/s,cadence,"84",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1038302252",s,position_lat,"522265776",semicircles,position_long,"134184060",semicircles,distance,"157.83",m,speed,"2.328",m/s,cadence,"0",rpm,enhanced_speed,"2.328",m/s,
Data,7,record,timestamp,"1038302258",s,position_lat,"522263731",semicircles,position_long,"134183893",semicircles,distance,"177.04",m,speed,"3.145",m/s,cadence,"87",rpm,enhanced_speed,"3.145",m/s,
Data,7,record,timestamp,"1038302266",s,position_lat,"522261541",semicircles,position_long,"134183777",semicircles,distance,"197.68",m,speed,"2.877",m/s,cadence,"87",rpm,enhanced_speed,"2.877",m/s,
Data,7,record,timestamp,"1038302267",s,position_lat,"522261439",semicircles,position_long,"134183604",semicircles,distance,"199.17",m,speed,"2.85",m/s,cadence,"87",rpm,enhanced_speed,"2.85",m/s,
Data,7,record,timestamp,"1038302271",s,position_lat,"522260861",semicircles,position_long,"134183036",semicircles,distance,"205.03",m,speed,"2.773",m/s,cadence,"87",rpm,enhanced_speed,"2.773",m/s,
Data,7,record,timestamp,"1038302278",s,position_lat,"522259939",semicircles,position_long,"134180317",semicircles,distance,"225.39",m,speed,"2.831",m/s,cadence,"86",rpm,enhanced_speed,"2.831",m/s,
Data,7,record,timestamp,"1038302286",s,position_lat,"522258774",semicircles,position_long,"134177667",semicircles,distance,"246.47",m,speed,"2.661",m/s,cadence,"88",rpm,enhanced_speed,"2.661",m/s,
Data,7,record,timestamp,"1038302295",s,position_lat,"522256675",semicircles,position_long,"134176985",semicircles,distance,"266.08",m,speed,"2.611",m/s,cadence,"88",rpm,enhanced_speed,"2.611",m/s,
Data,7,record,timestamp,"1038302299",s,position_lat,"522257335",semicircles,position_long,"134175053",semicircles,distance,"276.41",m,speed,"2.522",m/s,cadence,"83",rpm,enhanced_speed,"2.522",m/s,
Data,7,record,timestamp,"1038302300",s,position_lat,"522257397",semicircles,position_long,"134174744",semicircles,distance,"278.4",m,speed,"2.255",m/s,cadence,"83",rpm,enhanced_speed,"2.255",m/s,
Data,7,record,timestamp,"1038302309",s,position_lat,"522258114",semicircles,position_long,"134172328",semicircles,distance,"296.08",m,speed,"1.649",m/s,cadence,"87",rpm,enhanced_speed,"1.649",m/s,
Data,7,record,timestamp,"1038302318",s,position_lat,"522259663",semicircles,position_long,"134170235",semicircles,distance,"316.32",m,speed,"2.103",m/s,cadence,"88",rpm,enhanced_speed,"2.103",m/s,
Data,7,record,timestamp,"1038302327",s,position_lat,"522261493",semicircles,position_long,"134168139",semicircles,distance,"338.45",m,speed,"2.162",m/s,cadence,"89",rpm,enhanced_speed,"2.162",m/s,
Data,7,record,timestamp,"1038302333",s,position_lat,"522263266",semicircles,position_long,"134165754",semicircles,distance,"361.39",m,speed,"2.356",m/s,cadence,"89",rpm,enhanced_speed,"2.356",m/s,
