Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1038305201",s,position_lat,"522305711",semicircles,position_long,"133906241",semicircles,distance,"1.34",m,speed,"0.0",m/s,cadence,"87",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1038305209",s,position_lat,"522304538",semicircles,position_long,"133908837",semicircles,distance,"22.39",m,speed,"2.936",m/s,cadence,"87",rpm,enhanced_speed,"2.936",m/s,
Data,7,record,timestamp,"1038305218",s,position_lat,"522303707",semicircles,position_long,"133911807",semicircles,distance,"44.09",m,speed,"2.366",m/s,cadence,"87",rpm,enhanced_speed,"2.366",m/s,
Data,7,record,timestamp,"1038305226",s,position_lat,"522302802",semicircles,position_long,"133914556",semicircles,distance,"64.64",m,speed,"2.395",m/s,cadence,"87",rpm,enhanced_speed,"2.395",m/s,
Data,7,record,timestamp,"1038305235",s,position_lat,"522302036",semicircles,position_long,"133917644",semicircles,distance,"86.67",m,speed,"2.406",m/s,cadence,"87",rpm,enhanced_speed,"2.406",m/s,
Data,7,record,timestamp,"1038305243",s,position_lat,"522301156",semicircles,position_long,"133920368",semicircles,distance,"106.83",m,speed,"2.424",m/s,cadence,"88",rpm,enhanced_speed,"2.424",m/s,
Data,7,record,timestamp,"1038305252",s,position_lat,"522300031",semicircles,position_long,"133923235",semicircles,distance,"128.92",m,speed,"2.429",m/s,cadence,"88",rpm,enhanced_speed,"2.429",m/s,
Data,7,record,timestamp,"1038305260",s,position_lat,"522299046",semicircles,position_long,"133926146",semicircles,distance,"150.62",m,speed,"2.635",m/s,cadence,"87",rpm,enhanced_speed,"2.635",m/s,
Data,7,record,timestamp,"1038305268",s,position_lat,"522298319",semicircles,position_long,"133929274",semicircles,distance,"172.75",m,speed,"2.707",m/s,cadence,"89",rpm,enhanced_speed,"2.707",m/s,
Data,7,record,timestamp,"1038305276",s,position_lat,"522297412",semicircles,position_long,"133932482",semicircles,distance,"196.06",m,speed,"2.741",m/s,cadence,"90",rpm,enhanced_speed,"2.741",m/s,
Data,7,record,timestamp,"1038305283",s,position_lat,"522296469",semicircles,position_long,"133935461",semicircles,distance,"218.01",m,speed,"2.792",m/s,cadence,"89",rpm,enhanced_speed,"2.792",m/s,
Data,7,record,timestamp,"1038305291",s,position_lat,"522295599",semicircles,position_long,"133938299",semicircles,distance,"238.86",m,speed,"2.764",m/s,cadence,"87",rpm,enhanced_speed,"2.764",m/s,
