Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,7,record,timestamp,"1038385195",s,position_lat,"522275036",semicircles,position_long,"134225817",semicircles,distance,"22.13",m,speed,"0.0",m/s,cadence,"85",rpm,enhanced_speed,"0.0",m/s,
Data,7,record,timestamp,"1038385196",s,position_lat,"522275641",semicircles,position_long,"134225513",semicircles,distance,"26.54",m,speed,"4.924",m/s,cadence,"0",rpm,enhanced_speed,"4.924",m/s,
Data,7,record,timestamp,"1038385204",s,position_lat,"522275472",semicircles,position_long,"134223738",semicircles,distance,"42.68",m,speed,"5.133",m/s,cadence,"86",rpm,enhanced_speed,"5.133",m/s,
Data,7,record,timestamp,"1038385207",s,position_lat,"522276630",semicircles,position_long,"134223243",semicircles,distance,"53.34",m,speed,"5.275",m/s,cadence,"85",rpm,enhanced_speed,"5.275",m/s,
Data,7,record,timestamp,"1038385217",s,position_lat,"522277995",semicircles,position_long,"134222374",semicircles,distance,"69.12",m,speed,"2.643",m/s,cadence,"87",rpm,enhanced_speed,"2.643",m/s,
Data,7,record,timestamp,"1038385227",s,position_lat,"522279937",semicircles,position_long,"134221320",semicircles,distance,"88.27",m,speed,"2.516",m/s,cadence,"86",rpm,enhanced_speed,"2.516",m/s,
Data,7,record,timestamp,"1038385236",s,position_lat,"522283173",semicircles,position_long,"134219822",semicircles,distance,"118.02",m,speed,"2.732",m/s,cadence,"87",rpm,enhanced_speed,"2.732",m/s,
Data,7,record,timestamp,"1038385240",s,position_lat,"522285201",semicircles,position_long,"134217691",semicircles,distance,"141.54",m,speed,"2.982",m/s,cadence,"86",rpm,enhanced_speed,"2.982",m/s,
Data,7,record,timestamp,"1038385243",s,position_lat,"522286170",semicircles,position_long,"134216757",semicircles,distance,"152.4",m,speed,"3.023",m/s,cadence,"86",rpm,enhanced_speed,"3.023",m/s,
Data,7,record,timestamp,"1038385251",s,position_lat,"522287667",semicircles,position_long,"134214106",semicircles,distance,"172.3",m,speed,"3.014",m/s,cadence,"85",rpm,enhanced_speed,"3.014",m/s,
Data,7,record,timestamp,"1038385260",s,position_lat,"522288691",semicircles,position_long,"134214912",semicircles,distance,"184.68",m,speed,"2.629",m/s,cadence,"86",rpm,enhanced_speed,"2.629",m/s,
Data,7,record,timestamp,"1038385262",s,position_lat,"522289067",semicircles,position_long,"134215515",semicircles,distance,"190.13",m,speed,"2.827",m/s,cadence,"87",rpm,enhanced_speed,"2.827",m/s,
Data,7,record,timestamp,"1038385267",s,position_lat,"522289874",semicircles,position_long,"134216903",semicircles,distance,"202.1",m,speed,"2.502",m/s,cadence,"85",rpm,enhanced_speed,"2.502",m/s,
Data,7,record,timestamp,"1038385276",s,position_lat,"522290875",semicircles,position_long,"134219849",semicircles,distance,"224.16",m,speed,"2.498",m/s,cadence,"84",rpm,enhanced_speed,"2.498",m/s,
Data,7,record,timestamp,"1038385286",s,position_lat,"522292897",semicircles,position_long,"134221697",semicircles,distance,"245.61",m,speed,"1.89",m/s,cadence,"87",rpm,enhanced_speed,"1.89",m/s,
Data,7,record,timestamp,"1038385292",s,position_lat,"522294689",semicircles,position_long,"134223574",semicircles,distance,"266.54",m,speed,"3.151",m/s,cadence,"86",rpm,enhanced_speed,"3.151",m/s,
Data,7,record,timestamp,"1038385300",s,position_lat,"522296913",semicircles,position_long,"134223735",semicircles,distance,"287.67",m,speed,"2.798",m/s,cadence,"85",rpm,enhanced_speed,"2.798",m/s,
Data,7,record,timestamp,"1038385307",s,position_lat,"522299437",semicircles,position_long,"134223668",semicircles,distance,"310.95",m,speed,"3.244",m/s,cadence,"88",rpm,enhanced_speed,"3.244",m/s,
Data,7,record,timestamp,"1038385315",s,position_lat,"522301763",semicircles,position_long,"134222685",semicircles,distance,"333.4",m,speed,"3.067",m/s,cadence,"88",rpm,enhanced_speed,"3.067",m/s,
Data,7,record,timestamp,"1038385322",s,position_lat,"522303662",semicircles,position_long,"134222909",semicircles,distance,"351.36",m,speed,"3.015",m/s,cadence,"89",rpm,enhanced_speed,"3.015",m/s,
Data,7,record,timestamp,"1038385325",s,position_lat,"522304380",semicircles,position_long,"134223698",semicircles,distance,"359.34",m,speed,"2.846",m/s,cadence,"87",rpm,enhanced_speed,"2.846",m/s,
Data,7,record,timestamp,"1038385334",s,position_lat,"522304780",semicircles,position_long,"134226698",semicircles,distance,"381.28",m,speed,"2.472",m/s,cadence,"87",rpm,enhanced_speed,"2.472",m/s,
Data,7,record,timestamp,"1038385341",s,position_lat,"522303917",semicircles,position_long,"134229871",semicircles,distance,"404.22",m,speed,"3.039",m/s,cadence,"87",rpm,enhanced_speed,"3.039",m/s,
Data,7,record,timestamp,"1038385349",s,position_lat,"522303377",semicircles,position_long,"134232982",semicircles,distance,"425.34",m,speed,"2.974",m/s,cadence,"87",rpm,enhanced_speed,"2.974",m/s,
Data,7,record,timestamp,"1038385359",s,position_lat,"522302355",semicircles,position_long,"134235598",semicircles,distance,"445.43",m,speed,"2.276",m/s,cadence,"88",rpm,enhanced_speed,"2.276",m/s,
Data,7,record,timestamp,"1038385370",s,position_lat,"522301575",semicircles,position_long,"134238487",semicircles,distance,"465.9",m,speed,"2.019",m/s,cadence,"88",rpm,enhanced_speed,"2.019",m/s,
Data,7,record,timestamp,"1038385376",s,position_lat,"522299847",semicircles,position_long,"134240943",semicircles,distance,"489.09",m,speed,"3.052",m/s,cadence,"85",rpm,enhanced_speed,"3.052",m/s,
Data,7,record,timestamp,"1038385383",s,position_lat,"522299506",semicircles,position_long,"134243673",semicircles,distance,"510.16",m,speed,"3.045",m/s,cadence,"86",rpm,enhanced_speed,"3.045",m/s,
Data,7,record,timestamp,"1038385389",s,position_lat,"522301579",semicircles,position_long,"134244934",semicircles,distance,"531.05",m,speed,"3.272",m/s,cadence,"87",rpm,enhanced_speed,"3.272",m/s,
Data,7,record,timestamp,"1038385396",s,position_lat,"522303492",semicircles,position_long,"134246664",semicircles,distance,"552.37",m,speed,"3.189",m/s,cadence,"86",rpm,enhanced_speed,"3.189",m/s,
Data,7,record,timestamp,"1038385403",s,position_lat,"522305501",semicircles,position_long,"134248405",semicircles,distance,"574.42",m,speed,"3.187",m/s,cadence,"88",rpm,enhanced_speed,"3.187",m/s,
Data,7,record,timestamp,"1038385411",s,position_lat,"522307290",semicircles,position_long,"134250640",semicircles,distance,"596.88",m,speed,"2.912",m/s,cadence,"85",rpm,enhanced_speed,"2.912",m/s,
Data,7,record,timestamp,"1038385418",s,position_lat,"522308747",semicircles,position_long,"134252810",semicircles,distance,"616.9",m,speed,"2.878",m/s,cadence,"87",rpm,enhanced_speed,"2.878",m/s,
Data,7,record,timestamp,"1038385425",s,position_lat,"522310471",semicircles,position_long,"134254636",semicircles,distance,"637.1",m,speed,"2.888",m/s,cadence,"87",rpm,enhanced_speed,"2.888",m/s,
Data,7,record,timestamp,"1038385433",s,position_lat,"522312649",semicircles,position_long,"134256045",semicircles,distance,"659.57",m,speed,"2.877",m/s,cadence,"88",rpm,enhanced_speed,"2.877",m/s,
